,Current Dish Coverage,,,,,,,,,,,,,,,,,,,,,,,,
,Aggregate Items,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of Items,155,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,By Cuisine Type,,,,,,,,,,,,,,,,,,,,,,,,
,Cuisine,Number of Dishes,,,,,,,,,,,,,,,,,,,,,,,
,Asian,63,,,,,,,,,,,,,,,,,,,,,,,
,Italian,31,,,,,,,,,,,,,,,,,,,,,,,
,Indian,19,,,,,,,,,,,,,,,,,,,,,,,
,Healthy,17,,,,,,,,,,,,,,,,,,,,,,,
,Mexican,14,,,,,,,,,,,,,,,,,,,,,,,
,Middle Eastern,10,,,,,,,,,,,,,,,,,,,,,,,
,British,1,,,,,,,,,,,,,,,,,,,,,,,
,,155,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,By Dish Type,,,,,,,,,,,,,,,,,,,,,,,,
,Dish,Number of Dishes,,,,,,,,,,,,,,,,,,,,,,,
,Pasta,23,,,,,,,,,,,,,,,,,,,,,,,
,Rice Bowl,21,,,,,,,,,,,,,,,,,,,,,,,
,Grain Bowl,17,,,,,,,,,,,,,,,,,,,,,,,
,Noodles,13,,,,,,,,,,,,,,,,,,,,,,,
South Asian / Indian Curry,Indian Curry,13,,,,,,,,,,,,,,,,,,,,,,,
,East Asian Curry,11,,,,,,,,,,,,,,,,,,,,,,,
,Katsu,9,,,,,,,,,,,,,,,,,,,,,,,
,Biryani,6,,,,,,,,,,,,,,,,,,,,,,,
,Pizza,5,,,,,,,,,,,,,,,,,,,,,,,
,Fried Rice,5,,,,,,,,,,,,,,,,,,,,,,,
,Protein & Veg ,4,,,,,,,,,,,,,,,,,,,,,,,
,Other,4,,,,,,,,,,,,,,,,,,,,,,,
,Chilli,3,,,,,,,,,,,,,,,,,,,,,,,
,Fajitas,3,,,,,,,,,,,,,,,,,,,,,,,
,Lasagne,3,,,,,,,,,,,,,,,,,,,,,,,
,Shawarma,3,,,,,,,,,,,,,,,,,,,,,,,
,Tacos,3,,,,,,,,,,,,,,,,,,,,,,,
