,Dish Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Updated Matric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FRAN TO FILL IN,,,,FRAN IS IT POSSIBLE TO FILL THIS IN?,,,,,,,,,,,,,Weighting,1,0,1,1,1,1,1,0,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
,,,Demand Indicators,,,,Consumer Preference Indicators,,,,,,,,,,,,,,,,,Demand Indicators,,,,Concumser Preference Indicators,,,,,,,,,,,,Demand Indicators,,,,Concumser Preference Indicators,,,
,,,Average Sales per Dish,% of Relevant Zones Where Dish Ranks #1,% of Relevant Zones Where Dish Ranks Top #5,Open-Text Requests for Dish,Deliveroo Rating,Meal Satisfaction Score,Repeat Intent Score,Dish Suitability Rating,,Demand Strength,Consumer Preference,,Notes,,Coverage Gap (% of Zones Not Present In),,,,,,,Average Sales per Dish,% of Relevant Zones Where Dish Ranks #1,% of Relevant Zones Where Dish Ranks Top #5,Open-Text Requests for Dish,Deliveroo Rating,Meal Satisfaction Score,Repeat Intent Score,Dish Suitability Rating,,,,,,,,,Average Sales per Dish,% of Relevant Zones Where Dish Ranks #1,% of Relevant Zones Where Dish Ranks Top #5,Open-Text Requests for Dish,Deliveroo Rating,Meal Satisfaction Score,Repeat Intent Score,Dish Suitability Rating
,Dishes on Dinneroo,Pasta,8,1%,25%,,4.2,78%,74%,2.5,,0.6,0.9,,Baked pasta preferable to boiled pasta,,3%,,,,,Dishes on Dinneroo,Pasta,0.3,0.2,0.9,,1.0,0.9,0.9,0.8,,,,,,,Dishes on Dinneroo,Pasta,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,Rice Bowl,29,11%,41%,,4.4,84%,77%,2.5,,1.2,1.0,,As a next step - understand which rice bowls more / less attractive (sweet & sour chicken?),,12%,,,,,,Rice Bowl,1.0,1.5,1.4,,1.0,1.0,0.9,0.8,,,,,,,,Rice Bowl,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,Grain Bowl,21,4%,18%,,4.7,86%,90%,,,0.7,1.0,,,,76%,,,,,,Grain Bowl,0.7,0.5,0.6,,1.1,1.0,1.1,,,,,,,,,Grain Bowl,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
,,Noodles,28,2%,37%,,4.5,88%,88%,2.5,,1.2,1.0,,As a next step - understand which noodles more / less attractive (chow mein?),,21%,,,,,,Noodles,1.0,0.3,1.3,,1.0,1.0,1.0,0.8,,,,,,,,Noodles,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,South Asian / Indian Curry,98,32%,64%,,4.7,93%,85%,3.2,,2.9,1.1,,Dishoom brand likely contributes to high score,,74%,,,,,,South Asian / Indian Curry,3.4,4.4,2.3,,1.1,1.1,1.0,1.0,,,,,,,,South Asian / Indian Curry,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,East Asian Curry,18,1%,31%,,4.4,87%,84%,3.6,,0.9,1.0,,,,3%,,,,,,East Asian Curry,0.6,0.1,1.1,,1.0,1.0,1.0,1.2,,,,,,,,East Asian Curry,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,Katsu,29,19%,41%,,4.3,87%,85%,2.9,,1.2,1.0,,,,5%,,,,,,Katsu,1.0,2.5,1.5,,1.0,1.0,1.0,0.9,,,,,,,,Katsu,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,Biryani,86,0%,54%,,4.6,91%,83%,,,2.5,1.0,,,,79%,,,,,,Biryani,3.0,0.0,1.9,,1.0,1.1,1.0,,,,,,,,,Biryani,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
,,Pizza,11,16%,49%,,4.1,81%,75%,2.0,,1.0,0.9,,,,4%,,,,,,Pizza,0.4,2.1,1.7,,0.9,0.9,0.9,0.7,,,,,,,,Pizza,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,Fried Rice,41,4%,17%,,4.5,79%,81%,2.5,,1.0,1.0,,,,42%,,,,,,Fried Rice,1.4,0.5,0.6,,1.0,0.9,1.0,0.8,,,,,,,,Fried Rice,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,Protein & Veg ,44,6%,44%,,4.4,71%,,3.5,,1.6,0.9,,,,93%,,,,,,Protein & Veg ,1.6,0.9,1.5,,1.0,0.8,,1.2,,,,,,,,Protein & Veg ,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
,,Chilli,6,0%,5%,,3.8,,,3.3,,0.2,0.9,,,,68%,,,,,,Chilli,0.2,0.0,0.2,,0.9,,,1.1,,,,,,,,Chilli,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
,,Fajitas,9,2%,12%,,4.2,96%,100%,2.5,,0.4,1.1,,,,68%,,,,,,Fajitas,0.3,0.3,0.4,,1.0,1.1,1.2,0.8,,,,,,,,Fajitas,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,Lasagne,13,4%,22%,,4.6,77%,75%,3.3,,0.6,0.9,,,,66%,,,,,,Lasagne,0.4,0.5,0.8,,1.0,0.9,0.9,1.1,,,,,,,,Lasagne,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
