,Zone X Dish Mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,https://docs.google.com/spreadsheets/d/1Csvirs3wzo8vn-YqWMBHFHvxBhPpT0U6Rzx8E6di9-g/edit?gid=1908125538#gid=1908125538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cuisine,Dish,Suitability Score (ALL),Time Taken (Ave. time taken),%Eaten Regularly (Had in L2M/Total Respondents),%Wishlisted (Wishlist/Total Respondents),Shareable [Can come in one big portion],Customisable [Individual portions made to different preferences can be made easily],Healthy Enough [There are no danger signals with nutrition],Scores highly on:,Making it kid-friendly,,,,,,,,,%Wishlist & Eaten in L2M,Familiar,Aspirational,%Scratch Cooked (Scratch Cook or Meal Kit/Had Dish in L2M),%Ready Meal (Ready Meal/Had Dish in L2M),%Want to eat but it time Consuming (Time as barrier for not having/Respondents who wishlisted),%Want to eat but difficult (Difficulty as barrier/Respondents who did not select dish),%Want to eat but not nutritious enough (Nutrition as barrier/Respondents who did not select),Scratch Cooked,Ready Meal,Time Consuming,Difficult to Make,Not Nutritious,Prep Time,Suitability Score (ALL),Suitability Score (TIME + EFFORT),Suitablity Score (NUTRITION),Suitability Score (TIME + EFFORT),Suitablity Score (NUTRITION)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tex Mex,Fajitas / Burritos,2.525,23.96,71%,5%,3.00,3.00,3.00,"Strongly wishlisted, high prep time, shareable",Creamy Texture: Ensure the risotto is creamy and not too watery.,Mild Ingredients: Use mild ingredients and avoid strong spices.,Familiar Vegetables: Include vegetables that kids recognize and enjoy.,Simple Flavors: Keep the seasoning mild and avoid strong herbs.,,,,,,76%,3.00,3.00,85%,8%,24%,5%,10%,10.00,2.00,2.00,3.00,3.00,5.00,2.525,3.32875,3.82,3.329,3.824
,Indian,"Curry & Rice (e.g. Tikka, korma, butter chicken)",3.15,28.22,74%,6%,3.00,3.00,2.00,"Strongly wishlisted, high prep time, shareable","Mild Flavors: Use a mild, creamy sauce and avoid strong garlic or spices.",Soft Texture: Ensure the layers are soft and easy to cut.,Hidden Vegetables: Finely chop vegetables to hide them in the sauce.,Less Cheese: Use less cheese and white sauce for kids who prefer milder flavors.,,,,,,80%,3.00,4.00,21%,70%,21%,0%,4%,2.00,10.00,3.00,1.00,2.00,7.00,3.15,3.4725,3.77,3.473,3.769
,British/Generalist,"Meat & vegetables (e.g. Roast, Grilled, Breaded)",3.525,34.16,78%,5%,3.00,3.00,3.00,"Eaten regularly, shareable","Mild Fillings: Use mild, smooth sauces like tomato or cheese.",Soft Texture: Ensure the pasta is not overcooked or too crispy.,"Cheesy Topping: Add a cheesy, creamy layer on top.",Avoid Strong Flavors: Keep fillings mild and avoid strong herbs or spices.,,,,,,83%,3.00,3.00,88%,9%,16%,5%,5%,10.00,2.00,3.00,3.00,3.00,9.00,3.525,3.97875,4.41,3.979,4.406
,Italian,Pizza,2.025,15.38,87%,4%,3.00,3.00,1.00,"Eaten regularly, customisable","Simple Sauces: Choose mild sauces like tomato or creamy cheese, avoiding spicy seasonings.",Soft Pasta: Ensure pasta is well-cooked and easy to chew.,Minimal Additions: Keep it simple with minimal spices and no visible vegetables.,Separate Components: Serve pasta and sauce separately if preferred.,,,,,,91%,3.00,3.00,18%,59%,27%,13%,47%,1.00,9.00,1.00,5.00,10.00,3.00,2.025,4.00375,4.26,4.004,4.258
