,Item Categorisation,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Colour code,,,,,,,,,,,,,,,,,,,,,,,,
,Red,"Appears more than once, so don't include in analysis",,,,,,,,,,,,,,,,,,,,,,,
,Green,Added same dish as a second line because it contains multiple distinct dishes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Include (0 if appears multiple times),Brand,Item,Cuisine,High-Level Dish,Granular Dish,Protein / Vegetable Alternative,,,,Protein / Vegetable Alternative,,,,,,,,,,,,,,,
1,Chaska,"Chicken Biryani For The Table ( 2portions Chicken Biryani served with Dal, Raita and Papads )",Indian,Biryani,Biryani,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Chaska,Chicken Biryani For The Table,Indian,Biryani,Biryani,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Chaska,"Veg Biryani For The Table ( 2portions Biryani served with Dal, Raita and Papads )",Indian,Biryani,Biryani,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Dishoom,Chicken Berry Britannia – for the family,Indian,Biryani,Biryani,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Dishoom,Awadhi Jackfruit Biryani – for the family,Indian,Biryani,Biryani,Jackfuit,,,,Jackfuit,,,,,,,,,,,,,,,
1,Tadka House,"1000g Biryani, 4 Onion Bhaji, & 1 Pesawari Naan & Poppadoms",Indian,Biryani,Biryani,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Tula Ireland,"Tula Main, Quesadilla, Kids Quesadilla, Bag of Corn Tortilla Chips & Dip",Mexican,Burrito / Burrito Bowl,Burrito / Burrito Bowl,"Beef, Pork, Chicken",,,,Beef,Pork,Chicken,,,,,,,,,,,,,
1,Tula Ireland,"Tula Main, Tula Nachos & Kids Quesadilla Family Dinneroo Feast",Mexican,Burrito / Burrito Bowl,Burrito / Burrito Bowl,"Beef, Pork, Chicken",,,,Beef,Pork,Chicken,,,,,,,,,,,,,
1,Las Iguanas,Mixed Bundle For Four,Mexican,Chilli,Chilli,"Beef, Sweet Potato & Squash",,,,Beef,Sweet Potato & Squash,,,,,,,,,,,,,,
1,Las Iguanas,Chilli Bundle for Three,Mexican,Chilli,Chilli,"Beef, Sweet Potato & Squash",,,,Beef,Sweet Potato & Squash,,,,,,,,,,,,,,
1,Las Iguanas,Chilli Bundle for Four,Mexican,Chilli,Chilli,"Beef, Sweet Potato & Squash",,,,Beef,Sweet Potato & Squash,,,,,,,,,,,,,,
1,Asia Villa,4x Massaman Curry with Rice and Tofu,Asian,East Asian Curry,Massaman Curry,Tofu,,,,Tofu,,,,,,,,,,,,,,,
0,Asia Villa,4x  Massaman Curry with Rice and Tofu,Asian,East Asian Curry,Massaman Curry,Tofu,,,,Tofu,,,,,,,,,,,,,,,
1,Bill's,Family Chicken Thai Green Curry,Asian,East Asian Curry,Thai Green Curry,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Bill's,Family Cauliflower Thai Green Curry,Asian,East Asian Curry,Thai Green Curry,Cauliflower,,,,Cauliflower,,,,,,,,,,,,,,,
1,Giggling Squid,Family Thai Curry Bundle,Asian,East Asian Curry,"Thai Green Curry, Thai Red Curry",Chicken,Note: Multiple options for kids,,,Chicken,,,,,,,,,,,,,,,
1,Giggling Squid,Family Spicy Bundle,Asian,East Asian Curry,Other Curry,Chicken,Note: Multiple options for kids,,,Chicken,,,,,,,,,,,,,,,
1,Pho,It's a curry night,Asian,East Asian Curry,Other Curry,"Chicken, Beef, Tofu. Mushroom",Note: Multiple options for kids,,,Chicken,Beef,Tofu,Mushroom,,,,,,,,,,,,
1,Ting Thai,Massaman Curry Family Meal,Asian,East Asian Curry,Massaman Curry,"Chicken, Beef, Prawn",,,,Chicken,Beef,Prawn,,,,,,,,,,,,,
1,Ting Thai,Yellow Curry Family Meal,Asian,East Asian Curry,Yellow Curry,"Chicken, Beef, Prawn",,,,Chicken,Beef,Prawn,,,,,,,,,,,,,
1,Wagamama,family chicken coconut + lemongrass curry,Asian,East Asian Curry,Other Curry,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Wagamama,family tofu coconut + lemongrass curry,Asian,East Asian Curry,Other Curry,Tofu,,,,Tofu,,,,,,,,,,,,,,,
0,Wagamama,family chicken coconut + lemongrass curry,Asian,East Asian Curry,Other Curry,Chicken,,,,Chicken,,,,,,,,,,,,,,,
0,Wagamama,family tofu coconut + lemongrass curry,Asian,East Asian Curry,Other Curry,Tofu,,,,Tofu,,,,,,,,,,,,,,,
1,Zumuku,Chicken Raisukare,Asian,East Asian Curry,Raisukare Curry,"Chicken, Tofu",,,,Chicken,Tofu,,,,,,,,,,,,,,
0,Zumuku Sushi,Chicken Raisukare,Asian,East Asian Curry,Raisukare Curry,"Chicken, Tofu",,,,Chicken,Tofu,,,,,,,,,,,,,,
1,Las Iguanas,Fajitas Family of Three Bundle,Mexican,Fajitas,Fajitas,"Mushroom, Chicken, Prawn",,,,Mushroom,Chicken,Prawn,,,,,,,,,,,,,
1,Las Iguanas,Fajitas Family of Four Bundle,Mexican,Fajitas,Fajitas,"Mushroom, Chicken, Prawn",,,,Mushroom,Chicken,Prawn,,,,,,,,,,,,,
1,Itsu,little rice'bowls family bundle,Asian,Katsu,Katsu,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,Asian,Fried Rice,Special Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
0,Asia Villa,4x  Asia Villa Special Fried Rice with Salt and Pepper Chicken,Asian,Fried Rice,Special Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Itsu,hot faves family bundle,Asian,Katsu,Katsu,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,TUK TUK-SGroup,Sweet and Sour Chicken & Egg Fried Rice,Asian,Fried Rice,Sweet & Sour Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
0,TUK TUK-SGroup,Sweet and Sour “MOCK Chicken” & Egg Fried Rice,Asian,Fried Rice,Sweet & Sour Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Chicken Fried Rice Family Meal (Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken),Asian,Fried Rice,Stir-Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Chicken Fried Rice Family Meal ( Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken),Asian,Fried Rice,Stir-Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,atis,Build Your Own Family Feast,Healthy,Grain Bowl,Grain Bowl,"Chicken, Tofu",,,,Chicken,Tofu,,,,,,,,,,,,,,
1,atis,Chicken Family Feast,Healthy,Grain Bowl,Grain Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
