,Order Ratings,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Source,"https://deliveroo.looker.com/explore/general/denormalised_items?qid=UmJupobT7qqc29ZvPmg6AI&toggle=fil,vis",,,,,,,,,,
,,,,,,,,,,,,
,Sf Global Brand,Menu Item Operational Name,"Orders count (delivered, rejected, cancelled, et al.)",Orders rating - avg,Orders with a rating - cnt,Orders with a rating - %,,,,Dish Categorisation 1,Dish Categorisation 2,Dish Categorisation 3
,Zumuku Sushi,Chicken Yakisoba,1,,0,0,,0,,Noodles,,
,atis,Tofu Family Feast,1,,0,0,,0,,Grain Bowl,,
,Cocotte,Family Veggie Feast,15,,0,0,,0,,Protein & Veg ,,
,Xian Street Food,Ultimate Tofu Platter (Crispy Tofu + Curry Tofu (main) + Boiled Rice + Tofu 4 in 1),12,,0,0,,0,,Rice Bowl,,
,Zumuku,Rice Bowl - Chicken Teriyaki,1,,0,0,,0,,Rice Bowl,,
,Wagamama,family tofu coconut + lemongrass curry,2,,0,0,,0,,East Asian Curry,,
,Tadka House,"1000g Biryani, 4 Onion Bhaji, & 1 Pesawari Naan & Poppadoms",8,,0,0,,0,,Biryani,,
,Tiffin Tin,Family Chicken Aloo Mutter,2,,0,0,,0,,South Asian / Indian Curry,,
,Bill's,Family Cauliflower Thai Green Curry,10,,0,0,,0,,East Asian Curry,,
,Xian Street Food,Chicken Fried Rice Family Meal ( Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken),15,,0,0,,0,,Fried Rice,,
,The Salad Project,The Satay Family Style,2,,0,0,,0,,Grain Bowl,,
,Wagamama,family chicken coconut + lemongrass curry,7,,0,0,,0,,East Asian Curry,,
,Tiffin Tin,Family Royal Forest Curry,2,,0,0,,0,,South Asian / Indian Curry,,
,TUK TUK-SGroup,Sweet and Sour “MOCK Chicken” & Egg Fried Rice,9,,0,0,,0,,Fried Rice,,
,Zumuku Sushi,Chicken Raisukare,2,,0,0,,0,,East Asian Curry,,
,Xian Street Food,Honey Chicken Family Meal (Honey Chicken (main) + Curry Chicken + Fried rice + Boiled Rice),3,,0,0,,0,,Rice Bowl,,
,Zumuku,Chicken Raisukare,2,,0,,,0,,East Asian Curry,,
,Shaku Maku,Shaku Maku Family Platter (Maqluba + chicken rolls + fatoush salad + hummus + baba ghanoush with bread),22,5,4,0.19,,20,,Other,,
,Chaska,"Veg Family Feast ( 16oz paneer labaabdaar, 12oz dal tadka, 1 jeera aloo and 2 portion rice)",40,5,2,0.05,,10,,South Asian / Indian Curry,,
,Xian Street Food,Chicken Fried Rice Family Meal (Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken),18,5,2,0.11,,10,,Fried Rice,,
,Bella Italia,Tomato & Red Pepper Rigatoni Family Bundle,18,5,2,0.12,,10,,Pasta,,
,Zumuku Sushi,Rice Bowl - Chicken Teriyaki,1,5,1,1,,5,,Rice Bowl,,
,Tadka House,"1000g Chicken Tikka Masala, 2 Boiled Rice, 1 Chips, 1  Plain Naan & Poppadoms",17,5,5,0.31,,25,,South Asian / Indian Curry,,
,Zambrero UK,Family Nachos Kit,6,5,1,0.17,,5,,Nachos,,
,The Salad Project,The Caesar Family Style,16,5,2,0.13,,10,,Grain Bowl,,
,PIZAZA-SGroup,Family Alfredo Pasta,13,5,1,0.08,,5,,Pasta,,
,PIZAZA-SGroup,Family Tomato Sauce Pasta,6,5,1,0.2,,5,,Pasta,,
,Tiffin Tin,Family Chicken Aloo Mutter,27,5,5,0.19,,25,,South Asian / Indian Curry,,
,Tiffin Tin,Family Mixed Vegetable Curry,7,5,3,0.43,,15,,South Asian / Indian Curry,,
,Zaatar Rathmines,Pizza Feast ( Cheese & Zaatar manaeesh + Margharita pizza + hummus + tabouleh),5,5,1,0.2,,5,,Other,,
,Taste Of Hong Kong-DCN,纯肉双拼家庭套餐，含2炒饭+2烧麦,9,5,1,0.11,,5,,Rice Bowl,,
,Zumuku Sushi,Chicken Katsu Curry,7,5,1,0.14,,5,,Katsu,,
,Remedy Kitchen,The Remedy Dinneroo Platter,46,5,10,0.22,,50,,Grain Bowl,,
,The Salad Project,The GOAT Family Style,15,5,1,0.07,,5,,Grain Bowl,,
,Yacob's Kitchen,Vegan Dinneroo Platter,17,5,1,0.07,,5,,Grain Bowl,,
,TUK TUK-SGroup,"Wings, Fries & Beansprout Salad",17,5,2,0.13,,10,,Other,,
,Tula Ireland,Family Quesadilla Dinneroo Feast,6,5,1,0.17,,5,,Quesadilla,,
,Shaku Maku,Grill & Mezze Family Feast (Grilled Chicken + chicken rolls + fatoush salad + hummus + baba ghanoush with bread and rice),17,5,3,0.18,,15,,Protein & Veg ,,
,Xian Street Food,Sweet and Sour Chicken Family Meal,32,5,2,0.06,,10,,Rice Bowl,,
,Remedy Kitchen,The Filler Dinneroo Platter,15,5,2,0.13,,10,,Grain Bowl,,
,Taste Of Hong Kong-DCN,纯肉双拼家庭套餐，含2炒饭+4小笼包,19,5,3,0.16,,15,,Rice Bowl,,
,atis,Chicken Family Feast,19,5,1,0.06,,5,,Grain Bowl,,
,PIZAZA-SGroup,Family Rose Pasta,18,5,1,0.06,,5,,Pasta,,
,Chaska,"Veg Biryani For The Table ( 2portions Biryani served with Dal, Raita and Papads )",3,5,1,0.33,,5,,Biryani,,
,Asia Villa,4x  Massaman Curry with Rice and Tofu,4,5,1,0.25,,5,,East Asian Curry,,
,Cacciari's,Penne with Traditional basil pesto Suitable for a Family of 4,6,5,1,0.17,,5,,Pasta,,
,Farmer J,Family Veggie Dinner,85,4.91,11,0.13,,54.01,,Grain Bowl,,
,Bill's,Family Chicken Thai Green Curry,38,4.88,8,0.21,,39.04,,East Asian Curry,,
,Iro Sushi,Katsu Family Feast,282,4.84,37,0.13,,179.08,,Katsu,,
,Bill's,Family Mac & Cheese with Bacon,70,4.82,11,0.16,,53.02,,Pasta,,
,Dishoom,Dishoom Chicken Ruby – for the family,"3,814",4.79,618,0.16,,2960.22,,South Asian / Indian Curry,,
,Ting Thai,Pad Thai Family Meal,248,4.79,28,0.11,,134.12,,Noodles,,
,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,642,4.78,111,0.18,,530.58,,Grain Bowl,,
,Itsu,little rice'bowls family bundle,80,4.78,9,0.12,,43.02,,Katsu,Rice Bowl,
,Asia Villa,4x  Asia Villa Special Fried Rice with Salt and Pepper Chicken,15,4.75,4,0.27,,19,,Fried Rice,,
,Zambrero UK,Family Rice Bowl Kit,37,4.75,4,0.11,,19,,Burrito / Burrito Bowl,,
,TUK TUK-SGroup,Korean Bulgogi and Steamed Rice,16,4.75,4,0.25,,19,,Rice Bowl,,
,Dishoom,Awadhi Jackfruit Biryani – for the family,379,4.73,60,0.16,,283.8,,Biryani,,
,Remedy Kitchen,Salmon Dinneroo Platter,62,4.73,11,0.18,,52.03,,Grain Bowl,,
,Dishoom,Dishoom Mattar Paneer – for the family,820,4.72,112,0.14,,528.64,,South Asian / Indian Curry,,
,Itsu,sushi family feast,"1,519",4.72,205,0.14,,967.6,,Sushi,,
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"1,233",4.72,157,0.13,,741.04,,Noodles,,
,Farmer J,Mix & Match Family Dinner,431,4.72,67,0.16,,316.24,,Grain Bowl,,
,Cacciari's,Lasagna Suitable for a Family of 4,177,4.7,27,0.16,,126.9,,Lasagne,,
,Bella Italia,Lasagne Family Bundle,141,4.7,20,0.15,,94,,Lasagne,,
,Asia Villa,4x Massaman Curry with Rice and Tofu,30,4.67,6,0.2,,28.02,,East Asian Curry,,
,Dishoom,Chicken Berry Britannia – for the family,"1,960",4.64,322,0.17,,1494.08,,Biryani,,
,Pho,It's a curry night,"2,865",4.64,416,0.15,,1930.24,,East Asian Curry,,
,Xian Street Food,Honey Chicken Family Meal (Honey Chicken (main) + Curry Chicken + Fried rice + boiled rice ),43,4.63,8,0.2,,37.04,,Rice Bowl,,
,Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal ( Honey Chicken (main) + Fried rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),28,4.6,5,0.18,,23,,Rice Bowl,,
,Farmer J,Family Chicken Dinner,897,4.6,121,0.14,,556.6,,Grain Bowl,,
,Bill's,Family Halloumi Shawarma,107,4.59,22,0.21,,100.98,,Shawarma,,
,Pho,Pho the whole fam,"6,100",4.57,919,0.15,,4199.83,,Pho,,
,Pho,Fresh from the wok,"2,025",4.56,313,0.16,,1427.28,,Fried Rice,Noodles,Rice Bowl
,Chaska,"Home-Style Butter Chicken Meal ( 16oz Butter Chicken, 12oz Tadka Dal, 1 Jeera Aloo and 2 Portion Fluffy Rice)",163,4.55,20,0.13,,91,,South Asian / Indian Curry,,
,Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,82,4.54,13,0.16,,59.02,,Rice Bowl,,
,Bill's,Family Mac N Cheese with Brisket,246,4.53,45,0.18,,203.85,,Pasta,,
,Bill's,Family Mac & Cheese with Brisket,150,4.53,30,0.2,,135.9,,Pasta,,
,Bill's,Family Chicken Shawarma,852,4.53,152,0.18,,688.56,,Shawarma,,
,Banana Tree,🍛Katsu Rice Bowl Bundle For Four,245,4.51,39,0.16,,175.89,,Katsu,,
,Zumuku,Rice Bowl - Salmon Teriyaki,13,4.5,4,0.31,,18,,Rice Bowl,,
,Asia Villa,4x Family Style Phad Thai with Korean Chicken,43,4.5,6,0.15,,27,,Noodles,,
,Yacob's Kitchen,Falafel Dinneroo Platter,88,4.5,20,0.23,,90,,Grain Bowl,,
,Zumuku,Chicken or Tofu Katsu Curry,17,4.5,4,0.25,,18,,Katsu,,
,Tula Ireland,"Tula Main, Tula Nachos & Kids Quesadilla Family Dinneroo Feast",10,4.5,2,0.2,,9,,Burrito / Burrito Bowl,Tacos,
,Kricket,Keralan Prawn,102,4.5,20,0.2,,90,,South Asian / Indian Curry,,
