,Top Items by Rx Zone,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,https://deliveroo.looker.com/explore/general/denormalised_items?qid=Ghs6zuJE4cqOFV4A0zCCRB&toggle=fil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Salesforce Sf Global Brand,Menu items Menu Item Operational Name,Location Zone Code,"Common Business Segments Orders count (delivered, rejected, cancelled, et al.)",Updated count,,,,Count dish,Ranked 1,,,Dish,Count dish type,Ranked 1,Ranked 2,Ranked 3,Ranked 4,Ranked 5,,,,,% Ranked 1,% Ranked 5
1,Dishoom,Dishoom Chicken Ruby – for the family,ISL,524,524.000001,1,1ISL,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
2,Dishoom,Dishoom Chicken Ruby – for the family,CNN,441,441.000002,1,1CNN,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
3,Dishoom,Dishoom Chicken Ruby – for the family,CLA,397,397.000003,1,1CLA,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
4,Dishoom,Dishoom Chicken Ruby – for the family,FCH,364,364.000004,1,1FCH,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
5,Dishoom,Dishoom Chicken Ruby – for the family,WAN,331,331.000005,1,1WAN,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
6,Pho,Pho the whole fam,BRS,331,331.000006,1,1BRS,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
7,Dishoom,Dishoom Chicken Ruby – for the family,WME,330,330.000007,1,1WME,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
8,Dishoom,Dishoom Chicken Ruby – for the family,CHI,323,323.000008,1,1CHI,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
9,Pho,Pho the whole fam,FCH,309,309.000009,2,2FCH,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
10,Dishoom,Chicken Berry Britannia – for the family,CNN,296,296.00001,2,2CNN,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
11,Dishoom,Dishoom Chicken Ruby – for the family,NHP,289,289.000011,1,1NHP,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
12,Dishoom,Dishoom Chicken Ruby – for the family,SUR,283,283.000012,1,1SUR,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
13,Dishoom,Dishoom Chicken Ruby – for the family,BRK,275,275.000013,1,1BRK,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
14,Pho,Pho the whole fam,BNC,270,270.000014,1,1BNC,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
15,Dishoom,Dishoom Chicken Ruby – for the family,WEM,257,257.000015,1,1WEM,,11,11,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
16,Pho,Pho the whole fam,BRK,255,255.000016,2,2BRK,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
17,Pho,Pho the whole fam,LEW,255,255.000017,1,1LEW,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
18,Pho,Pho the whole fam,CW,255,255.000018,1,1CW,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
19,Farmer J,Family Chicken Dinner,SBU,251,251.000019,1,1SBU,,6,3,50%,,Grain Bowl,102,4,6,1,4,3,,,,Grain Bowl,4%,18%
20,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,HAM,237,237.00002,1,1HAM,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
21,Dishoom,Chicken Berry Britannia – for the family,ISL,234,234.000021,2,2ISL,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
22,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,CLA,230,230.000022,2,2CLA,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
23,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,OXF,224,224.000023,1,1OXF,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
24,Pho,Pho the whole fam,CAM,216,216.000024,1,1CAM,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
25,Pho,Pho the whole fam,WEM,215,215.000025,2,2WEM,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
26,Pho,Pho the whole fam,MMS,212,212.000026,1,1MMS,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
27,Farmer J,Family Chicken Dinner,VWP,200,200.000027,1,1VWP,,6,3,50%,,Grain Bowl,102,4,6,1,4,3,,,,Grain Bowl,4%,18%
28,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,LEW,199,199.000028,2,2LEW,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
29,Ting Thai,Pad Thai Family Meal,EDC,188,188.000029,1,1EDC,,3,2,67%,,Noodles,143,3,9,11,12,18,,,,Noodles,2%,37%
30,Dishoom,Chicken Berry Britannia – for the family,CLA,188,188.00003,3,3CLA,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
31,Pho,Pho the whole fam,CHI,188,188.000031,2,2CHI,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
32,Pho,Pho the whole fam,OXF,186,186.000032,2,2OXF,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
