,Top Items by Rx,,,,,,,
,,,,,,,,
,,,,,,,,
,Source,https://deliveroo.looker.com/explore/general/denormalised_items?qid=bOVMdZQRGnuvbnyvlrxHxe&toggle=fil,,,,,,
,,,,,,,,
,Salesforce Sf Global Brand,Menu items Menu Item Operational Name,Restaurant Information Restaurant Name,Key Fields Restaurant ID,"Common Business Segments Orders count (delivered, rejected, cancelled, et al.)",,,Dish
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - ISL,275289,524,,,South Asian / Indian Curry
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - BLW,275291,441,,,South Asian / Indian Curry
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - BCP,259052,397,,,South Asian / Indian Curry
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - CRE,512053,364,,,South Asian / Indian Curry
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - WNW,315971,331,,,South Asian / Indian Curry
,Pho,Pho the whole fam,Pho - Bristol,20132,331,,,Pho
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - WME,233074,330,,,South Asian / Indian Curry
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - ACT,365458,323,,,South Asian / Indian Curry
,Pho,Pho the whole fam,Pho - Editions - CRE,266756,309,,,Pho
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - BLW,275291,296,,,Biryani
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - SWC,233073,289,,,South Asian / Indian Curry
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - BER,315972,283,,,South Asian / Indian Curry
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - DUL,394105,275,,,South Asian / Indian Curry
,Pho,Pho the whole fam,Pho - Brighton,931,270,,,Pho
,Dishoom,Dishoom Chicken Ruby – for the family,Dishoom - Editions - BRC,614147,257,,,South Asian / Indian Curry
,Pho,Pho the whole fam,Pho - Editions - DUL,409502,255,,,Pho
,Pho,Pho the whole fam,Pho - Greenwich,666157,255,,,Pho
,Pho,Pho the whole fam,Pho - Canary Wharf,515404,255,,,Pho
,Farmer J,Family Chicken Dinner,Farmer J - Hammersmith,640803,251,,,Grain Bowl
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113002 - Banana Tree Thai, Vietnamese, Vegan - West Hampstead",421,237,,,Rice Bowl
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - ISL,275289,234,,,Biryani
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113003 - Banana Tree Thai, Vietnamese, Vegan - Battersea",474,230,,,Rice Bowl
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113008 - Banana Tree Thai, Vietnamese, Vegan - Oxford",11309,224,,,Rice Bowl
,Pho,Pho the whole fam,Pho - Cambridge,13797,216,,,Pho
,Pho,Pho the whole fam,Pho - Editions - BRC,409503,215,,,Pho
,Farmer J,Family Chicken Dinner,Farmer J - St James's Park,293084,200,,,Grain Bowl
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113016 - Banana Tree Thai, Vietnamese, Vegan - Greenwich",592325,199,,,Rice Bowl
,Pho,Pho the whole fam,Pho - Chiswick,770,188,,,Pho
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - BCP,259052,188,,,Biryani
,Pho,Pho the whole fam,Pho - Oxford,65830,186,,,Pho
,Wagamama,family chicken katsu,Wagamama - Finchley Great North Leisure Park - 194,13344,185,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Reading - 130,267325,183,,,Katsu
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113001 - Banana Tree Thai, Vietnamese, Vegan - Maida Vale",1116,182,,,Rice Bowl
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - ACT,365458,181,,,Biryani
,Wagamama,family chicken katsu,Wagamama - Croydon - 143,41246,180,,,Katsu
,Cacciari's,Lasagna Suitable for a Family of 4,Cacciari's Piadineria & Restaurant,7,177,,,Lasagne
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113007 - Banana Tree Thai, Vietnamese, Vegan - Milton Keynes The Hub",19752,175,,,Rice Bowl
,Pho,Pho the whole fam,Pho - Wimbledon,35290,175,,,Pho
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - CRE,512053,175,,,Biryani
,Kricket,Butter Chicken,Kricket - London Fields,289811,170,,,South Asian / Indian Curry
,Wagamama,family chicken katsu,Wagamama - Bromley - 232,44065,170,,,Katsu
,Pho,Pho the whole fam,Pho - Ealing,8567,169,,,Pho
,Wagamama,family chicken katsu,Wagamama - Wimbledon - 134,12426,169,,,Katsu
,Pho,Pho the whole fam,Pho - Nottingham,406930,169,,,Pho
,Pho,Pho the whole fam,Pho - Kingston,48587,166,,,Pho
,Wagamama,family chicken katsu,Wagamama - Bournemouth - 151,11931,165,,,Katsu
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - BER,315972,164,,,Biryani
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113004 - Banana Tree Thai, Vietnamese, Vegan - Angel Islington",148,164,,,Rice Bowl
