,Top Items,,,,,
,,,,,,
,,,,,,
,Source,"https://deliveroo.looker.com/explore/general/denormalised_items?qid=aAOBBRYz5onas70gkurK2y&toggle=fil,vis",,,,
,,6 Oct - 12 Dec,,,,
,,,,,,
,Sf Global Brand,Menu Item Operational Name,"Orders count (delivered, rejected, cancelled, et al.)",,Number of Rx,Average Items per Rx
,Wagamama,family chicken katsu,"7,800",,103,76
,Pho,Pho the whole fam,"6,100",,46,133
,Dishoom,Dishoom Chicken Ruby – for the family,"3,814",,11,347
,Pho,It's a curry night,"2,865",,46,62
,PizzaExpress,Family Favourites Feast,"2,802",,166,17
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"2,410",,18,134
,Pho,Fresh from the wok,"2,025",,46,44
,Dishoom,Chicken Berry Britannia – for the family,"1,960",,11,178
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,"1,689",,38,44
,Itsu,sushi family feast,"1,519",,50,30
,Giggling Squid,Family Thai Curry Bundle,"1,326",,38,35
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"1,233",,18,69
,Wagamama,family chicken coconut + lemongrass curry,"1,148",,103,11
,PizzaExpress,Family Pasta Feast,920,,166,6
,Farmer J,Family Chicken Dinner,897,,9,100
,Bill's,Family Chicken Shawarma,852,,40,21
,PizzaExpress,Family Pizza Feast,824,,166,5
,Dishoom,Dishoom Mattar Paneer – for the family,820,,11,75
,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,642,,0,0
,Bella Italia,Mix & Match Family Bundle,621,,29,21
,Wagamama,family yasai katsu,530,,103,5
,Giggling Squid,Family Spicy Bundle,507,,38,13
,Bill's,Family Shepherd's Pie,441,,40,11
,Cocotte,Family Feast One,438,,5,88
,Farmer J,Mix & Match Family Dinner,431,,9,48
,Kricket,Butter Chicken,389,,3,130
,Itsu,hot faves family bundle,382,,50,8
,Dishoom,Awadhi Jackfruit Biryani – for the family,379,,11,34
,Wagamama,family tofu coconut + lemongrass curry,363,,103,4
,Iro Sushi,Katsu Family Feast,282,,30,9
,Las Iguanas,Fajitas Family of Three Bundle,281,,29,10
,Kokoro,Kokoro Family Bundle,262,,19,14
,LEON,Big Bundle for 4,261,,36,7
,Las Iguanas,Fajitas Family of Four Bundle,255,,29,9
,Ting Thai,Pad Thai Family Meal,248,,4,62
,Bill's,Family Mac N Cheese with Brisket,246,,40,6
,Banana Tree,🍛Katsu Rice Bowl Bundle For Four,245,,18,14
,Las Iguanas,Mixed Bundle For Four,243,,29,8
,Cocotte,Family Feast Two,235,,5,47
,Cacciari's,Lasagna Suitable for a Family of 4,177,,1,177
,Chaska,"Home-Style Butter Chicken Meal ( 16oz Butter Chicken, 12oz Tadka Dal, 1 Jeera Aloo and 2 Portion Fluffy Rice)",163,,4,41
,Milano,Family Favourites Feast,163,,10,16
,Bill's,Family Mac N Cheese,159,,40,4
,Bill's,Family Mac & Cheese with Brisket,150,,40,4
,Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,143,,5,29
,Bella Italia,Lasagne Family Bundle,141,,29,5
,LEON,Family Favourites Feast,140,,36,4
