,Px Covergae,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Partners,Coverage,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Coverage,Asian,Italian,Indian,Healthy,Mexican,Middle Eastern,British,,
,Wagamama,91%,x,,,,,,,Can't reasonably stretch to other cuisines,
,PizzaExpress,89%,,x,,,,,,Can't reasonably stretch to other cuisines,NEED TO ADD IN LASAGNE TO ANALYSIS
,Pho,52%,x,,,x,,,,Current menu works well and covers majority of menu sections - don't extend further,
,Bill's,43%,x,x,x,x,x,x,x,Opportunity to work with Bill's to fill dish gaps,
,Giggling Squid,42%,x,,,,,,,Can't reasonably stretch to other cuisines,
,Prezzo,41%,,x,,,,,,Can't reasonably stretch to other cuisines,
,Itsu,37%,x,,,x,,,,Current menu works well and covers majority of menu sections - don't extend further,
,Bella Italia,32%,,x,,,,,,Can't reasonably stretch to other cuisines,
,Las Iguanas,32%,,,,,x,,,Can't reasonably stretch to other cuisines,
,Iro Sushi,25%,x,,,,,,,Can't reasonably stretch to other cuisines - but add sushi,
,Banana Tree,23%,x,,,,,,,Can't reasonably stretch to other cuisines,
,LEON,21%,x,x,x,x,x,x,x,[Pulled from programme],
,Dishoom,18%,,,x,,,,,Can't reasonably stretch to other cuisines - but add sushi,
,Kokoro,17%,x,,,,,,,Can't reasonably stretch to other cuisines - but add sushi,
,Zambrero UK,15%,,,,,x,,,Can't reasonably stretch to other cuisines,
,Remedy Kitchen,14%,x,x,x,x,x,x,x,Opportunity to work with Remedy Kicthen to fill dish gaps (but present in well covered areas),
,Yacob's Kitchen,12%,,,,x,,x,,,
,atis,9%,,,,,,,,,
,Asia Villa,8%,,,,,,,,,
,Tiffin Tin,8%,,,,,,,,,
,Farmer J,7%,,,,,,,,,
,Kricket,7%,,,,,,,,,
,Cocotte,6%,,,,,,,,,
,Ting Thai,4%,,,,,,,,,
,Milano,4%,,,,,,,,,
,Saravana Bhavan,4%,,,,,,,,,
,Xian Street Food,4%,,,,,,,,,
,Chaska,3%,,,,,,,,,
,Umi Falafel,2%,,,,,,,,,
,SOYO-SGroup,2%,,,,,,,,,
,PIZAZA-SGroup,2%,,,,,,,,,
,Zumuku,2%,,,,,,,,,
,Cacciari's,2%,,,,,,,,,
,Taste Of Hong Kong-DCN,2%,,,,,,,,,
,Tadka House,1%,,,,,,,,,
,Tula Ireland,1%,,,,,,,,,
,Zumuku Sushi,1%,,,,,,,,,
,TUK TUK-SGroup,1%,,,,,,,,,
,Shaku Maku,1%,,,,,,,,,
,Zaatar Rathmines,1%,,,,,,,,,
,The Salad Project,0%,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Demand Strength,Consumer Preference,,,,,,,,
,Casserole / Stew,#DIV/0!,#DIV/0!,,,,,,,,
,Risotto,#DIV/0!,#DIV/0!,,,,,,,,
,Tagine,#DIV/0!,#DIV/0!,,,,,,,,
,Paella,#DIV/0!,#DIV/0!,,,,,,,,
,Pastry Pie,#DIV/0!,#DIV/0!,,,,,,,,
,Jacket potato,#DIV/0!,#DIV/0!,,,,,,,,
,Sausage & mash,#DIV/0!,#DIV/0!,,,,,,,,
,Fish & chips,#DIV/0!,#DIV/0!,,,,,,,,
,Roast,#DIV/0!,#DIV/0!,,,,,,,,
,Peking duck,#DIV/0!,#DIV/0!,,,,,,,,
,Mezze,#DIV/0!,#DIV/0!,,,,,,,,
