,Survey Analysis,,,,,
,,,,,,
,,,,,,
,,,,,,
,List of menu items,Menu Items Simplified,Rx Name,Ref,,UPDATED DISH
,4x Family Style Phad Thai with Korean Chicken,Pad thai,Asia Villa,Pad thaiAsia Villa,,Noodles
,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,Fried rice,Asia Villa,Fried riceAsia Villa,,Fried Rice
,,Pho soup deal with some extra kids meals,Asia Villa,Pho soup deal with some extra kids mealsAsia Villa,,Pho
,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,Special fried rice,Asia Villa,Special fried riceAsia Villa,,Fried Rice
,4x Traditional Chow Mein with Sweet Chili Chicken,4 x chow mein with sweet chilli chicken,Asia Villa,4 x chow mein with sweet chilli chickenAsia Villa,,Noodles
,,Special fried rice,Asia Villa,Special fried riceAsia Villa,,Fried Rice
,,Pad Thai,Asia Villa,Pad ThaiAsia Villa,,Noodles
,,Don't remember,Asia Villa,Don't rememberAsia Villa,,
,,The rice and chicken,Asia Villa,The rice and chickenAsia Villa,,Fried Rice
,,Fried rice x 4,Asia Villa,Fried rice x 4Asia Villa,,Fried Rice
,,Pad Thai,Asia Villa,Pad ThaiAsia Villa,,Noodles
,,Special fried rice,Asia Villa,Special fried riceAsia Villa,,Fried Rice
,,Egg Noodles and Korean chicken,Asia Villa,Egg Noodles and Korean chickenAsia Villa,,Noodles
,Tofu Pad Thai ~ Tofu Pad Thai ~ Tofu Pad Thai ~ Tofu Pad Thai ~ 🍜Pad Thai Bundle For Four🍜,Azteca,Atis,AztecaAtis,,Grain Bowl
,Korean Egg - Soy and chilli marinated egg ~ Korean Egg - Soy and chilli marinated egg ~ Stir Fried Broccoli ~ Crispy Vegan Gyoza ~ Katsu Vegan Rice Bowl ~ Katsu Vegan Rice Bowl ~ Tofu Teriyaki Rice Bowl ~ Tofu Teriyaki Rice Bowl ~ 🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Sweetcorn Fritters,Vegan Katsu,Banana Tree,Vegan KatsuBanana Tree,,Katsu
,Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ Chicken Teriyaki Rice Bowl ~ Chicken Teriyaki Rice Bowl ~ Katsu Fries (VG) ~ 🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Katsu Curry, Thai Curry, Chips",Banana Tree,"Katsu Curry, Thai Curry, ChipsBanana Tree",,Katsu
,Chicken & Prawn Pad Thai ~ Chicken & Prawn Pad Thai ~ 🍜Pad Thai Bundle For Four🍜 ~ Chicken Pad Thai ~ Chicken Pad Thai,Pad thai,Banana Tree,Pad thaiBanana Tree,,Noodles
,🍜Pad Thai Bundle For Four🍜 ~ Sweetcorn Fritters ~ Prawn Pad Thai ~ Prawn Pad Thai ~ Prawn Pad Thai ~ Prawn Pad Thai,Pad Thai,Banana Tree,Pad ThaiBanana Tree,,Noodles
,🍜Pad Thai Bundle For Four🍜 ~ Sweetcorn Fritters ~ Sweetcorn Fritters ~ Salt & Pepper Chilli Chips (VG) ~ Tofu Pad Thai ~ Tofu Pad Thai ~ Tofu Pad Thai ~ Tofu Pad Thai,Pham Thai bundle for 4 with sweetcorn fritter x2 and salt and pepper chips x1,Banana Tree,Pham Thai bundle for 4 with sweetcorn fritter x2 and salt and pepper chips x1Banana Tree,,Noodles
,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ Tofu Teriyaki Rice Bowl ~ Chicken Teriyaki Rice Bowl,"Chicken katsu, teriyaki tofu, teriyaki chicken",Banana Tree,"Chicken katsu, teriyaki tofu, teriyaki chickenBanana Tree",,Katsu
,Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ 🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Chicken Teriyaki Rice Bowl ~ Firecracker Chicken Rice Bowl,"Firecracker chicken, teriyaki chicken, chicken katsu curry",Banana Tree,"Firecracker chicken, teriyaki chicken, chicken katsu curryBanana Tree",,Rice Bowl
,🍛Katsu Rice Bowl Bundle For Four ~ Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl,Katsu Chicken,Banana Tree,Katsu ChickenBanana Tree,,Rice Bowl
,Chicken Teriyaki Rice Bowl ~ Chicken Teriyaki Rice Bowl ~ 🍛Teriyaki Rice Bowl Bundle For Four ~ Tofu Teriyaki Rice Bowl ~ Tofu Teriyaki Rice Bowl,Teriyaki bowls,Banana Tree,Teriyaki bowlsBanana Tree,,Rice Bowl
,Tofu Teriyaki Rice Bowl ~ Tofu Teriyaki Rice Bowl ~ Katsu Vegan Rice Bowl ~ Katsu Vegan Rice Bowl ~ 🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Vegan katsu, tofu rice bowl",Banana Tree,"Vegan katsu, tofu rice bowlBanana Tree",,Rice Bowl
,Chicken & Prawn Pad Thai ~ 🍜Pad Thai Bundle For Four🍜 ~ Chicken Pad Thai ~ Chicken Pad Thai ~ Chicken Pad Thai,Pad Thai,Banana Tree,Pad ThaiBanana Tree,,Noodles
,Thai Calamari ~ Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ 🍛Katsu Rice Bowl Bundle For Four ~ Sweetcorn Fritters,Chicken Katsu Curry,Banana Tree,Chicken Katsu CurryBanana Tree,,Katsu
,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Firecracker chicken,Banana Tree,Firecracker chickenBanana Tree,,Rice Bowl
,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Chicken Teriyaki Rice Bowl ~ Firecracker Chicken Rice Bowl ~ Firecracker Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ Vietnamese Spring Rolls (VG),Singapore noodles,Banana Tree,Singapore noodlesBanana Tree,,Noodles
,Firecracker Chicken Rice Bowl ~ Firecracker Chicken Rice Bowl ~ 🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl,Katsu and Firecracker chicken rice bowls,Banana Tree,Katsu and Firecracker chicken rice bowlsBanana Tree,,Rice Bowl
,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Extra Sweet Chilli Sauce (VG) ~ Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ Mango and Lime Sauce ~ Extra Sauces ~ Extra Sauces ~ Firecracker Chicken Rice Bowl ~ Chicken Teriyaki Rice Bowl,rice bowls,Banana Tree,rice bowlsBanana Tree,,Rice Bowl
,Chicken Teriyaki Rice Bowl ~ 🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Firecracker Chicken Rice Bowl ~ Firecracker Chicken Rice Bowl ~ Katsu Chicken Rice Bowl,Katsu curry rice bowel firecracker chicken rice bowel teriyaki chicken rice bowel,Banana Tree,Katsu curry rice bowel firecracker chicken rice bowel teriyaki chicken rice bowelBanana Tree,,Katsu
,Nasi Goreng Indonesian Fried Rice ~ 🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Katsu Chicken Rice Bowl ~ Katsu Fries (VG) ~ Firecracker Chicken Rice Bowl ~ Firecracker Chicken Rice Bowl ~ Chicken Teriyaki Rice Bowl,"Fire cracker chicken, and katsu",Banana Tree,"Fire cracker chicken, and katsuBanana Tree",,Rice Bowl
,Firecracker Chicken Rice Bowl ~ Firecracker Chicken Rice Bowl ~ 🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Chicken Teriyaki Rice Bowl ~ Katsu Chicken Rice Bowl ~ Vietnamese Spring Rolls (VG),4 rice boxes for £20,Banana Tree,4 rice boxes for £20Banana Tree,,Rice Bowl
,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ Chicken Teriyaki Rice Bowl ~ Chicken Teriyaki Rice Bowl ~ Prawn Crackers ~ Prawn Crackers,Set menu for 4. Teriyaki chicken and chicken rice,Banana Tree,Set menu for 4. Teriyaki chicken and chicken riceBanana Tree,,Rice Bowl
,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,teryaki chicken,Banana Tree,teryaki chickenBanana Tree,,Rice Bowl
,Katsu Chicken Rice Bowl ~ Katsu Chicken Rice Bowl ~ 🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜 ~ Chicken Teriyaki Rice Bowl ~ Chicken Teriyaki Rice Bowl,Mix Rice dish,Banana Tree,Mix Rice dishBanana Tree,,Rice Bowl
,🍜Pad Thai Bundle For Four🍜 ~ Prawn Pad Thai ~ Tofu Pad Thai ~ Chicken Pad Thai ~ Chicken Pad Thai,Pad Thai,Banana Tree,Pad ThaiBanana Tree,,Noodles
