Respondent ID,Panel ID,"When was the last time you ordered food for delivery from any service (e.g, Deliveroo, Uber Eats, Just Eat)?",Which of the following food delivery apps have you used in the past 12 months? - Deliveroo,Which of the following food delivery apps have you used in the past 12 months? - Just Eat,Which of the following food delivery apps have you used in the past 12 months? - Uber Eats,Which of the following food delivery apps have you used in the past 12 months? - None of these,"Thinking about food delivery services, what new offers, deals, or initiatives, if any, come to mind? If none come to mind, please write N/A below.","And which company or app were those from? If N/A, please write this below.","Have you seen or heard about something called ""Family Dinneroo"" from Deliveroo?",Where have you seen or heard about it? Please select all that apply. - In the Deliveroo app,Where have you seen or heard about it? Please select all that apply. - In an email or notification from Deliveroo,"Where have you seen or heard about it? Please select all that apply. - Social media (e.g., Instagram, TikTok, Facebook)","Where have you seen or heard about it? Please select all that apply. - Online ads (e.g., banners, search results)",Where have you seen or heard about it? Please select all that apply. - On YouTube or while watching videos online,Where have you seen or heard about it? Please select all that apply. - In a Podcast or while listening to music,Where have you seen or heard about it? Please select all that apply. - TV or radio,"Where have you seen or heard about it? Please select all that apply. - Outdoor ads (billboards, bus stops, etc.)","Where have you seen or heard about it? Please select all that apply. - Friends, family, or word-of-mouth",Where have you seen or heard about it? Please select all that apply. - Don't recall,Where have you seen or heard about it? Please select all that apply. - Other,What message or idea do you most remember about Family Dinneroo?,"In your own words, what do you think “Family Dinneroo” is?","Based on what you’ve seen or heard about it so far, how appealing does Family Dinneroo sound to you?","Based on this, how appealing does Family Dinneroo look to you?","In your own words, what do you think this offer is about?",Do you think Family Dinneroo is…,"Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Price / value for money","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Portion size","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Balanced or healthy options","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Choice of restaurants","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Speed or convenience","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Ability to customise meals","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Family-friendly options (something for everyone)","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Other","What, if anything, would make this more appealing to you?",Which of the following best describes your experience with Family Dinneroo?,"Now that you know what Family Dinneroo is, how likely are you to consider ordering it in the near future?",What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t think the meals will be nutritious/balanced enough for weekdays,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t think we’ll get enough food for the price,"What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - My family have very specific needs (likes, dislikes, dietary needs)",What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - We don't eat between 4:30pm and 6:30pm,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - Our window for dinner is tight / I don’t want to risk it being late,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t want the food to arrive cold,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I won’t have time to browse and order,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - It will probably be more than £25,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - Other,"If Deliveroo had this offering in the app tomorrow, how likely are you to click in and browse available restaurants?",Age,Gender,UK Region MD,U 16 HH
dfbc7a4d-746e-4b81-af29-52a3b52511e5yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,Just eat,N/a,"Yes, definitely",No,No,Yes,No,No,No,No,No,No,No,No,Family meals,Food,Somewhat appealing,Not very appealing,It okay ,Good value,Yes,No,No,No,No,No,No,No,Cheaper,"I've heard of it, but I'm not interested in trying it",Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Male,Core London,U 16 In HH
43fbc2b6-62d0-45a9-9815-141575c4cab8yffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,Free delivery,Just eat,Maybe / not sure,No,No,No,No,No,No,Yes,No,No,No,No,Having different takeaway meals in the same delivery,An order where you can order multiple types of food in one delivery ,Somewhat appealing,Somewhat appealing,Family bundle deal ,Good value,Yes,No,Yes,No,No,No,Yes,No,A bit cheaper,"I've heard of it, but I'm not interested in trying it",Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,South England Wales,U 16 In HH
a7d99355-8214-4eb8-baa6-85eb9a167c26yffknfw,4pzacubs3vg,4-12 months ago,Yes,No,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Cheaper delivered food from Deliveroo,Good value,Yes,No,Yes,No,No,No,Yes,No,Even cheaper and vegetarian alternatives ,,Neither likely nor unlikely,,,,,,,,,,Unlikely,55,Male,South England Wales,U 16 In HH
df534f1b-b2f8-4602-ad90-47f3b210c223yffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,Membership discounts ,Uber eats,Maybe / not sure,No,No,No,No,No,No,No,No,No,Yes,No,That they do family meal offers,A discount for family food,Somewhat appealing,Somewhat appealing,Feed the family for £25 or less on certain days/times,Good value,Yes,Yes,No,Yes,No,No,No,No,To have later finish time and extend to weekends,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Female,South England Wales,Other HH
62a179c5-dcdb-4621-8500-5a2a7cebed36yffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,Pizza hut deals,Pizza hut,"Yes, definitely",No,No,No,No,Yes,No,Yes,No,No,No,No,Dinner for the whole family,Special deals for multi buy,Somewhat appealing,Somewhat appealing,£25. Family deals mon-thu evening,Excellent value,No,Yes,No,No,No,No,No,No,Everyday longer hours,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,55,Male,South England Wales,Other HH
feaf1976-38f4-4363-ac7d-21d54fa12a1dyffknfw,4pzacubs3vg,1-3 months ago,No,No,Yes,No, /A,None,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Cheaper food,Good value,Yes,Yes,Yes,No,No,No,No,No,None,,Somewhat likely,,,,,,,,,,Might do if convenient,55,Female,South England Wales,Other HH
e5185c84-cf0b-4809-9baf-bc2c5e5c341cyffknfw,4pzacubs3vg,1-3 months ago,No,Yes,Yes,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Offer,Good value,Yes,No,No,No,No,No,Yes,No,The price,,Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Male,South England Wales,U 16 In HH
99b86749-74d3-4d3f-bbc0-ddca37957778yffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,students deal,deliveroo,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,a discounted family package,Fair value,Yes,Yes,No,No,No,No,Yes,No,less price,,Somewhat likely,,,,,,,,,,Definitely would,35 44,Female,Scotland,U 16 In HH
e0f64b6e-38f9-4350-9ca4-f3589008a075yffknfw,4pzacubs3vg,1-3 months ago,Yes,No,Yes,No,"there is nothing that comes to mind

",deliveroo,Maybe / not sure,No,No,No,No,No,No,No,No,Yes,No,No,its a deal for families to order food ,a family food deliveyr option ,Somewhat appealing,Somewhat appealing,yo can get a amily delivery option for cheap ,Good value,Yes,No,Yes,No,No,Yes,No,No,there is nothing that makes this mnore appealing to me ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,Scotland,Other HH
8d6ecdac-03ce-438a-abed-f48d10189d74yffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,A family meal,Good value,Yes,No,No,No,No,Yes,Yes,No,Lots of vegetarian options ,,Somewhat likely,,,,,,,,,,Might do if convenient,55,Female,Core London,Other HH
