,All,168,88,18,2,,,276,61%,32%,7%,1%,,,,,,,,,,,,,
,Affluence,Every day,2-3 days,Once a week,Once a fortnight,,,Total,Every day,2-3 days,Once a week,Once a fortnight %,,,,,,,,,,,,,
"For midweek evening meals (Monday-Thursday), how often do you eat together with your family at the table?",,,,,,,,,,,,,,,,,,,,,,,,,
,"£30,001 to £40,000",26,9,1,0,,,36,72%,25%,3%,0%,,,,,,,,,,,,,
,"£40,001 to £50,000",22,12,2,0,,,36,61%,33%,6%,0%,,,,,,,,,,,,,
,"£50,001 to £75,000",39,26,1,0,,,66,59%,39%,2%,0%,,,,,,,,,,,,,
,"£75,001 to £100,000",26,16,4,0,,,46,57%,35%,9%,0%,,,,,,,,,,,,,
,"£100,001 to £125,000",12,10,5,0,,,27,44%,37%,19%,0%,,,,,,,,,,,,,
,"Over £125,000",11,5,2,0,,,18,61%,28%,11%,0%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Child Age,Every day,2-3 days,Once a week,Once a fortnight,,,Total,Every day,2-3 days,Once a week,Once a fortnight,,,,,,,,,,,,,
,4 or younger,55,21,10,0,,,86,64%,24%,12%,0%,,,,,,,,,,,,,
,5,44,14,5,1,,,64,69%,22%,8%,2%,,,,,,,,,,,,,
,6,32,13,6,0,,,51,63%,25%,12%,0%,,,,,,,,,,,,,
,7,36,8,2,0,,,46,78%,17%,4%,0%,,,,,,,,,,,,,
,8,26,25,3,0,,,54,48%,46%,6%,0%,,,,,,,,,,,,,
,9,21,6,3,0,,,30,70%,20%,10%,0%,,,,,,,,,,,,,
,10,15,10,2,1,,,28,54%,36%,7%,4%,,,,,,,,,,,,,
,11,20,11,1,0,,,32,63%,34%,3%,0%,,,,,,,,,,,,,
,12,14,9,1,0,,,24,58%,38%,4%,0%,,,,,,,,,,,,,
,13,22,7,3,0,,,32,69%,22%,9%,0%,,,,,,,,,,,,,
,14,10,8,1,0,,,19,53%,42%,5%,0%,,,,,,,,,,,,,
,15,11,10,0,1,,,22,50%,45%,0%,5%,,,,,,,,,,,,,
,16 or older,21,9,0,1,,,31,68%,29%,0%,3%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,All,114,136,24,0,1,1,276,41%,49%,9%,0%,0%,0%,,,,,,,,,,,
,Affluence,Every day,2-3 times a week,Once a week,Once a fortnight,Less than once a fortnight,Never,,Every day,2-3 times a week,Once a week,Once a fortnight,Less than once a fortnight,Never,,,,,,,,,,,
"Cook a meal from scratch (or a Meal Kit):For a midweek evening meal (Monday-Thursday), eating together with your family at the table, how often do you or another adult do the following:",,,,,,,,,,,,,,,,,,,,,,,,,
,"£30,001 to £40,000",16,17,2,0,1,0,36,44%,47%,6%,0%,3%,0%,,,,,,,,,,,
,"£40,001 to £50,000",8,25,3,0,0,0,36,22%,69%,8%,0%,0%,0%,,,,,,,,,,,
,"£50,001 to £75,000",25,37,4,0,0,0,66,38%,56%,6%,0%,0%,0%,,,,,,,,,,,
,"£75,001 to £100,000",21,21,4,0,0,0,46,46%,46%,9%,0%,0%,0%,,,,,,,,,,,
,"£100,001 to £125,000",10,12,5,0,0,0,27,37%,44%,19%,0%,0%,0%,,,,,,,,,,,
,"Over £125,000",8,6,3,0,0,1,18,44%,33%,17%,0%,0%,6%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Child Age,Every day,2-3 times a week,Once a week,Once a fortnight,Less than once a fortnight,Never,,Every day,2-3 times a week,Once a week,Once a fortnight,Less than once a fortnight,Never,,,,,,,,,,,
,4 or younger,33,0,12,0,0,0,45,73%,0%,27%,0%,0%,0%,,,,,,,,,,,
,5,27,0,5,0,0,0,32,84%,0%,16%,0%,0%,0%,,,,,,,,,,,
,6,26,0,7,0,0,0,33,79%,0%,21%,0%,0%,0%,,,,,,,,,,,
,7,24,0,2,0,0,0,26,92%,0%,8%,0%,0%,0%,,,,,,,,,,,
,8,22,0,2,0,0,0,24,92%,0%,8%,0%,0%,0%,,,,,,,,,,,
,9,15,0,1,0,0,0,16,94%,0%,6%,0%,0%,0%,,,,,,,,,,,
,10,13,0,1,0,0,0,14,93%,0%,7%,0%,0%,0%,,,,,,,,,,,
,11,12,0,2,0,0,0,14,86%,0%,14%,0%,0%,0%,,,,,,,,,,,
,12,9,0,3,0,0,0,12,75%,0%,25%,0%,0%,0%,,,,,,,,,,,
,13,13,0,4,0,0,0,17,76%,0%,24%,0%,0%,0%,,,,,,,,,,,
,14,8,0,0,0,0,0,8,100%,0%,0%,0%,0%,0%,,,,,,,,,,,
,15,10,0,2,0,0,0,12,83%,0%,17%,0%,0%,0%,,,,,,,,,,,
,16 or older,14,0,4,0,0,0,18,78%,0%,22%,0%,0%,0%,,,,,,,,,,,
,,,,,,,,,,,,Average Meal time,,,,,,,,,,,,,
,,,4.25,4.75,5.25,5.75,6.25,6.75,7.25,7.75,,6.0,,,,,,,,,,,,,
,Affluence,Before 4pm,16:00 - 16:30,16.30 - 17:00,17:00 - 17:30,17.30 - 18:00,18:00 - 18:30,18.30 - 19:00,19:00 - 19:30,19.30 - 20:00,20:00 or after,Average Meal time,Average Meal time,Total,Before 4pm,16:00 - 16:30,16.30 - 17:00,17:00 - 17:30,17.30 - 18:00,18:00 - 18:30,18.30 - 19:00,19:00 - 19:30,19.30 - 20:00,20:00 or after,
,,3,13,29,95,98,99,63,36,16,5,92%,,,1%,3%,6%,21%,21%,22%,14%,8%,4%,1%,
,Affluence,Before 4pm,16:00 - 16:30,16.30 - 17:00,17:00 - 17:30,17.30 - 18:00,18:00 - 18:30,18.30 - 19:00,19:00 - 19:30,19.30 - 20:00,20:00 or after,Average Meal time,Average Meal time,Total,Before 4pm,16:00 - 16:30,16.30 - 17:00,17:00 - 17:30,17.30 - 18:00,18:00 - 18:30,18.30 - 19:00,19:00 - 19:30,19.30 - 20:00,20:00 or after,
"Before 4pm:For midweek evening meals (Monday-Thursday), eating together with your family at the table, what time do you typically eat?","£20,001 to £30,000",0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,
,"£30,001 to £40,000",0,0,2,15,11,10,5,3,3,0,5.97,5:58.469387755102,49,0%,0%,4%,31%,22%,20%,10%,6%,6%,0%,
,"£40,001 to £50,000",0,3,6,15,15,13,9,6,2,1,5.90,5:54.1304347826087,70,0%,4%,9%,21%,21%,19%,13%,9%,3%,1%,
,"£50,001 to £75,000",2,2,9,27,24,20,11,6,1,1,5.82,5:48.9,103,2%,2%,9%,26%,23%,19%,11%,6%,1%,1%,
,"£75,001 to £100,000",1,3,4,14,18,23,12,6,2,1,6.01,6:0.365853658536572,84,1%,4%,5%,17%,21%,27%,14%,7%,2%,1%,
,"£100,001 to £125,000",0,0,3,7,11,7,9,6,4,1,6.24,6:14.3617021276596,48,0%,0%,6%,15%,23%,15%,19%,13%,8%,2%,
,"Over £125,000",0,0,0,2,7,6,10,2,1,0,6.36,6:21.4285714285714,28,0%,0%,0%,7%,25%,21%,36%,7%,4%,0%,
,,,,,,,,,,,,,,,,,,,,,,,,,
