AGE,CUSTOMISATION OPEN ENDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ages,"Burger & Chips (e.g. Beef, Chicken, Veggie):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Meat & Chips (e.g. Steak, Chicken):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Meat & vegetables (e.g. Roast, Grilled, Breaded):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Fish & chips:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Sausage & mash:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Cottage/Shepherd's/Fish Pie:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Pastry Pie (e.g. Chicken, Steak, Beef, Veggie):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Jacket potato:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Casserole / Stew:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Soup:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Sandwich / Toastie:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Pizza:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Lasagne:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Boiled Pasta (e.g. Bolognese, Tomato, Pesto, Cheese):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Baked Pasta (e.g. Chicken, Tuna, Tomato):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Filled Pasta (e.g. Raviolli, Tortellini):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Risotto:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Gnocchi:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Curry & Rice (e.g. Tikka, korma, butter chicken):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Stir fry / Noodles:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Rice bowl / fried rice:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Katsu Curry:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Chicken (e.g. Sweet & Sour, Sweet Chilli):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Thai Curry (e.g. Red, Green, Massaman):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Thai Noodles (e.g. Pad Thai):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Ramen:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Fajitas / Burritos:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Chilli & Rice (e.g. Con Carne, 3-Bean):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Tacos / Enchiladas / Quesadillas:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Piri-piri / Peri Peri:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Jerk Chicken:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Cajun Chicken:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Paella:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Stroganoff:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Tagine:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Cous Cous:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)"
6,,,,,,,,,,,fvgfs,,,asdfas,,,,,,,,,,,asdfadf,,dfada,,,,,,,,,
"6,8,9",,,,,,,,,,,,,,,345,,,,,,345,,,,,,,,,,,345,,,,
"6,8",,,,,,,,,,sef,,,,,,,sef,,,,,,sef,,,,,,,,,,,,,sef
"5,10",,,,,,,,,,sdf,,,,sdf,,,,,,sdf,,,,,,,,,,,sdf,,,,,
"9,10",,,,,,,,,,,,Add pineapple for the children.,,,,,,,,,,,,No chilli for the children.,,,,,,,,,,,,
"8,15",,,,Crispy ,Buttery mash ,,,Lots of cheese,,,,Different toppings,,Saucey ,Lots of flavours ,Cooked well,Moist ,,,,,,Full of flavour ,,,,Lots of bits to choose from ,,,,,,,,,
"12,14",The taste,The amount of meat,The freshness of the vegetables ,The taste,The quality of the sausage ,The taste,,The taste,,,,Is it cooked properly ,The taste,,The taste,The quality,,,The quality,,The quality ,The taste,The taste,,,,The quality ,The quality ,,,,The taste,,,,
"6,10,12,13",More hot sauce,,,Vinegar and salt,,,,,,,,,,,,,,More tomato sauce,Sweet and spicy,,,,,,,,,,,,,,Needs to have seafoods,,,
"7,10,12",Less veg,Nothing,Less veg,Less salt,Nothing,,,More limited fillings,,,,Less elaborate toppings,Nothing,Less spice,Nothing,,,,Less heat,Less spice,Nothing,Nothing,Nothing,Less heat,Nothing,,Less heat,Less heat ,Less heat,Nothing,,Nothing,,,,Nothing
"5,10",Sauces,Less spice ,Less spice,Nothing,Nothing,Nothing ,,Nothing ,,,,,Nothing,Nothing,Nothing,,,,,,Less spice,,,,,,Less spice,,,,Less spice ,,,,,
"7,10",Make your own with fillings like salad and sauces and cheese,,,,,,Looks appetising,"Fillings that kids like, beans and cheese",,Nothing ,,Nothing,,Nothing,,Nothing,,Nothing,Not spicy,Not spicy,Not spicy,Not spicy ,,Not spicy ,,Again not spicy,Favourite fillings and not spicy,,Their rav fillings and make your own,,,,,,,
"6,7,11,13",Ordered from the right shop ,,,Just for the adults would have salt and vinegar,,,,,,,The right type of spread / topping ,The right topping ,,The right shape of pasta ,,,,,The right korma sauce ,,The right consistency,,Ordered from the right shop ,Just for the adults so would add more chilli ,Just for the adults so would add peanuts ,,,,,,,,,,,
15,1,,,,1,,,1,,,2,1,1,,1,,,,1,1,,1,,,,,1,1,,1,1,,1,,,1
"5,10,11","Type of meat, sauces used ",Prefer breaded poultry ,Type of vegetables ,Seasoning ,Chicken sausages preferred ,,,Youngest prefers without skin,,No bits ,,Don't like onions or peppers ,,If Bolognese has to be served on one plate but each item separately ,,,,,,,,,,,,,,,,,,,,,,
"7,11",,Lots of protein and veg ,Varied veg and all the trimmings ,"Cod not too ""fishy""",Smooth and buttery mash not so much garlic ,,Crispy pastry on top,Various fillings for each of them,,,,Crispy and thin base ,Not too much cheese sauce ,Nothing different ,Nothing different ,,,Not too much garlic and chorizo ,Not too spicy,Veg they will eat more meat then veg,Not too much soy sauce ,Not too spicy ,Flavours not too strong ,,,,Crispy and cheesy ,,Bland flavours ,,,Very mild ,,,,
15,,My son likes his steak rare so I cook his first with mine then do my husbands medium ,I prepare this exactly the same for the whole family ,My son does not like white fish so I bake a salmon fillet for him while I batter white fish for husband and i,Son likes his sausages really really well done ,Everyone eats the same way ,Everyone eats the same way ,"Son likes cheese first, then his topping then cheese again",,Son likes it chunky ,,Everyone eats the same way ,Everyone eats the same way ,Everyone eats the same way ,,,Everyone eats the same way ,,Son likes his meat on the bone in a curry and husband only likes breast meat so I have to use both ,Everyone eats the same way ,Everyone eats the same way ,Everyone eats the same way ,Everyone eats the same way ,Everyone eats the same way ,,Everyone eats the same way ,Everyone eats the same way ,Everyone eats the same way ,Everyone eats the same way ,Everyone eats the same way ,Son doesn't like chicken skin so I use bone in thighs for this and boneless breast for husband ,Everyone eats the same way ,,Everyone eats the same way ,,
6,,,plane no sauce ,,,,,lots of cheese ,,croutons for the kids or bread to dip,no sauce,very plain,they love it ,,,easy and quick ,,,,no visible veg,no visible veg ,, they love chicken ,,,,must have guacamole,must not be too spicey,,,,,,,,
"6,7,11",Mild burgers for children ,Non spicy meat ,Roast veg,,Creamy mash. Mild sausages ,,Non spicy chicken filling,,,,,With pepperoni on ,,No tomato chunks ,,,,,"No spicy, no chunky onions or tomatoes ",,,,,,,,,,,Mild,,Mild,,,,
