Kids are more involved in decisions as they get older ,
TT gets rarer as kids get older ,
Younger kids = more likely to eat pre-prepared ,
,
,
General age splits ,
,
AGE,COUNTA of AGE
,0
10,7
"10,11",2
"10,12",2
"10,12,14",1
"10,13",1
"10,13,16 or older",1
"10,14",3
"10,15",1
"10,16 or older",2
11,3
"11,12,16 or older",1
"11,13",4
"11,13,15",1
"11,13,16 or older",1
"11,15",1
"11,16 or older",3
12,6
"12,14",6
"12,15",3
"12,15,16 or older",1
"12,16 or older",2
13,2
"13,15,16 or older",3
"13,16 or older",5
14,6
"14,16 or older",5
15,8
"15,16 or older",7
"4 or younger,10",4
"4 or younger,10,11",1
"4 or younger,11",1
"4 or younger,12",1
"4 or younger,13",3
"4 or younger,13,16 or older",1
"4 or younger,14",1
"4 or younger,14,16 or older",2
"4 or younger,5",30
"4 or younger,5,10,12,14",1
"4 or younger,5,11",1
"4 or younger,5,11,12",1
"4 or younger,5,7",4
"4 or younger,5,8",6
"4 or younger,5,9",1
"4 or younger,6",32
"4 or younger,6,13,15,16 or older",1
"4 or younger,6,7",1
"4 or younger,6,8",3
"4 or younger,6,8,12",1
"4 or younger,6,9",1
"4 or younger,7",13
"4 or younger,7,10",1
"4 or younger,7,16 or older",1
"4 or younger,8",13
"4 or younger,8,13",1
"4 or younger,8,14",1
"4 or younger,9",1
"4 or younger,9,13",1
5,14
"5,10",4
"5,10,11",1
"5,10,12",1
"5,11,13",1
"5,12",2
"5,13",4
"5,14",3
"5,6",2
"5,7",12
"5,7,15",1
"5,7,9",1
"5,8",7
"5,8,16 or older",1
"5,9",2
"5,9,15",1
6,5
"6,10",1
"6,10,12,13",1
"6,10,13",1
"6,11",3
"6,11,13",1
"6,11,14",1
"6,12,16 or older",1
"6,13",1
"6,15",2
"6,15,16 or older",1
"6,16 or older",1
"6,7",1
"6,7,11",2
"6,7,11,13",1
"6,7,8,10,15",1
"6,7,9,12",1
"6,8",6
"6,8,9",1
"6,9",6
7,5
"7,10",5
"7,10,12",1
"7,10,13,16 or older",1
"7,11",2
"7,11,13,16 or older",1
"7,12,15",1
"7,13",2
"7,8",2
"7,8,11,13",1
"7,8,16 or older",1
"7,9",4
"7,9,11",1
"7,9,11,12",1
"7,9,13",2
"7,9,14,16 or older",1
8,5
"8,10",8
"8,11",5
"8,12",4
"8,12,14",1
"8,13",3
"8,14",2
"8,14,16 or older",1
"8,15",3
"8,16 or older",1
"8,9",2
9,4
"9,10",3
"9,10,13",1
"9,11",6
"9,12",2
"9,12,14",1
"9,13",5
"9,14",2
"9,16 or older",2
Total ages,1
