Myself:Who in your household plays a role in deciding what to eat for these mid-week evening meals? (Please select all that apply),My partner:Who in your household plays a role in deciding what to eat for these mid-week evening meals? (Please select all that apply),My child/children:Who in your household plays a role in deciding what to eat for these mid-week evening meals? (Please select all that apply),Other adults:Who in your household plays a role in deciding what to eat for these mid-week evening meals? (Please select all that apply),,,,,,,,,,,,,,,,
,,,,,,,,,,,Decision maker ,Count,%,,Any children ,,Decision maker ,Count,%
,My partner,,Other adults,,,Myself,,,,,Myself,70,29%,,33%,,Myself,70,29%
,My partner,,Other adults,,,My partner,,,,,My partner ,9,4%,,,,"Myself, My partner & My child ",52,22%
,,My child/children,,,,"Myself, My partner",,,,,Myself and my partner ,44,18%,,,,Myself & My partner ,44,18%
,,,,,,"Myself, My child/children",,,,,Myself and my child,11,5%,,,,,,
Myself,,,,,,"Myself, My partner, My child/children",,,,,Myself and my partner and my child ,52,22%,,,,Myself & My child,11,5%
,,,,,,My child/children,,,,,My partner and my child,7,3%,,,,My Partner ,9,4%
Myself,My partner,My child/children,,,,"My partner, My child/children",,,,,Other adults,5,2%,,,,My Partner & My child,7,3%
Myself,,,,,,Other adults,,,,,My child,2,1%,,100%,,Other adults,5,2%
Myself,My partner,My child/children,,,,"Myself, Other adults",,,,,Myself and other adults,5,2%,,,,Myself & Other adults,5,2%
Myself,My partner,My child/children,,,,"My partner, Other adults",,,,,My partner and other adults,2,1%,,,,"Myself, My child & Other adults",3,1%
Myself,My partner,My child/children,,,,"Myself, My partner, Other adults",,,,,"Myself, My partner, Other adults",2,1%,,,,"Myself, My partner, My child & Other adults",3,1%
Myself,,,,,,"Myself, My child/children, Other adults",,,,,"Myself, My child/children, Other adults",3,1%,,,,My child,2,1%
Myself,My partner,My child/children,,,,"Myself, My partner, My child/children, Other adults",,,,,"Myself, My partner, My child/children, Other adults",3,1%,,,,My partner & Other adults,2,1%
Myself,,,,,,"My child/children, Other adults",,,,,"My child/children, Other adults",0,0%,,,,"Myself, My partner & Other adults",2,1%
Myself,,,,,,"My partner, My child/children, Other adults",,,,,"My partner, My child/children, Other adults",0,0%,,,,My child & Other adults,0,0%
Myself,My partner,,,,,(No one selected),,,,,(No one selected),22,9%,,,,"My partner, My child/children & Other adults",0,0%
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
,,,,,238,,Decision making varies by family,,,,,,,,,,,,
,My partner,,,,,,"Sometimes it's one person taking on the mental load, sometimes its a team effort, sometimes you're actively engaging with the kids ",,,,,,,,,,,,
Myself,My partner,My child/children,,,,,We need to think about sharing with the parents and something the children could potentially understand and read themselves ,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,,,Other adults,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,,My child/children,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,,My child/children,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,,Other adults,,,,,,,,,,,,,,,,
,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
,,,Other adults,,,,,,,,,,,,,,,,
Myself,,,Other adults,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
,,,Other adults,,,,,,,,,,,,,,,,
,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,,My child/children,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
,,,Other adults,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,,My child/children,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,,,Other adults,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,Other adults,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,,,Other adults,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,My partner,,,,,,,,,,,,,,,,,,
Myself,,,,,,,,,,,,,,,,,,,
Myself,My partner,My child/children,,,,,,,,,,,,,,,,,
