Full Name,Cook it from scratch (or a Meal Kit),0-5,5-10,10-15,15-20,20-25,25-30,30-40,40-50,50-60,60+,Avg. Prep Time,,Eaten in last 2 months,Heat a pre-prepared meal from a shop (e.g From the Freezer / Ready Meal / Supermarket Pizza),Heat a pre-prepared meal by you (e.g. Leftovers / Batch Cooking),Order hot for collection,Order hot for delivery,,Wishlist,I don't know how to make it,I don't have time to make it,My children won't eat it,I've never thought about it,You can't get the ingredients where I shop,It's not nutritious enough,It's too expensive
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curry & Rice (e.g. Tikka, korma, butter chicken)",62,19,19,22,36,44,47,44,34,22,12,28.22,,299,208,6,32,44,,24,0,5,17,2,0,1,0
Fajitas / Burritos,244,7,12,37,54,65,48,34,23,6,0,23.96,,286,22,9,5,6,,21,1,5,9,4,0,2,2
"Meat & vegetables (e.g. Roast, Grilled, Breaded)",279,0,8,24,35,39,50,64,30,31,35,34.16,,316,27,7,3,0,,19,1,3,7,3,1,1,6
Pizza,62,77,51,73,54,36,30,16,9,1,5,15.38,,352,208,6,32,44,,15,2,4,3,2,0,7,1
Stir fry / Noodles,244,17,28,59,68,43,37,23,12,5,0,19.81,,292,26,5,8,9,,21,3,1,13,3,1,1,0
"Burger & Chips (e.g. Beef, Chicken, Veggie)",173,21,13,23,51,43,59,47,12,12,2,24.36,,283,81,4,10,15,,33,5,3,15,4,0,7,4
"Boiled Pasta (e.g. Bolognese, Tomato, Pesto, Cheese)",319,16,38,66,75,53,42,36,16,5,8,21.37,21.37,355,20,14,2,0,,5,0,2,3,1,0,0,1
 ,Cook it from scratch (or a Meal Kit),0-5,5-10,10-15,15-20,20-25,25-30,30-40,40-50,50-60,60+,Avg. Prep Time,,Eaten in last 2 months,Heat a pre-prepared meal from a shop (e.g From the Freezer / Ready Meal / Supermarket Pizza),Heat a pre-prepared meal by you (e.g. Leftovers / Batch Cooking),Order hot for collection,Order hot for delivery,,Wishlist,I don't know how to make it,I don't have time to make it,My children won't eat it,I've never thought about it,You can't get the ingredients where I shop,It's not nutritious enough,It's too expensive
"Chilli & Rice (e.g. Con Carne, 3-Bean)",191,2,8,13,27,34,46,52,30,7,11,30.43,,230,13,21,2,3,,21,0,4,13,5,0,0,0
Jacket potato,226,19,33,51,33,19,19,24,22,13,14,23.95,,247,18,2,1,0,,40,0,8,20,9,0,6,2
"Chicken (e.g. Sweet & Sour, Sweet Chilli)",211,19,19,28,29,36,58,51,19,9,6,25.47,,274,23,9,17,14,,13,0,1,10,1,0,0,1
Rice bowl / fried rice,176,16,20,33,42,28,37,25,10,8,2,22.08,,221,20,7,9,9,,17,6,1,3,7,0,0,1
Fish & chips ,68,59,24,21,26,35,33,37,15,2,1,19.31,,253,96,4,62,23,,36,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
Tacos / Enchiladas / Quesadillas,156,4,7,16,26,45,38,35,13,4,6,26.78,,194,22,5,4,7,,43,3,17,15,9,0,0,0
Sausage & mash,228,6,14,36,36,49,62,47,14,5,1,24.53,,270,36,5,1,0,,25,1,4,12,7,1,2,2
Lasagne,184,16,38,66,75,53,42,36,16,5,8,21.37,,252,45,15,5,3,,63,7,24,29,8,1,0,1
"Baked Pasta (e.g. Chicken, Tuna, Tomato)",216,7,20,38,29,37,48,38,25,9,1,25.07,,252,23,10,3,0,,21,0,5,9,4,0,1,2
"Meat & Chips (e.g. Steak, Chicken)",217,4,14,25,39,48,41,52,25,10,7,27.42,,265,32,3,7,6,,28,0,6,6,4,0,9,15
Cottage/Shepherd's/Fish Pie,150,5,5,13,10,24,31,43,32,24,12,34.30,,199,37,9,2,1,,70,5,19,44,13,0,3,0
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Cook it from scratch (or a Meal Kit),0-5,5-10,10-15,15-20,20-25,25-30,30-40,40-50,50-60,60+,Avg. Prep Time,,Eaten in last 2 months,Heat a pre-prepared meal from a shop (e.g From the Freezer / Ready Meal / Supermarket Pizza),Heat a pre-prepared meal by you (e.g. Leftovers / Batch Cooking),Order hot for collection,Order hot for delivery,,Wishlist,I don't know how to make it,I don't have time to make it,My children won't eat it,I've never thought about it,You can't get the ingredients where I shop,It's not nutritious enough,It's too expensive
Piri-piri / Peri Peri,89,18,5,13,18,20,24,22,16,6,4,25.68,,146,20,6,15,16,,29,6,1,15,7,1,0,0
Cajun Chicken,91,6,9,13,16,21,25,24,9,7,3,26.39,,133,22,8,8,4,,32,4,2,21,9,0,0,1
"Filled Pasta (e.g. Raviolli, Tortellini)",79,22,46,30,20,17,10,12,9,3,2,16.97,,171,81,7,2,2,,35,8,3,19,4,1,0,4
Casserole / Stew,104,1,6,5,13,13,12,12,12,13,30,39.19,,117,2,9,2,0,,29,2,7,18,0,1,0,2
"Thai Curry (e.g. Red, Green, Massaman)",67,6,7,6,18,10,20,22,11,7,3,27.98,,110,19,6,8,10,,77,11,11,51,9,2,1,0
Soup,93,24,19,12,16,15,18,18,11,8,8,23.83,,149,46,9,1,0,,37,0,8,25,5,1,2,0
"Pastry Pie (e.g. Chicken, Steak, Beef, Veggie)",68,10,14,19,19,17,28,26,12,17,14,29.25,,176,90,10,4,4,,49,3,15,22,8,1,5,2
 ,Cook it from scratch (or a Meal Kit),0-5,5-10,10-15,15-20,20-25,25-30,30-40,40-50,50-60,60+,Avg. Prep Time,,Eaten in last 2 months,Heat a pre-prepared meal from a shop (e.g From the Freezer / Ready Meal / Supermarket Pizza),Heat a pre-prepared meal by you (e.g. Leftovers / Batch Cooking),Order hot for collection,Order hot for delivery,,Wishlist,I don't know how to make it,I don't have time to make it,My children won't eat it,I've never thought about it,You can't get the ingredients where I shop,It's not nutritious enough,It's too expensive
Thai Noodles (e.g. Pad Thai),56,11,9,13,19,10,19,10,7,4,3,23.02,,105,17,5,13,14,,52,11,4,29,8,5,0,0
Cous Cous,80,16,18,15,18,12,5,7,4,1,1,16.80,,97,12,4,1,0,,28,2,1,18,6,1,0,0
Katsu Curry,63,8,9,11,3,19,19,16,15,8,0,26.88,,108,21,4,9,11,,45,6,9,24,7,2,0,0
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich / Toastie,157,31,74,31,19,9,5,4,3,2,1,11.97,,179,12,7,1,2,,12,1,1,5,4,0,4,0
Tagine,20,1,1,4,3,3,2,5,3,6,4,35.47,,32,7,4,1,0,,40,9,12,15,7,1,0,3
Paella,55,3,1,7,5,9,9,21,8,9,3,32.33,,75,13,4,2,1,,60,15,15,27,10,3,0,7
Stroganoff,35,1,3,3,3,5,10,9,9,3,2,31.61,,48,8,4,1,0,,41,10,6,21,3,0,0,5
Gnocchi,37,4,12,16,14,8,8,6,4,1,1,19.66,,74,27,5,5,0,,28,4,2,15,8,0,2,1
Ramen,51,9,6,14,13,11,9,15,4,2,1,21.96,,84,14,6,7,6,,36,10,4,14,7,2,3,1
Risotto,77,1,5,8,9,4,22,26,11,7,1,30.29,,94,8,3,3,3,,61,10,12,35,8,0,1,1
Jerk Chicken,47,4,0,6,7,9,7,17,13,10,6,34.46,,79,11,11,5,5,,38,7,2,25,6,2,0,1
,,2.5,7.5,12.5,17.5,22.5,27.5,35,45,55,65,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wishlist,Avg. Prep Time,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wishlist,Avg. Prep Time,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wishlist,Avg. Prep Time,,,,,,,,,,,,,,,,,,,,,,,,,
