,"Burger & Chips (e.g. Beef, Chicken, Veggie):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Meat & Chips (e.g. Steak, Chicken):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Meat & vegetables (e.g. Roast, Grilled, Breaded):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Fish & chips:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Sausage & mash:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Cottage/Shepherd's/Fish Pie:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Pastry Pie (e.g. Chicken, Steak, Beef, Veggie):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Jacket potato:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Casserole / Stew:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Soup:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Sandwich / Toastie:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Pizza:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Lasagne:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Boiled Pasta (e.g. Bolognese, Tomato, Pesto, Cheese):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Baked Pasta (e.g. Chicken, Tuna, Tomato):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Filled Pasta (e.g. Raviolli, Tortellini):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Risotto:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Gnocchi:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Curry & Rice (e.g. Tikka, korma, butter chicken):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Stir fry / Noodles:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Rice bowl / fried rice:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Katsu Curry:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Chicken (e.g. Sweet & Sour, Sweet Chilli):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Thai Curry (e.g. Red, Green, Massaman):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Thai Noodles (e.g. Pad Thai):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Ramen:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Fajitas / Burritos:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Chilli & Rice (e.g. Con Carne, 3-Bean):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Tacos / Enchiladas / Quesadillas:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Piri-piri / Peri Peri:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Jerk Chicken:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Cajun Chicken:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Paella:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Stroganoff:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Tagine:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Cous Cous:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Choice of sauces, simple burger bun, just lettuce in the bun",Cut the meat into smaller pieces ,Cut the meat into smaller pieces,,Plain sausages without herbs,Vegetables to be cut small,Nothing different ,Simple toppings such as beans or cheese,,,,"Plain toppings like margarita, chicken but no extra flavours like pesto",Small chunks of vegetables ,Lots of cheese for the top and simple tomato and basil sauce ,,Smooth filling ,,,Nothing too spicy and plain rice,Small vegetables and a familiar sauce such as soy or black bean ,,,,,,,"Lots of cheese, vegetables to be cut up and crunchy ",,Nothing too spicy and smaller wraps,,,,,,,
,"Cut up burgers, no onions ","Cut up steak, thin chips ",Thinly sliced veggies,,Cheesy mash ,,,Half potatoes ,No carrots,,,Only tomato sauce ,,No mushrooms ,Only chicken bake ,,,,Mild spicy,No bean sprouts ,,Less sauce ,,Mild spicy ,Mild spicy no bean sprouts ,,Soft tacos ,Mild spicy no beans ,No lettuce ,,,,,,,
,,Meat well done ,Meat well done ,,,,,None,None ,None,,No ham or pork ,,None ,,,,,,None ,None ,,None ,,,,,,,None,,,,,,None 
,,Nutritious and tastes nice,Nutritious and tastes nice,,,,,,,,,Convenient and tastes nice too,Cooked home made,,,,,,,,,,Cooked home made without being processed meat,,,,,Home made and healthy,,,,,,,,
,Son doesn't eat chips so leave them out,,,,,,,,Don't do anything different they eat it or don't ,,,No adjustment needed,Don't do anything different they eat it or don't ,Keep it very simple eg plenty of cheese,Don't do anything different they eat it or don't ,Don't do anything different they eat it or don't ,,,Don't do anything different they eat it or don't ,Don't do anything different they eat it or don't ,Don't do anything different they eat it or don't ,We only ever order it don't make it,We only ever order it don't make it,,Don't do anything different they eat it or don't ,,Don't do anything different they eat it or don't ,,Don't do anything different they eat it or don't ,,Don't do anything different they eat it or don't ,,,,,
,Beef mince,Less spicy,Less spicy,Small portions,Extra gravy,,,Extra beans,,Extra sweetcorn,Cheese onlu,Extra cheese,,No sauce,No red sauce,No spices,,,No spices ,Plain noodles,Plain rice,,Sweet and sour,,No spices ,Extra stock,,Less spicy,Extra cheese,,Less spicy,More cajun spicr,Just one type of meat,,,Plain
,Children like joining in using the burger press,Kids love a roast so meat and chips with veg is a quicker mid week alternative. ,Roast is a favourite dinner and a great way to get the kids eating veg,,"We often use microwave mash if we are short on time to make this quicker, other elements cooked from scratch",Eldest child likes to help prep this on the weekend,,,,,,The kids live home made pizzas. ,Eldest child likes to help prep this on the weekend. She could cook this independently now! ,Eldest child lioves to help prep this. Either bolognese or cheese and broccoli pasta.,,,,,,,,,,,,,,,,,,,,,,
,"Use smaller patties, soft buns, and mild seasoning for kid-friendly flavors.","Cut meat into bite-sized pieces with a mild, crispy coating.","Offer tender, easy-to-chew pieces with mild seasoning and colorful veggies.","Use boneless, lightly breaded fish with a crispy texture and mild flavor.",,,"Make smaller, handheld pies with soft, flaky crust and mild fillings.",,Cook until soft with mild flavors and include familiar vegetables.,,"Use soft bread, mild spreads, and easy-to-eat fillings.",Use a soft crust with mild sauce and simple toppings kids enjoy.,,"Use soft pasta with mild, creamy sauces and minimal spices.","Add a cheesy, creamy layer with soft, easy-to-chew fillings.",,,,,"Use soft noodles with mild, sweet flavors and tender veggies.","Keep the flavors mild, use soft rice, and add small veggie pieces.",,"Make the sauce mild and slightly sweet, with soft chicken bites.",,"Use a sweet, mild peanut sauce with soft noodles and no spice.",,,Make it mild with more beans than spice and soft rice.,,"Reduce the heat, keeping a mild, tangy flavor.","Make it mild with a light seasoning and soft, boneless pieces.","Reduce spice levels with a smoky, mild seasoning and tender bites.",,,,
