,Score Column,Justification,Scale,Weight,,,,,Cuisine,Dish,%Eaten Regularly (Had in L2M/Total Respondents),%Wishlisted (Wishlist/Total Respondents),%Wishlist & Eaten in L2M,%Scratch Cooked (Scratch Cook or Meal Kit/Had Dish in L2M),%Ready Meal (Ready Meal/Had Dish in L2M),%Want to eat but it time Consuming (Time as barrier for not having/Respondents who wishlisted),%Want to eat but difficult (Difficulty as barrier/Respondents who did not select dish),%Want to eat but not nutritious enough (Nutrition as barrier/Respondents who did not select),Time Taken (Ave. time taken),Familiar,Aspirational,Scratch Cooked,Ready Meal,Time Consuming,Difficult to Make ,Not Nutritious,Prep Time,Shareable [Can come in one big portion],Customisable [Individual portions made to different preferences can be made easily],Healthy Enough [There are no danger signals with nutrition],Suitability Score (ALL),Suitability Score (TIME + EFFORT),Suitablity Score (NUTRITION)
Familiar,U,X% either already eat it or want to.,1-3 (Higher = More familiar = More suitable),30.00%,,,,,Italian,"Boiled Pasta (e.g. Bolognese, Tomato, Pesto, Cheese)",88%,1%,89%,90%,6%,40%,0%,0%,21.37,3.00,1.00,10.00,2.00,2.00,1.00,1.00,5.00,2.00,3.00,2.00,2.275,2.59125,3.2120625
Shareable,AC,Can come in one big portion.,1-3 (Higher = Easier to share = More suitable),12.50%,,,,,Italian,Pizza,87%,4%,91%,18%,59%,27%,13%,47%,15.38,3.00,3.00,1.00,9.00,1.00,5.00,10.00,3.00,3.00,3.00,1.00,2.025,4.00375,4.2576875
Time Consuming (Prep Time),T + AB,This dish takes longer than X to prep. We can save them time. ,1-3 (Higher = Takes longer = More suitable),25.00%,,,,,British/Generalist,"Meat & vegetables (e.g. Roast, Grilled, Breaded)",78%,5%,83%,88%,9%,16%,5%,5%,34.16,3.00,3.00,10.00,2.00,3.00,3.00,3.00,9.00,3.00,3.00,3.00,3.525,3.97875,4.4064375
Customisable,AD,Individual portions made to different preferences can be made easily,1-3 (Higher = Easier to customise = More suitable),12.50%,,,,,Indian,"Curry & Rice (e.g. Tikka, korma, butter chicken)",74%,6%,80%,21%,70%,21%,0%,4%,28.22,3.00,4.00,2.00,10.00,3.00,1.00,2.00,7.00,3.00,3.00,2.00,3.15,3.4725,3.768625
Healthy enough ,AE,There are no danger signals with nutrition.,1-3 (Higher = Perceived to be healthier - More suited),20.00%,,,,,Asian,Stir fry / Noodles,72%,5%,77%,84%,9%,5%,14%,5%,19.81,3.00,3.00,10.00,2.00,2.00,5.00,2.00,4.00,3.00,2.00,3.00,2.275,3.24125,3.8945625
Scratch Cooked,U,This dish is usually scratch cooked. We can save them time and effort. ,1-10,0.00%,,,,,Tex Mex,Fajitas / Burritos,71%,5%,76%,85%,8%,24%,5%,10%,23.96,3.00,3.00,10.00,2.00,2.00,3.00,3.00,5.00,3.00,3.00,3.00,2.525,3.32875,3.8239375
Ready Meal,V,This dish is usually from a ready meal. We can add nutritional value. ,1-10,0.00%,,,,,British/Generalist,"Burger & Chips (e.g. Beef, Chicken, Veggie)",70%,8%,78%,61%,29%,9%,15%,21%,24.36,3.00,5.00,7.00,5.00,2.00,5.00,6.00,6.00,2.00,3.00,1.00,3.025,4.35375,4.6751875
Time Consuming,W,This dish is perceived to take a long time to prep. We can save them time. ,1-10,0.00%,,,,,Asian,"Chicken (e.g. Sweet & Sour, Sweet Chilli)",68%,3%,71%,77%,8%,8%,0%,0%,25.47,3.00,2.00,9.00,2.00,2.00,1.00,1.00,6.00,3.00,3.00,3.00,2.65,2.7475,3.232375
Difficult to Make ,X,This dish is difficult to make. We can save them effort. ,1-10,0.00%,,,,,British/Generalist,Sausage & mash,67%,6%,73%,84%,13%,16%,4%,8%,24.53,3.00,4.00,10.00,3.00,2.00,3.00,3.00,6.00,1.00,2.00,2.00,2.9,3.685,4.15425
Not Nutritious (-),Y,This dish is seen as too unhealthy to eat regularly. We can provide a healthier option.  ,1-10,0.00%,,,,,British/Generalist,"Meat & Chips (e.g. Steak, Chicken)",66%,7%,73%,82%,12%,14%,11%,11%,27.42,3.00,4.00,9.00,3.00,3.00,4.00,4.00,7.00,2.00,3.00,2.00,3.15,4.0725,4.448625
,,,,100.00%,,,,,British/Generalist,Fish & chips ,63%,9%,72%,27%,38%,17%,0%,25%,19.31,3.00,5.00,3.00,6.00,2.00,1.00,6.00,4.00,2.00,2.00,1.00,2.525,3.37875,3.3264375
,,,,,,,,,Italian,Lasagne,62%,16%,78%,73%,18%,38%,11%,0%,21.37,3.00,9.00,8.00,4.00,2.00,4.00,1.00,5.00,3.00,1.00,2.00,3.275,3.84125,4.0245625
,,,,,,,,,Italian,"Baked Pasta (e.g. Chicken, Tuna, Tomato)",62%,5%,68%,86%,9%,24%,0%,5%,25.07,3.00,3.00,10.00,2.00,2.00,1.00,2.00,6.00,3.00,2.00,2.00,2.775,3.11625,3.5383125
,,,,,,,,,British/Generalist,Jacket potato,61%,10%,71%,91%,7%,20%,0%,15%,23.95,3.00,6.00,10.00,2.00,2.00,1.00,4.00,5.00,1.00,3.00,2.00,2.9,3.635,3.75175
,,,,,,,,,Tex Mex,"Chilli & Rice (e.g. Con Carne, 3-Bean)",57%,5%,62%,83%,6%,19%,0%,0%,30.43,3.00,3.00,9.00,2.00,3.00,1.00,1.00,8.00,3.00,3.00,3.00,3.275,3.24125,3.5945625
,,,,,,,,,Asian,Rice bowl / fried rice,55%,4%,59%,80%,9%,6%,35%,0%,22.08,3.00,3.00,9.00,2.00,2.00,10.00,1.00,5.00,2.00,3.00,3.00,2.525,3.62875,4.5389375
,,,,,,,,,British/Generalist,Cottage/Shepherd's/Fish Pie,49%,17%,67%,75%,19%,27%,7%,4%,34.30,3.00,10.00,9.00,4.00,3.00,3.00,2.00,9.00,3.00,2.00,2.00,4.4,4.76,4.758
,,,,,,,,,Tex Mex,Tacos / Enchiladas / Quesadillas,48%,11%,59%,80%,11%,40%,7%,0%,26.78,3.00,6.00,9.00,3.00,2.00,3.00,1.00,6.00,2.00,3.00,3.00,3.15,3.5225,3.871125
Familiar,S,,1-10,10.00%,,,,,British/Generalist,Sandwich / Toastie,44%,3%,47%,88%,7%,8%,8%,33%,11.97,2.00,2.00,10.00,2.00,1.00,4.00,8.00,1.00,1.00,3.00,1.00,1.1,3.365,3.79825
Aspirational,T,,1-10,10.00%,,,,,British/Generalist,"Pastry Pie (e.g. Chicken, Steak, Beef, Veggie)",44%,12%,56%,39%,51%,31%,6%,10%,29.25,2.00,7.00,4.00,8.00,3.00,3.00,3.00,7.00,3.00,1.00,2.00,3.225,4.13375,4.2241875
Scratch Cooked,U,,1-10,10.00%,,,,,Italian,"Filled Pasta (e.g. Raviolli, Tortellini)",42%,9%,51%,46%,47%,9%,23%,0%,16.97,2.00,5.00,5.00,8.00,1.00,7.00,1.00,3.00,2.00,2.00,2.00,1.975,3.34625,4.0598125
Ready Meal,Z,,1-10,10.00%,,,,,British/Generalist,Soup,37%,9%,46%,62%,31%,22%,0%,5%,23.83,2.00,5.00,7.00,5.00,2.00,1.00,3.00,5.00,3.00,2.00,3.00,2.475,3.32125,3.5085625
Time Consuming,V,,1-10,10.00%,,,,,Global,Piri-piri / Peri Peri,36%,7%,43%,61%,14%,3%,21%,0%,25.68,2.00,4.00,7.00,3.00,2.00,7.00,1.00,6.00,2.00,2.00,3.00,2.6,3.44,4.002
Difficult to Make ,W,,1-10,15.00%,,,,,Global,Cajun Chicken,33%,8%,41%,68%,17%,6%,13%,0%,26.39,2.00,5.00,8.00,3.00,2.00,5.00,1.00,6.00,2.00,2.00,2.00,2.725,3.45875,3.8904375
Not Nutritious,X,,1-10,10.00%,,,,,British/Generalist,Casserole / Stew,50%,12%,62%,89%,2%,24%,7%,0%,39.19,3.00,7.00,10.00,1.00,3.00,3.00,1.00,10.00,3.00,1.00,2.00,4.275,4.19125,4.3420625
Prep Time,Y,,1-10,15.00%,,,,,Asian,"Thai Curry (e.g. Red, Green, Massaman)",27%,19%,46%,61%,17%,14%,14%,1%,27.98,2.00,10.00,7.00,4.00,3.00,5.00,2.00,7.00,3.00,3.00,2.00,3.6,4.44,4.402
Suitability Score (TIME + EFFORT),,,,90.00%,,,,,Asian,Katsu Curry,27%,11%,38%,58%,19%,20%,13%,0%,26.88,2.00,6.00,6.00,4.00,2.00,5.00,1.00,6.00,2.00,2.00,2.00,2.85,3.4775,3.778875
,,,,,,,,,Asian,Thai Noodles (e.g. Pad Thai),26%,13%,39%,53%,16%,8%,21%,0%,23.02,2.00,7.00,6.00,3.00,2.00,7.00,1.00,5.00,3.00,2.00,2.00,2.725,3.55875,3.8454375
,,,,,,,,,Global,Cous Cous,24%,7%,31%,82%,12%,4%,7%,0%,16.80,1.00,4.00,9.00,3.00,1.00,3.00,1.00,3.00,2.00,2.00,3.00,1.55,2.6825,3.149125
Familiar,S,,1-10,15.00%,,,,,Italian,Risotto,23%,15%,38%,82%,9%,20%,16%,2%,30.29,2.00,8.00,9.00,2.00,3.00,6.00,2.00,8.00,3.00,2.00,2.00,3.6,4.44,4.602
Aspirational,T,,1-10,15.00%,,,,,Asian,Ramen,21%,9%,30%,61%,17%,11%,28%,8%,21.96,1.00,5.00,7.00,3.00,2.00,9.00,3.00,5.00,2.00,3.00,2.00,2.175,3.87625,4.3463125
Scratch Cooked,U,,1-10,5.00%,,,,,Global,Jerk Chicken,20%,9%,29%,59%,14%,5%,18%,0%,34.46,1.00,6.00,7.00,3.00,3.00,6.00,1.00,9.00,2.00,2.00,2.00,3.3,4.045,4.29225
Ready Meal,Z,,1-10,15.00%,,,,,Global,Paella,19%,15%,33%,73%,17%,25%,25%,0%,32.33,1.00,8.00,8.00,4.00,3.00,8.00,1.00,8.00,3.00,2.00,3.00,3.3,4.545,4.86725
Time Consuming,V,,1-10,10.00%,,,,,Italian,Gnocchi,18%,7%,25%,50%,36%,7%,14%,7%,19.66,1.00,4.00,5.00,6.00,2.00,5.00,3.00,4.00,2.00,2.00,2.00,1.8,3.32,3.706
Difficult to Make ,W,,1-10,5.00%,,,,,Global,Stroganoff,12%,10%,22%,73%,17%,15%,24%,0%,31.61,1.00,6.00,8.00,3.00,3.00,8.00,1.00,8.00,3.00,2.00,2.00,3.05,4.2075,4.625375
Not Nutritious,X,,1-10,30.00%,,,,,Global,Tagine,8%,10%,18%,63%,22%,30%,23%,0%,35.47,1.00,6.00,7.00,4.00,3.00,7.00,1.00,9.00,3.00,2.00,3.00,3.3,4.245,4.60225
Prep Time,Y,,1-10,5.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suitability Score (NUTRITION),,,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
