COLUMNS,Cuisine,Full Name,Full Question,Short Name,Eaten in last 2 months,,,Cook it from scratch (or a Meal Kit),Heat a pre-prepared meal from a shop (e.g From the Freezer / Ready Meal / Supermarket Pizza),Heat a pre-prepared meal by you (e.g. Leftovers / Batch Cooking),Order hot for collection,Order hot for delivery,,0-5,5-10,10-15,15-20,20-25,25-30,30-40,40-50,50-60,60+,Ave. Prep time,,Wishlist,I don't know how to make it,I don't have time to make it,My children won't eat it,I've never thought about it,You can't get the ingredients where I shop,It's not nutritious enough,It's too expensive,,%Eaten Regularly (Had in L2M/Total Respondents),%Wishlisted (Wishlist/Total Respondents),%Wishlist & Eaten in L2M,%Scratch Cooked (Scratch Cook or Meal Kit/Had Dish in L2M),%Ready Meal (Ready Meal/Had Dish in L2M),Checker,%Want to eat but it time Consuming (Time as barrier for not having/Respondents who wishlisted),%Want to eat but difficult (Difficulty as barrier/Respondents who wishlisted),%Want to eat but not nutritious enough (Nutrition as barrier/Respondents who did not select),Time Taken (This dish takes longer than X),Familiar [This dish is popular with many families in the UK],"Aspirational [Those who don't eat it, want to eat it more]","Scratch Cooked [Those who eat it, usually cook it from scratch]","Ready Meal [Those who eat it, usually get a ready meal to do so] ",Time Consuming [Those who don't eat it but want to say it takes too long],Difficult to Make [Those who don't eat it but want to say it's too difficult],Not Nutritious Enough [Those who don't eat it but want to say it isn't nutritious enough],Prep Time [Takes longer than X?],Shareable (LMH),Customisable (LMH),Healthy Enough (LMH),Shareable (LMH Score),Customisable (LMH Score),Healthy Enough (LMH Score),Familiar (LMH),Time Consuming (LMH),Familiar (LMH Score),Time Consuming (LMH Score),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Italian,"Boiled Pasta (e.g. Bolognese, Tomato, Pesto, Cheese)","Boiled Pasta (e.g. Bolognese, Tomato, Pesto, Cheese):For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Boiled Pasta,355,,355,319,20,14,2,0,,16,38,66,75,53,42,36,16,5,8,21.37,,5,0,2,3,1,0,0,1,,87.87%,1.24%,89.11%,89.86%,5.63%,89.11%,40.00%,0.00%,0.00%,21.37,10,1,10,2,10,1,1,5,Medium,High,Medium,2,3,2,High,Medium,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GA - Eaten freq., HA & HZ & JH & KG- Empty, LQ - Eaten frequently, NE - Cooking Method, OO - Time Method, PY - Kids custom, RI - Wishlist, UN-UT - Barriers ",Italian,Pizza,"Pizza:For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Pizza,352,,352,62,208,6,32,44,,77,51,73,54,36,30,16,9,1,5,15.38,,15,2,4,3,2,0,7,1,,87.13%,3.71%,90.84%,17.61%,59.09%,90.84%,26.67%,13.33%,46.67%,15.38,10,3,1,9,7,5,10,3,High,High,Low,3,3,1,High,Low,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76
,British/Generalist,"Meat & vegetables (e.g. Roast, Grilled, Breaded)","Meat & vegetables (e.g. Roast, Grilled, Breaded):For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Meat veg,316,,316,279,27,7,3,0,,0,8,24,35,39,50,64,30,31,35,34.16,,19,1,3,7,3,1,1,6,,78.22%,4.70%,82.92%,88.29%,8.54%,82.92%,15.79%,5.26%,5.26%,34.16,10,3,10,2,5,3,3,9,High,High,High,3,3,3,High,High,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indian,"Curry & Rice (e.g. Tikka, korma, butter chicken)","Curry & Rice (e.g. Tikka, korma, butter chicken):For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Curry Rice,299,,352,62,208,6,32,44,,19,19,22,36,44,47,44,34,22,12,28.22,,24,0,5,17,2,0,1,0,,74.01%,5.94%,79.95%,20.74%,69.57%,79.95%,20.83%,0.00%,4.17%,28.22,9,4,2,10,6,1,2,7,High,High,Medium,3,3,2,High,High,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asian,Stir fry / Noodles,"Stir fry / Noodles:For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Stir fry Noodles,292,,292,244,26,5,8,9,,17,28,59,68,43,37,23,12,5,0,19.81,,21,3,1,13,3,1,1,0,,72.28%,5.20%,77.48%,83.56%,8.90%,77.48%,4.76%,14.29%,4.76%,19.81,9,3,10,2,2,5,2,4,High,Medium,High,3,2,3,High,Medium,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tex Mex,Fajitas / Burritos,"Fajitas / Burritos:For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Fajitas Burritos,286,,286,244,22,9,5,6,,7,12,37,54,65,48,34,23,6,0,23.96,,21,1,5,9,4,0,2,2,,70.79%,5.20%,75.99%,85.31%,7.69%,75.99%,23.81%,4.76%,9.52%,23.96,9,3,10,2,7,3,3,5,High,High,High,3,3,3,High,Medium,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,British/Generalist,"Burger & Chips (e.g. Beef, Chicken, Veggie)","Burger & Chips (e.g. Beef, Chicken, Veggie):For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Burger Chips,283,,283,173,81,4,10,15,,21,13,23,51,43,59,47,12,12,2,24.36,,33,5,3,15,4,0,7,4,,70.05%,8.17%,78.22%,61.13%,28.62%,78.22%,9.09%,15.15%,21.21%,24.36,9,5,7,5,3,5,6,6,Medium,High,Low,2,3,1,High,Medium,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asian,"Chicken (e.g. Sweet & Sour, Sweet Chilli)","Chicken (e.g. Sweet & Sour, Sweet Chilli):For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Chicken,274,,274,211,23,9,17,14,,19,19,28,29,36,58,51,19,9,6,25.47,,13,0,1,10,1,0,0,1,,67.82%,3.22%,71.04%,77.01%,8.39%,71.04%,7.69%,0.00%,0.00%,25.47,8,2,9,2,3,1,1,6,High,High,High,3,3,3,High,Medium,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,British/Generalist,Sausage & mash,"Sausage & mash:For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Sausage mash,270,,270,228,36,5,1,0,,6,14,36,36,49,62,47,14,5,1,24.53,,25,1,4,12,7,1,2,2,,66.83%,6.19%,73.02%,84.44%,13.33%,73.02%,16.00%,4.00%,8.00%,24.53,8,4,10,3,5,3,3,6,Low,Medium,Medium,1,2,2,High,Medium,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,British/Generalist,"Meat & Chips (e.g. Steak, Chicken)","Meat & Chips (e.g. Steak, Chicken):For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Meat Chips,265,,265,217,32,3,7,6,,4,14,25,39,48,41,52,25,10,7,27.42,,28,3,4,10,5,1,3,10,,65.59%,6.93%,72.52%,81.89%,12.08%,72.52%,14.29%,10.71%,10.71%,27.42,8,4,9,3,4,4,4,7,Medium,High,Medium,2,3,2,High,High,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,British/Generalist,Fish & chips ,"Fish & chips:For a midweek evening meal (Monday-Thursday), eating together with your family at the table, which of these dishes have you eaten in the last 2 months?",Fish Chips,253,,253,68,96,4,62,23,,59,24,21,26,35,33,37,15,2,1,19.31,,36,0,6,6,4,0,9,15,,62.62%,8.91%,71.53%,26.88%,37.94%,71.53%,16.67%,0.00%,25.00%,19.31,8,5,3,6,5,1,6,4,Medium,Medium,Low,2,2,1,High,Medium,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
