BRAND,PARTNER_NAME,UNIQUE_DISH_COMBINATIONS,TOTAL_ORDERS,AVG_RATING,RATED_ORDERS
Dishoom,Dishoom - Editions - ISL,371,1202,4.883598,189
Dishoom,Dishoom - Editions - BLW,290,1098,4.697368,152
Dishoom,Dishoom - Editions - BCP,294,859,4.740458,131
Dishoom,Dishoom - Editions - CRE,282,858,4.741259,143
Dishoom,Dishoom - Editions - WME,209,712,4.788462,104
Dishoom,Dishoom - Editions - ACT,232,693,4.759690,129
Dishoom,Dishoom - Editions - BER,205,687,4.814815,108
Pho,Pho - Bristol,673,680,4.625000,96
Dishoom,Dishoom - Editions - WNW,229,678,4.720000,125
Pho,Pho - Brighton,661,661,4.494253,87
Dishoom,Dishoom - Editions - DUL,247,650,4.770000,100
Dishoom,Dishoom - Editions - SWC,259,644,4.760331,121
Pho,Pho - Editions - CRE,640,642,4.247525,101
Banana Tree,"3113003 - Banana Tree Thai, Vietnamese, Vegan - Battersea",419,622,4.375000,96
Dishoom,Dishoom - Editions - BRC,196,608,4.607843,102
Pho,Pho - Greenwich,549,549,4.613636,88
Pho,Pho - Editions - DUL,536,538,4.548387,93
Farmer J,Farmer J - Hammersmith,535,536,4.674699,83
Pho,Pho - Canary Wharf,497,499,4.630769,65
Banana Tree,"3113007 - Banana Tree Thai, Vietnamese, Vegan - Milton Keynes The Hub",355,496,4.639344,61
Pho,Pho - Cambridge,492,492,4.619718,71
Banana Tree,"3113008 - Banana Tree Thai, Vietnamese, Vegan - Oxford",367,480,4.400000,40
Banana Tree,"3113002 - Banana Tree Thai, Vietnamese, Vegan - West Hampstead",367,473,4.567568,74
Banana Tree,"3113016 - Banana Tree Thai, Vietnamese, Vegan - Greenwich",354,453,4.481013,79
Pho,Pho - Reading,427,427,4.237288,59
Pho,Pho - Kingston,420,421,4.540984,61
Pho,Pho - Norwich,411,411,4.490909,55
Pho,Pho - Oxford,408,410,4.471698,53
Banana Tree,"3113004 - Banana Tree Thai, Vietnamese, Vegan - Angel Islington",312,399,4.647059,68
Pho,Pho - Chiswick,393,394,4.780000,50
Pho,Pho - Ealing,385,386,4.396226,53
Pho,Pho - Wimbledon,385,385,4.666667,63
Pho,Pho - Birmingham - High Street Harborne,381,381,4.701754,57
Pho,Pho - Editions - BRC,374,375,4.611940,67
Pho,Pho - York,370,371,4.849057,53
Kricket,Kricket - London Fields,170,362,4.491228,57
Farmer J,Farmer J - St James's Park,353,354,4.756757,37
Pho,Pho - Nottingham,348,348,4.575000,80
Wagamama,Wagamama - Croydon - 143,175,342,4.250000,52
Pho,Pho - Lothian Road,326,326,4.571429,42
Pho,Pho - Battersea,325,326,4.808511,47
Wagamama,Wagamama - Reading - 130,155,320,4.300000,40
Pho,Pho - Milton Keynes,317,317,4.377778,45
Wagamama,Wagamama - Ealing - 186,149,315,4.071429,42
Banana Tree,"3113009 - Banana Tree Thai, Vietnamese, Vegan - Chelmsford",267,309,4.615385,26
Wagamama,Wagamama - Finchley Great North Leisure Park - 194,149,308,4.200000,50
Wagamama,Wagamama - Bromley - 232,174,305,3.611111,36
Pho,Pho - Cardiff,302,303,4.695652,46
Wagamama,Wagamama - Bournemouth - 151,155,303,4.179487,39
Banana Tree,"3113015 - Banana Tree Thai, Vietnamese, Vegan - Birmingham Bullring",224,301,4.093750,64
Pho,Pho - Islington,297,298,4.528302,53
Banana Tree,3113019 - Banana Tree Thai - Vietnamese - Vegan - Salford Quays,242,298,4.630435,46
Pho,Pho - Sheffield,297,297,4.530612,49
Pho,Pho - Glasgow,294,294,4.846154,39
Wagamama,Wagamama - Forest Hill Delivery Kitchen - 607,149,290,4.358974,39
Banana Tree,"3113001 - Banana Tree Thai, Vietnamese, Vegan - Maida Vale",212,288,4.063830,47
Wagamama,Wagamama - Wimbledon - 134,130,286,4.580000,50
Pho,Pho - Bournemouth,283,283,4.533333,45
Wagamama,Wagamama - Enfield Southbury Leisure Park - 263,157,282,3.765957,47
Pho,Pho - Fulham Broadway,279,279,4.612245,49
Kricket,Kricket - Brixton,154,277,4.522727,44
Cocotte,Cocotte - South Kensington,250,273,4.642857,42
Wagamama,Wagamama - Basingstoke - 129,125,271,4.150000,40
Pho,Pho - Baker Street,266,266,4.592593,54
