ZONE_NAME,CITY_NAME,TOTAL_ORDERS,UNIQUE_PARTNERS,UNIQUE_CUSTOMERS,AVG_ORDER_VALUE,SCHEDULING_RATE,PLUS_PENETRATION
Clapham,London,2661,15,1769,32.1642991357,0.0,0.6565201052236002
Islington,London,2518,9,1729,33.4205480540,0.0,0.6600476568705321
Brighton Central,Brighton,1950,12,1311,31.4960358974,0.0,0.6302564102564102
Finsbury Park / Harringay / Crouch End,London,1803,4,1170,33.1397615086,0.0,0.632279534109817
Brockley / Forest Hill,London,1719,3,1176,33.9742757417,0.0,0.6788830715532286
Oxford,Oxford,1654,9,950,29.7473458283,0.0,0.6384522370012092
Cambridge,Cambridge,1571,8,861,31.4398917887,0.0,0.7390197326543603
Milton Keynes,Milton Keynes,1526,9,918,30.2760091743,0.0,0.6631716906946264
Wimbledon,London,1505,9,1018,31.6396810631,0.0,0.6664451827242525
Lewisham,London,1505,6,950,29.6481794020,0.0,0.7229235880398671
Canning Town,London,1494,3,982,32.7095381526,0.0,0.7121820615796519
Reading,Reading,1471,10,927,31.2875050986,0.0,0.6825288919102651
Chiswick,London,1424,6,968,33.4949859551,0.0,0.6699438202247191
Notting Hill / Paddington,London,1414,14,1034,34.3391301273,0.0,0.6315417256011315
Wembley,London,1380,7,902,32.4836449275,0.0,0.7159420289855073
East Central,London,1372,20,962,30.2841982507,0.0,0.6370262390670554
Bristol,Bristol,1341,8,975,31.4262192394,0.0,0.6204325130499627
Kingston,London,1307,8,853,31.6296786534,0.0,0.693955623565417
Surrey Quays,London,1305,4,893,31.6139923372,0.0,0.7011494252873564
Canary Wharf,London,1273,8,911,29.4026630008,0.0,0.6959937156323645
Norwich,Norwich,1231,9,761,30.9608773355,0.0,0.6490658001624695
Guildford,London,1113,6,723,32.3313656783,0.0,0.7250673854447439
Wapping and Mile End,London,1099,4,817,33.3602274795,0.0,0.6478616924476797
Hammersmith / Shepherd's Bush,London,1014,9,690,30.4644280079,0.0,0.6785009861932939
Ealing,London,1004,5,681,31.9547310757,0.0,0.6743027888446215
Wandsworth,London,969,3,670,34.9044788442,0.0,0.6821465428276574
London Bridge,London,934,13,660,31.8781263383,0.0,0.6616702355460385
Dublin City North,Dublin,917,14,686,36.6109814613,0.0,0.6957470010905126
Hampstead,London,898,5,675,30.4679398664,0.0,0.6859688195991092
West Central,London,870,21,577,29.4848850575,0.0,0.6666666666666666
Mayfair,London,866,21,585,30.7974942263,0.0,0.5946882217090069
Nottingham,Nottingham,844,7,581,30.5664810427,0.0,0.7334123222748815
Chelmsford,Chelmsford,843,7,526,32.2196085409,0.0,0.6512455516014235
York,York,839,8,561,31.9206674613,0.0,0.6233611442193087
Edinburgh Central,Edinburgh,812,4,589,30.7995073892,0.0,0.6576354679802956
Birmingham,Birmingham,801,10,552,29.0535205993,0.0,0.6903870162297129
