dish_type,on_dinneroo,avg_sales_per_dish,pct_zones_rank_1,pct_zones_rank_top5,deliveroo_rating,meal_satisfaction_pct,repeat_intent_pct,dish_suitability_rating,demand_strength,consumer_preference,coverage_gap_pct,quadrant,next_steps,latent_demand_mentions,latent_demand_score,partner_capability,potential_partners,evidence_type,kid_friendly,balanced_guilt_free,adult_appeal,portion_flexibility,fussy_eater_friendly,customisation,value_at_25,shareability,vegetarian_option,framework_score
Pasta,Yes,8,1%,25%,4.2,78%,74%,2.5,0.6,0.9,3%,Deprioritised,Deprioritised - baked pasta preferable to boiled,0,1,2,New recruitment needed,Measured,5,3,3,3,5,3,3,3,4,3.68
Rice Bowl,Yes,29,11%,41%,4.4,84%,77%,2.5,1.2,1.0,12%,Core Drivers,Small gap - ensure all Asian providers have one rice bowl available,0,1,5,"Pho, Wagamama, Itsu, Farmer J",Measured,4,4,4,4,4,5,3,3,4,3.86
Grain Bowl,Yes,21,4%,18%,4.7,86%,90%,,0.7,1.0,76%,Preference Drivers,Work with healthy providers to expand grain bowl options,0,1,3,Farmer J,Measured,3,5,4,4,3,5,3,3,4,3.67
Noodles,Yes,28,2%,37%,4.5,88%,88%,2.5,1.2,1.0,21%,Core Drivers,Understand which noodles more/less attractive (chow mein?),0,1,5,"Pho, Wagamama, Itsu, Banana Tree",Measured,4,3,4,3,4,3,3,3,3,3.32
South Asian / Indian Curry,Yes,98,32%,64%,4.7,93%,85%,3.2,2.9,1.1,74%,Core Drivers,Work with Bills Leon to introduce curry menu; Add new Indian rx,25,4,4,"Dishoom, Kricket, Tiffin Tin",Measured,3,3,5,3,3,3,3,4,4,3.27
East Asian Curry,Yes,18,1%,31%,4.4,87%,84%,3.6,0.9,1.0,3%,Preference Drivers,Small gap - maintain current coverage,0,1,5,"Wagamama, Giggling Squid, Banana Tree",Measured,3,3,4,3,3,3,3,3,3,3.08
Katsu,Yes,29,19%,41%,4.3,87%,85%,2.9,1.2,1.0,5%,Core Drivers,Small gap - deprioritise expansion,0,1,5,"Wagamama, Itsu, Kokoro",Measured,4,3,4,3,4,3,3,3,3,3.40
Biryani,Yes,86,0%,54%,4.6,91%,83%,,2.5,1.0,79%,Core Drivers,Work with Bills Leon to introduce curry menu; Add new Indian rx,7,3,3,"Dishoom, Tiffin Tin",Measured,3,3,4,3,3,3,3,4,3,3.08
Pizza,Yes,11,16%,49%,4.1,81%,75%,2.0,1.0,0.9,4%,Demand Boosters,Small gap - maintain current coverage,0,1,5,"PizzaExpress, Prezzo, Bella Italia",Measured,5,2,3,3,5,4,3,4,4,3.72
Fried Rice,Yes,41,4%,17%,4.5,79%,81%,2.5,1.0,1.0,42%,Core Drivers,Expand fried rice options with Asian providers,0,1,5,"Pho, Wagamama, Itsu",Measured,4,3,3,3,4,3,3,3,3,3.32
Protein & Veg,Yes,44,6%,44%,4.4,71%,,3.5,1.6,0.9,93%,Demand Boosters,Work with multi-cuisine providers to ensure protein and veg option,18,4,3,"Farmer J, LEON, Bill's",Blended,4,5,3,3,5,3,3,3,2,3.67
Chilli,Yes,6,0%,5%,3.8,,,3.3,0.2,0.9,68%,Deprioritised,Deprioritised,0,1,2,New recruitment needed,Estimated,3,3,3,3,3,3,3,3,3,3.00
Fajitas,Yes,9,2%,12%,4.2,96%,100%,2.5,0.4,1.1,68%,Preference Drivers,Small gap,0,1,3,"Las Iguanas, Zambrero UK",Measured,3,3,4,3,3,5,3,3,3,3.29
Lasagne,Yes,13,4%,22%,4.6,77%,75%,3.3,0.6,0.9,66%,Deprioritised,Deprioritised,25,4,2,New recruitment needed,Measured,3,3,3,3,3,3,3,3,3,3.00
Shawarma,Yes,10,1%,10%,4.5,90%,86%,,0.3,1.0,57%,Preference Drivers,Expand Middle Eastern coverage,0,1,2,"Umi Falafel, Shaku Maku",Measured,3,3,4,3,3,3,3,3,3,3.08
