brand,item,cuisine,high_level_dish,granular_dish,protein
Chaska,Chicken Biryani For The Table ( 2portions Chicken Biryani served with Dal Raita and Papads ),Indian,Biryani,Biryani,Chicken
Chaska,Chicken Biryani For The Table,Indian,Biryani,Biryani,Chicken
Chaska,Veg Biryani For The Table ( 2portions Biryani served with Dal Raita and Papads ),Indian,Biryani,Biryani,Vegetarian
Dishoom,Chicken Berry Britannia - for the family,Indian,Biryani,Biryani,Chicken
Dishoom,Awadhi Jackfruit Biryani - for the family,Indian,Biryani,Biryani,Jackfuit
Tadka House,1000g Biryani 4 Onion Bhaji & 1 Pesawari Naan & Poppadoms,Indian,Biryani,Biryani,Vegetarian
Tula Ireland,Tula Main Quesadilla Kids Quesadilla Bag of Corn Tortilla Chips & Dip,Mexican,Burrito / Burrito Bowl,Burrito / Burrito Bowl,Beef Pork Chicken
Tula Ireland,Tula Main Tula Nachos & Kids Quesadilla Family Dinneroo Feast,Mexican,Burrito / Burrito Bowl,Burrito / Burrito Bowl,Beef Pork Chicken
Las Iguanas,Mixed Bundle For Four,Mexican,Chilli,Chilli,Beef Sweet Potato & Squash
Las Iguanas,Chilli Bundle for Three,Mexican,Chilli,Chilli,Beef Sweet Potato & Squash
Las Iguanas,Chilli Bundle for Four,Mexican,Chilli,Chilli,Beef Sweet Potato & Squash
Asia Villa,4x Massaman Curry with Rice and Tofu,Asian,East Asian Curry,Massaman Curry,Tofu
Bill's,Family Chicken Thai Green Curry,Asian,East Asian Curry,Thai Green Curry,Chicken
Bill's,Family Cauliflower Thai Green Curry,Asian,East Asian Curry,Thai Green Curry,Cauliflower
Giggling Squid,Family Thai Curry Bundle,Asian,East Asian Curry,Thai Green Curry Thai Red Curry,Chicken
Giggling Squid,Family Spicy Bundle,Asian,East Asian Curry,Other Curry,Chicken
Pho,It's a curry night,Asian,East Asian Curry,Other Curry,Chicken Beef Tofu. Mushroom
Ting Thai,Massaman Curry Family Meal,Asian,East Asian Curry,Massaman Curry,Chicken Beef Prawn
Ting Thai,Yellow Curry Family Meal,Asian,East Asian Curry,Yellow Curry,Chicken Beef Prawn
Wagamama,family chicken coconut + lemongrass curry,Asian,East Asian Curry,Other Curry,Chicken
Wagamama,family tofu coconut + lemongrass curry,Asian,East Asian Curry,Other Curry,Tofu
Zumuku,Chicken Raisukare,Asian,East Asian Curry,Raisukare Curry,Chicken Tofu
Las Iguanas,Fajitas Family of Three Bundle,Mexican,Fajitas,Fajitas,Mushroom Chicken Prawn
Las Iguanas,Fajitas Family of Four Bundle,Mexican,Fajitas,Fajitas,Mushroom Chicken Prawn
Itsu,little rice'bowls family bundle,Asian,Katsu,Katsu,Chicken
Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,Asian,Fried Rice,Special Fried Rice,Chicken
Itsu,hot faves family bundle,Asian,Katsu,Katsu,Chicken
TUK TUK-SGroup,Sweet and Sour Chicken & Egg Fried Rice,Asian,Fried Rice,Sweet & Sour Fried Rice,Chicken
