brand,total_sites,site_phase
PizzaExpress,166,Existing Sites (P1 & P2 Launch)
Wagamama,103,Existing Sites (P1 & P2 Launch)
Itsu,50,Existing Sites (P1 & P2 Launch)
Pho,46,Existing Sites (P1 & P2 Launch)
Bill's,40,Existing Sites (P1 & P2 Launch)
Giggling Squid,38,Existing Sites (P1 & P2 Launch)
LEON,36,Existing Sites (P1 & P2 Launch)
Prezzo,36,Existing Sites (P1 & P2 Launch)
Iro Sushi,30,Existing Sites (P1 & P2 Launch)
Bella Italia,29,Existing Sites (P1 & P2 Launch)
Las Iguanas,29,Existing Sites (P1 & P2 Launch)
Kokoro,19,Existing Sites (P1 & P2 Launch)
Banana Tree,18,Existing Sites (P1 & P2 Launch)
Zambrero UK,11,Existing Sites (P1 & P2 Launch)
Dishoom,11,Existing Sites (P1 & P2 Launch)
Milano,10,Existing Sites (P1 & P2 Launch)
atis,9,Deepening Supply: Existing Px
Farmer J,9,Existing Sites (P1 & P2 Launch)
Jakob's Kitchen,8,Existing Sites (P1 & P2 Launch)
Jakob's Kitchen - Remedy,6,Existing Sites (P1 & P2 Launch)
Tiffin Tin,6,Existing Sites (P1 & P2 Launch)
Asia Villa,5,Existing Sites (P1 & P2 Launch)
Xian Street Food,5,Existing Sites (P1 & P2 Launch)
Cocotte,5,Existing Sites (P1 & P2 Launch)
Chaska,4,Existing Sites (P1 & P2 Launch)
Ting Thai,4,Existing Sites (P1 & P2 Launch)
Umi Falafel,3,Ire Launch
Kricket,3,Existing Sites (P1 & P2 Launch)
Saravana Bhavan,3,Existing Sites (P1 & P2 Launch)
PIZAZA-SGroup,3,Existing Sites (P1 & P2 Launch)
SOYO-SGroup,2,Existing Sites (P1 & P2 Launch)
Tadka House,1,Ire Launch
TUK TUK-SGroup,1,Existing Sites (P1 & P2 Launch)
Shaku Maku,1,Ire Launch
Tula,1,Ire Launch
Zaatar Rathmines,1,Ire Launch
Cacciari's,1,Existing Sites (P1 & P2 Launch)
Zumuku,1,Existing Sites (P1 & P2 Launch)
Zumuku Sushi,1,Existing Sites (P1 & P2 Launch)
Taste of Hong Kong,1,Ire Launch
