rank,dish_type,priority_score,category,track_a_score,track_b_score,on_dinneroo,order_volume,cuisine,gap_type,latent_demand_mentions,latent_demand_score,kid_friendly,balanced_guilt_free,adult_appeal,portion_flexibility,fussy_eater_friendly,customisation,value_at_25,shareability,vegetarian_option,framework_score,partner_capability,potential_partners,gap_score,avg_rating,adult_satisfaction,kids_happy,survey_n
1,Pad Thai,4.14,Expand,4.64,3.4,True,2734,Thai,No Gap,37,5,3,3,5,3,2,3,3,3,3,3.01,3,Banana Tree,2,4.54,0.92,0.79,52.0
2,Biryani,4.12,Expand,5.0,2.8,True,458,Indian,No Gap,7,3,3,3,3,3,3,3,3,3,3,3.0,3,Dishoom,2,4.53,,,
3,Fried Rice,4.06,Expand,4.57,3.3,True,4958,Chinese,Supply Gap,0,1,4,3,3,3,4,3,3,3,3,3.32,5,"Pho, Wagamama, Itsu",5,4.46,0.94,0.88,16.0
4,Chinese Family Meal,3.96,Recruit,,3.96,False,31,Chinese,Supply Gap,58,5,3,3,3,5,3,3,4,5,3,3.53,2,New recruitment needed,5,,,,
5,Sushi,3.87,Expand,4.43,3.02,True,1043,Japanese,No Gap,12,3,3,3,5,3,3,3,2,3,3,3.06,4,"Itsu, Iro Sushi",2,4.7,0.93,0.65,29.0
6,Rice Bowl,3.76,Expand,4.36,2.86,True,9545,Healthy/Fresh,No Gap,0,1,4,4,3,4,4,5,3,3,4,3.86,5,"Pho, Wagamama, Itsu, Farmer J",2,4.39,0.85,0.95,27.0
7,Noodles,3.74,Expand,4.43,2.7,True,2092,Global,No Gap,0,1,4,3,3,3,4,3,3,3,3,3.32,5,"Pho, Wagamama, Itsu, Banana Tree",2,4.57,0.87,0.72,62.0
8,Shawarma,3.71,Expand,4.43,2.62,True,1355,Middle Eastern,Supply Gap,0,1,3,3,4,3,3,3,3,3,3,3.08,2,New recruitment needed,5,4.68,0.88,0.8,24.0
9,Pho,3.7,Expand,4.64,2.29,True,4530,Vietnamese,No Gap,0,1,3,4,5,3,3,3,3,3,3,3.29,3,Pho,2,4.54,0.95,0.84,131.0
10,Fajitas,3.69,Expand,4.36,2.69,True,221,Mexican,Quality Gap,0,1,3,3,4,3,3,5,3,3,3,3.29,3,Tortilla,4,4.15,0.94,0.83,18.0
11,Lasagne,3.56,Expand,4.0,2.9,True,931,Italian,No Gap,25,4,3,3,3,3,3,3,3,3,3,3.0,2,New recruitment needed,2,4.17,,,
12,Mac & Cheese,3.45,Expand,4.29,2.19,True,1322,Global,No Gap,0,1,5,3,3,3,5,3,3,3,3,3.63,2,New recruitment needed,2,4.51,0.87,0.81,23.0
13,Roast Dinner,3.45,Monitor,,3.45,True,287,British,No Gap,34,5,3,4,3,3,3,3,3,4,3,3.18,3,Bill's,2,,,,
14,Butter Chicken,3.42,Expand,4.0,2.56,True,650,Indian,No Gap,0,1,4,4,3,3,5,3,3,3,2,3.55,4,"Dishoom, Farmer J",2,4.0,,,
15,Curry,3.39,Expand,4.0,2.48,True,5897,Indian,No Gap,0,1,3,3,5,3,3,3,3,4,4,3.27,4,"Dishoom, Banana Tree",2,4.45,,,
16,Fish & Chips,3.33,Monitor,,3.33,True,32,Global,No Gap,39,5,5,2,3,3,5,3,3,3,2,3.45,2,New recruitment needed,2,,,,
17,Salad,3.32,Expand,4.0,2.31,True,1090,Healthy/Fresh,No Gap,0,1,3,5,3,3,3,4,3,3,3,3.36,3,Farmer J,2,4.47,,,
18,Grilled Chicken with Sides,3.3,Monitor,,3.3,True,540,Global,No Gap,18,4,4,5,3,3,5,3,3,3,2,3.67,3,Farmer J,2,,,,
19,Teriyaki,3.28,Expand,4.0,2.2,True,1369,Japanese,No Gap,0,1,3,3,3,3,3,3,3,3,3,3.0,3,Wagamama,2,4.0,,,
20,Katsu,3.24,Fix,3.86,2.32,True,11730,Japanese,No Gap,0,1,4,3,4,3,4,3,3,3,3,3.4,3,Wagamama,2,4.29,0.81,0.78,57.0
21,Pasta,3.15,Fix,3.79,2.2,True,1342,Italian,No Gap,0,1,5,3,3,3,5,3,3,3,4,3.68,2,New recruitment needed,2,4.28,0.75,0.82,56.0
22,Shepherd's Pie,3.1,Monitor,,3.1,True,333,British,No Gap,17,4,3,3,3,3,3,3,3,3,3,3.0,3,Bill's,2,,,,
23,Stir Fry,3.03,Fix,3.71,2.0,True,252,Global,No Gap,0,1,3,3,3,3,3,3,3,3,3,3.0,2,New recruitment needed,2,4.4,0.33,0.0,3.0
24,Korean Fried Chicken,3.02,Monitor,,3.02,True,398,Korean,No Gap,8,3,4,4,5,3,5,3,3,3,2,3.72,3,Farmer J,2,,,,
25,Pizza,2.98,Fix,3.36,2.42,True,548,Italian,No Gap,0,1,5,2,3,3,5,4,3,4,4,3.72,3,Franco Manca,2,3.84,0.76,0.74,94.0
26,Tacos,2.84,Fix,3.0,2.6,True,62,Mexican,Quality Gap,0,1,3,3,3,3,3,3,3,3,3,3.0,3,Tortilla,4,3.67,,,
27,Veggie Fajitas,2.72,Monitor,,2.72,True,333,Mexican,Quality Gap,0,1,3,3,4,3,3,5,3,3,5,3.4,3,Tortilla,4,,,,
28,Ramen,2.7,Fix,3.0,2.25,True,223,Japanese,No Gap,0,1,3,3,5,3,3,3,3,3,3,3.17,3,Wagamama,2,3.76,,,
29,Greek Mezze,2.66,Monitor,,2.66,False,7,Greek,No Gap,6,3,3,3,4,3,3,3,3,5,3,3.19,2,New recruitment needed,2,,,,
30,Dim Sum,2.63,Monitor,,2.63,False,0,Chinese,Supply Gap,0,1,3,3,3,3,3,3,3,5,3,3.11,2,New recruitment needed,5,,,,
31,Burrito,2.63,Monitor,,2.63,False,3,Mexican,Quality Gap,0,1,3,3,3,3,3,4,3,3,3,3.11,3,Tortilla,4,,,,
32,Quesadilla,2.6,Monitor,,2.6,True,57,Mexican,Quality Gap,0,1,3,3,3,3,3,3,3,3,3,3.0,3,Tortilla,4,,,,
33,Chicken Pie,2.56,Monitor,,2.56,True,34506,British,No Gap,0,1,4,4,3,3,5,3,3,3,2,3.55,4,"Farmer J, Bill's",2,,,,
34,Halloumi Wrap,2.49,Monitor,,2.49,True,161,Global,No Gap,3,2,4,3,3,3,4,5,3,3,5,3.63,2,New recruitment needed,2,,,,
35,Grain Bowl,2.4,Monitor,,2.4,True,192,Healthy/Fresh,No Gap,0,1,3,5,3,4,3,5,3,3,4,3.67,3,Farmer J,2,,,,
36,Poke Bowl,2.4,Monitor,,2.4,True,39,Healthy/Fresh,No Gap,0,1,3,5,3,4,3,5,3,3,4,3.67,3,Farmer J,2,,,,
37,Buddha Bowl,2.4,Monitor,,2.4,False,0,Healthy/Fresh,No Gap,0,1,3,5,3,4,3,5,3,3,4,3.67,3,Farmer J,2,,,,
38,Bowl,2.37,Monitor,,2.37,True,4517,Healthy/Fresh,No Gap,0,1,3,4,3,4,3,5,3,3,4,3.55,3,Farmer J,2,,,,
39,Rotisserie Chicken,2.37,Monitor,,2.37,False,0,Global,No Gap,0,1,4,4,3,3,5,3,3,3,2,3.55,3,Farmer J,2,,,,
40,Sweet & Sour Chicken,2.37,Monitor,,2.37,True,1081,Global,No Gap,0,1,4,4,3,3,5,3,3,3,2,3.55,3,Farmer J,2,,,,
41,Tikka Masala,2.2,Monitor,,2.2,True,19,Indian,No Gap,0,1,3,3,3,3,3,3,3,3,3,3.0,3,Dishoom,2,,,,
42,Korma,2.2,Monitor,,2.2,False,0,Indian,No Gap,0,1,3,3,3,3,3,3,3,3,3,3.0,3,Dishoom,2,,,,
43,Cottage Pie,2.2,Monitor,,2.2,False,0,British,No Gap,0,1,3,3,3,3,3,3,3,3,3,3.0,3,Bill's,2,,,,
44,Burger,2.16,Monitor,,2.16,True,61,American,No Gap,0,1,3,2,3,3,3,3,3,3,3,2.87,3,Bill's,2,,,,
45,Wrap,2.16,Monitor,,2.16,True,44,Global,No Gap,0,1,4,3,3,3,4,5,3,3,3,3.53,2,New recruitment needed,2,,,,
46,Bibimbap,2.0,Monitor,,2.0,False,0,Korean,No Gap,0,1,3,3,3,3,3,3,3,3,3,3.0,2,New recruitment needed,2,,,,
47,Souvlaki,2.0,Monitor,,2.0,False,0,Greek,No Gap,0,1,3,3,3,3,3,3,3,3,3,3.0,2,New recruitment needed,2,,,,
48,Bangers & Mash,2.0,Monitor,,2.0,False,0,British,No Gap,0,1,3,3,3,3,3,3,3,3,3,3.0,2,New recruitment needed,2,,,,
