cuisine,item_count,brand_count,avg_rating,rating_count,order_count,gap_type,supply_vs_avg,rating_vs_benchmark
British,292,1,4.503401360544218,588,3358,OK,152.4,105.7
Chinese,46,3,4.379571150097466,110,849,SUPPLY GAP,24.0,102.8
French,15,1,4.420454545454546,176,978,SUPPLY GAP,7.8,103.8
Healthy/Fresh,109,4,4.4514900026052615,405,2636,OK,56.9,104.5
Indian,85,6,4.391014769089712,1647,10183,OK,44.4,103.1
Irish/British,3,1,4.222222222222222,9,36,SUPPLY GAP,1.6,99.1
Italian,705,6,4.116058280202213,1163,8385,OK,368.1,96.6
Japanese,282,5,4.510647789518545,493,3788,OK,147.2,105.9
Japanese/Asian,410,1,4.24640555280119,2017,14129,OK,214.1,99.7
Mexican,168,2,3.935747663551402,250,1479,QUALITY GAP,87.7,92.4
Middle Eastern,30,5,4.665697674418604,182,1023,SUPPLY GAP,15.7,109.5
Thai/Southeast Asian,207,3,4.425224875930521,1516,10224,OK,108.1,103.9
Vietnamese,138,1,4.559904534606205,2095,14055,OK,72.0,107.0
