CUISINE,order_count,unique_customers,repeat_rate,avg_rating,rating_count
japanese,14618,11349,0.16248127588333774,4.2434456928838955,1869.0
Vietnamese,12961,9319,0.2073183818006224,4.567857142857143,1680.0
italian,9063,7019,0.16512323692833736,4.152347209920284,1129.0
Asian,8942,6486,0.2028985507246377,4.433063791554358,1113.0
indian,8356,5823,0.23132405976300877,4.664634146341464,1148.0
Salads,5330,3917,0.1970896093949451,4.579411764705882,680.0
thai,5098,4070,0.15773955773955775,4.3318042813455655,654.0
Curry,3355,2384,0.20973154362416108,4.750519750519751,481.0
Burgers,2485,1914,0.1786833855799373,4.494871794871795,390.0
Vegan Friendly,2053,1473,0.20027155465037338,4.434343434343434,297.0
Latin American,1386,1140,0.1456140350877193,4.077319587628866,194.0
Meal Deals,1200,906,0.18211920529801323,4.518918918918919,185.0
Chicken,1077,839,0.16924910607866508,4.426966292134831,178.0
Pho,793,558,0.23655913978494625,4.719101123595506,89.0
Mediterranean,511,364,0.19505494505494506,4.644736842105263,76.0
Sandwiches,484,427,0.11475409836065574,4.1506849315068495,73.0
sushi,401,364,0.08516483516483517,4.32258064516129,31.0
Healthy,309,228,0.16228070175438597,4.844827586206897,58.0
chinese,283,256,0.0859375,4.434782608695652,23.0
Middle Eastern,279,211,0.16113744075829384,4.630434782608695,46.0
Tacos,205,193,0.046632124352331605,3.75,36.0
Asian Fusion,189,147,0.14285714285714285,3.8529411764705883,34.0
Gluten Free,140,111,0.1891891891891892,4.842105263157895,19.0
lebanese,138,110,0.15454545454545454,4.833333333333333,30.0
breakfast,136,93,0.25806451612903225,4.7272727272727275,22.0
halal,133,114,0.10526315789473684,4.555555555555555,18.0
Roasteries,119,102,0.09803921568627451,4.555555555555555,9.0
Kosher,112,97,0.10309278350515463,4.235294117647059,17.0
Movie Night Restaurants,106,74,0.17567567567567569,4.090909090909091,11.0
Pasta,88,78,0.07692307692307693,4.083333333333333,12.0
Shawarma,84,66,0.19696969696969696,3.857142857142857,7.0
Veganuary,83,73,0.0958904109589041,4.583333333333333,12.0
Plus offers Oct 2024,77,71,0.07042253521126761,4.714285714285714,7.0
Featured Restaurants,75,66,0.09090909090909091,4.214285714285714,14.0
Christmas Specials,63,54,0.12962962962962962,4.6,5.0
"Exclusive offers, from our exclusive restaurants",60,54,0.07407407407407407,5.0,2.0
pizza,60,53,0.09433962264150944,3.4,5.0
Wraps,56,48,0.10416666666666667,3.9,10.0
Family favourites,54,46,0.10869565217391304,4.625,8.0
Organic,51,40,0.15,3.8333333333333335,6.0
mexican,43,34,0.20588235294117646,4.222222222222222,9.0
Healthy Eating 2025,39,36,0.08333333333333333,5.0,7.0
Burritos,26,17,0.11764705882352941,4.75,4.0
Only on Deliveroo,15,13,0.07692307692307693,,
vegetarian,2,2,,4.0,1.0
Alcohol,1,1,,,
