cuisine,order_count,unique_customers,repeat_rate
Japanese,19473,14909,0.16942786236501442
Vietnamese,16065,11521,0.20918323062234181
Thai,11996,8913,0.19263996409738585
Indian,11806,8123,0.2369814108088145
Italian,9119,7069,0.1646626114018956
British,3845,2923,0.1854259322613753
Healthy/Salads,2971,2083,0.23619779164666346
American/Burgers,1446,1194,0.14154103852596314
Grilled Chicken,1052,819,0.17094017094017094
Chinese,976,819,0.11965811965811966
Middle Eastern,945,698,0.17765042979942694
Sushi,904,780,0.12435897435897436
Other,280,222,0.11711711711711711
Mexican,248,227,0.07048458149779736
Korean,108,89,0.1348314606741573
