cuisine,core_category,level,performance_score,opportunity_score,unified_score,quadrant,zones_available,orders_per_zone,repeat_rate,performance_status
Burgers,Other,other,,3.8,3.8,Expansion,0,0.0,18.2,Insufficient zones
Grocery,Other,other,,3.8,3.8,Expansion,0,0.0,0.0,No data
Vietnamese,Asian,sub,4.38,2.8,3.59,Protect,44,300.1,21.0,Calculated
Indian,Indian,core,,3.3,3.3,Expansion,11,763.6,23.1,Insufficient zones
Japanese,Asian,sub,,3.3,3.3,Expansion,93,159.0,16.3,Insufficient zones
Chicken,Other,other,,3.3,3.3,Expansion,0,0.0,17.1,Insufficient zones
Chinese,Asian,sub,,3.3,3.3,Expansion,5,56.8,8.6,Insufficient zones
American,Other,other,,3.3,3.3,Expansion,0,0.0,0.0,No data
Italian,Italian,core,,3.3,3.3,Expansion,137,66.9,16.5,Insufficient zones
Asian,Asian,core,,2.8,2.8,Watch,0,0.0,20.3,Insufficient zones
Thai,Asian,sub,,2.8,2.8,Watch,37,140.6,15.8,Insufficient zones
Salads,Healthy,sub,,2.8,2.8,Watch,0,0.0,19.7,Insufficient zones
Portuguese,NEW,new,,2.8,2.8,Watch,0,0.0,0.0,No data
Alcohol,Other,other,,2.8,2.8,Watch,0,0.0,,Insufficient zones
Sushi,Other,other,,2.8,2.8,Watch,0,0.0,8.4,Insufficient zones
Pasta-Focused,Italian,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Roasts,British,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Pan-Indian,Indian,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Comfort,British,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Pan-Asian,Asian,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Grain Bowls,Healthy,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Tex-Mex,Mexican,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Pizza-Focused,Italian,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Protein-Focused,Healthy,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Fish & Chips,British,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Premium Mexican,Mexican,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Premium Italian,Italian,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Pies,British,sub,,2.6,2.6,Watch,0,0.0,0.0,No data
Turkish,Middle Eastern,sub,,2.3,2.3,Watch,0,0.0,0.0,No data
Curry,Other,other,,2.3,2.3,Watch,0,0.0,21.0,Insufficient zones
Pizza,Other,other,,2.3,2.3,Watch,0,0.0,12.7,Insufficient zones
Halal,Other,other,,2.3,2.3,Watch,0,0.0,11.2,Insufficient zones
British,British,core,,2.3,2.3,Watch,0,0.0,0.0,No data
Wings,Other,other,,2.3,2.3,Watch,0,0.0,0.0,No data
Healthy,Healthy,core,2.31,1.8,2.06,Monitor,22,14.2,16.1,Calculated
On Demand Convenience (Uae),Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Organic Stores,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Only On Deliveroo 2024,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Our Picks,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Organic,Other,other,,1.8,1.8,Watch,0,0.0,15.0,Insufficient zones
Only On Deliveroo,Other,other,,1.8,1.8,Watch,0,0.0,14.3,Insufficient zones
14 Days Free Delivery,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
