dish,partner,zone_count,avg_rating,rated_count,total_orders,volume_score,rating_score,availability_score,dish_score,is_family_dish,rank
family chicken katsu,Wagamama,93,4.2445759368836296,1521,11246,96.23481088481944,84.89151873767258,64.58333333333334,86.50152773037816,True,1
Prawn crackers,Pho,44,4.563106796116505,1751,11686,100.0,91.26213592233009,30.555555555555557,83.48975188781014,False,2
Egg fried rice with chicken,Pho,43,4.590277777777778,1440,9964,85.26441896286154,91.80555555555556,29.86111111111111,76.14609837031966,False,3
Pho the whole fam,Pho,44,4.552436003303056,1211,7910,67.68783159335958,91.04872006606112,30.555555555555557,67.26964292760924,True,4
Wok-fried noodles with chicken,Pho,44,4.533050847457627,1180,7707,65.95071025158309,90.66101694915254,30.555555555555557,66.28477132164842,False,5
Garlic Bread with Mozzarella Sharer (V) (723 kcal: serves 2),PizzaExpress,136,4.161741835147745,643,4874,41.70802669861373,83.2348367029549,94.44444444444444,64.71335324908222,True,6
Family Favourites Feast,PizzaExpress,144,4.129471890971039,587,4233,36.22283073763477,82.58943781942078,100.0,62.88824671464362,True,7
LARGE CLASSIC American (1508 kcal: serves 1-2),PizzaExpress,136,4.150617283950617,405,3059,26.176621598493927,83.01234567901234,94.44444444444444,56.88090339183955,False,8
Beef brisket pho noodle soup,Pho,44,4.580891719745223,785,5419,46.37172685264419,91.61783439490445,30.555555555555557,56.78232485590454,False,9
Lasagne Classica Sharer (1222 kcal: serves 2),PizzaExpress,136,4.27154046997389,383,2659,22.753722402875233,85.43080939947781,94.44444444444444,55.89499291016985,True,10
Katsu Chicken Rice Bowl,Banana Tree,19,4.436004162330906,961,6144,52.57573164470306,88.7200832466181,13.194444444444445,55.54277968522585,False,11
Mini chicken noodle soup,Pho,44,4.624,750,4811,41.16892007530378,92.47999999999999,30.555555555555557,54.439571148763,False,12
"Chicken, Pesto & Mushroom Penne Pasta Sharer (2103 kcal: serves 2)",PizzaExpress,134,4.313993174061434,293,2198,18.808831079924694,86.27986348122867,93.05555555555556,53.89948569544207,True,13
LARGE CLASSIC Margherita (V) (1347 kcal: serves 1-2),PizzaExpress,136,4.118143459915612,237,1823,15.599863084032176,82.36286919831224,94.44444444444444,51.39768119039864,False,14
Dishoom Chicken Ruby – for the family,Dishoom,11,4.793147208121828,788,4858,41.57111073078898,95.86294416243655,7.638888888888889,51.07221639190323,True,15
Family Pasta Feast,PizzaExpress,136,4.322751322751323,189,1351,11.560842033202121,86.45502645502646,94.44444444444444,50.60581784199789,True,16
Large Mixed Salad (V) (Ve) (GF) (203 kcal: serves 2),PizzaExpress,134,4.290697674418604,172,1219,10.431285298647955,85.81395348837208,93.05555555555556,49.57093980694671,False,17
It's a curry night,Pho,43,4.614203454894434,521,3706,31.71316104740715,92.28406909788868,29.86111111111111,49.5140234752924,False,18
