dish_type,demand_strength,consumer_preference,quadrant,coverage_gap_pct,num_dishes_on_dinneroo,avg_sales,meal_satisfaction_pct,repeat_intent_pct,evidence_type,framework_score
South Asian / Indian Curry,2.9,1.1,Core Drivers,74%,13,98,93%,85%,Measured,3.27
Biryani,2.5,1.0,Core Drivers,79%,6,86,91%,83%,Measured,3.08
Pho,4.2,1.1,Core Drivers,48%,1,136,92%,89%,Measured,3.29
Sushi,1.5,1.0,Core Drivers,63%,1,32,93%,81%,Measured,3.06
Katsu,1.2,1.0,Core Drivers,5%,9,29,87%,85%,Measured,3.40
Rice Bowl,1.2,1.0,Core Drivers,12%,21,29,84%,77%,Measured,3.86
Noodles,1.2,1.0,Core Drivers,21%,13,28,88%,88%,Measured,3.32
Fried Rice,1.0,1.0,Core Drivers,42%,5,41,79%,81%,Measured,3.32
Shepherd's Pie,0.3,1.1,Preference Drivers,57%,1,11,91%,100%,Measured,3.00
Fajitas,0.4,1.1,Preference Drivers,68%,3,9,96%,100%,Measured,3.29
East Asian Curry,0.9,1.0,Preference Drivers,3%,11,18,87%,84%,Measured,3.08
Grain Bowl,0.7,1.0,Preference Drivers,76%,17,21,86%,90%,Measured,3.67
Shawarma,0.3,1.0,Preference Drivers,57%,3,10,90%,86%,Measured,3.08
Protein & Veg,1.6,0.9,Demand Boosters,93%,4,44,71%,,Blended,3.67
Pizza,1.0,0.9,Demand Boosters,4%,5,11,81%,75%,Measured,3.72
Lasagne,0.6,0.9,Deprioritised,66%,3,13,77%,75%,Measured,3.00
Pasta,0.6,0.9,Deprioritised,3%,23,8,78%,74%,Measured,3.68
Tacos,0.4,0.9,Deprioritised,84%,3,7,,,Estimated,3.00
Chilli,0.2,0.9,Deprioritised,68%,3,6,,,Estimated,3.00
Burrito / Burrito Bowl,0.1,,Deprioritised,84%,3,7,,,Estimated,3.11
Quesadilla,0.1,,Deprioritised,99%,1,6,,,Estimated,3.00
Poke,0.1,,Deprioritised,63%,1,3,,,Estimated,3.67
Nachos,0.0,,Deprioritised,85%,1,1,,,Estimated,2.87
