dish_type,n,adult_satisfaction_rate,adult_satisfaction_n,kids_happy_rate,kids_happy_n,portions_adequate_rate,portions_n
Curry (General),248,0.8943089430894309,246,0.7303921568627451,204,0.7651821862348178,247
Katsu Curry,164,0.8588957055214724,163,0.7700534759358288,187,0.7177914110429447,163
Pho,131,0.9461538461538461,130,0.8350515463917526,97,0.8984375,128
Chicken (General),114,0.8584070796460177,113,0.6707317073170732,82,0.6607142857142857,112
Pizza,94,0.7634408602150538,93,0.7431192660550459,109,0.8936170212765957,94
Noodles,62,0.8709677419354839,62,0.717948717948718,39,0.8387096774193549,62
Katsu,57,0.8070175438596491,57,0.782608695652174,69,0.6842105263157895,57
Pasta,56,0.75,56,0.8214285714285714,56,0.8214285714285714,56
Pad Thai,52,0.9230769230769231,52,0.7941176470588235,34,0.8653846153846154,52
Sushi,29,0.9310344827586207,29,0.6521739130434783,23,0.8620689655172413,29
Rice Bowl,27,0.8518518518518519,27,0.9523809523809523,21,0.9259259259259259,27
Shawarma,24,0.875,24,0.8,15,0.8333333333333334,24
Mac & Cheese,23,0.8695652173913043,23,0.8095238095238095,21,0.782608695652174,23
Fajitas,18,0.9444444444444444,18,0.8333333333333334,18,0.9444444444444444,18
Fried Rice,16,0.9375,16,0.875,8,0.9375,16
Shepherd's Pie,5,1.0,5,0.75,4,1.0,5
Stir Fry,3,0.3333333333333333,3,0.0,2,1.0,3
