high_level_dish,total_orders,adult_satisfaction,kids_happy,portions_adequate
Biryani,7,1.0,1.0,0.7142857142857143
Chilli,102,0.826530612244898,0.7,0.6145833333333334
East Asian Curry,120,0.8596491228070176,0.8,0.7280701754385965
Fajitas,19,0.8947368421052632,1.0,0.631578947368421
Fried Rice,342,0.9054878048780488,0.8,0.8929663608562691
Grain Bowl,60,0.9152542372881356,0.8043478260869565,0.7288135593220338
Katsu,357,0.8405797101449275,0.7806004618937644,0.7034883720930233
Lasagne,37,0.7567567567567568,0.7,0.7567567567567568
Noodles,412,0.9152119700748128,0.7816901408450704,0.8075
Other,131,0.888,0.7127659574468085,0.784
Pasta,78,0.7948717948717948,0.8205128205128205,0.7564102564102564
Pho,514,0.9066937119675456,0.8032786885245902,0.8782961460446247
Pizza,47,0.7659574468085106,0.7288135593220338,0.9787234042553193
Poke,6,1.0,,0.8333333333333334
Protein & Veg,6,0.8333333333333334,1.0,0.6666666666666666
Quesadilla,3,0.6666666666666666,1.0,0.0
Rice Bowl,246,0.860655737704918,0.8284313725490197,0.7950819672131147
Shawarma,23,0.8695652173913043,0.7333333333333333,0.7391304347826086
Shepherd's Pie,4,0.75,1.0,0.75
South Asian / Indian Curry,325,0.9453376205787781,0.7991266375545851,0.8279220779220778
Sushi,136,0.8650793650793651,0.6923076923076923,0.9603174603174603
