dish_type,order_volume,avg_rating,rating_n,rating_score,meets_rating_threshold,adult_satisfaction,adult_satisfaction_n,satisfaction_score,kids_happy,kids_happy_n,kids_score,portions_adequate,portions_n,portions_score,survey_n,track_a_score,track_a_components
Biryani,458,4.53,77,5,True,,,,,,,,,,,5.0,1
Chicken,11417,4.55,1535,5,True,,,,,,,,,,,5.0,1
Pad Thai,2370,4.54,280,5,True,0.92,52.0,5.0,0.79,34.0,4.0,0.87,52.0,4.0,52.0,4.64,4
Pho,4530,4.54,590,5,True,0.95,130.0,5.0,0.84,97.0,4.0,0.9,128.0,4.0,131.0,4.64,4
Fried Rice,2430,4.46,322,4,False,0.94,16.0,5.0,0.88,8.0,5.0,0.94,16.0,5.0,16.0,4.57,4
Sushi,1043,4.7,105,5,True,0.93,29.0,5.0,0.65,23.0,3.0,0.86,29.0,4.0,29.0,4.43,4
Shawarma,1355,4.68,220,5,True,0.88,24.0,4.0,0.8,15.0,4.0,0.83,24.0,4.0,24.0,4.43,4
Noodles,3307,4.57,419,5,True,0.87,62.0,4.0,0.72,39.0,4.0,0.84,62.0,4.0,62.0,4.43,4
Rice Bowl,3139,4.39,420,4,False,0.85,27.0,4.0,0.95,21.0,5.0,0.93,27.0,5.0,27.0,4.36,4
Fajitas,595,4.15,93,4,False,0.94,18.0,5.0,0.83,18.0,4.0,0.94,18.0,5.0,18.0,4.36,4
Mac & Cheese,1307,4.51,199,5,True,0.87,23.0,4.0,0.81,21.0,4.0,0.78,23.0,3.0,23.0,4.29,4
Curry,4949,4.45,702,4,False,,,,,,,,,,,4.0,1
Salad,1089,4.47,160,4,False,,,,,,,,,,,4.0,1
Teriyaki,394,4.0,44,4,False,,,,,,,,,,,4.0,1
Lasagne,1099,4.17,149,4,False,,,,,,,,,,,4.0,1
Butter Chicken,365,4.0,47,4,False,,,,,,,,,,,4.0,1
Katsu,11686,4.29,1469,4,False,0.81,57.0,4.0,0.78,69.0,4.0,0.68,57.0,3.0,57.0,3.86,4
Pasta,1340,4.28,159,4,False,0.75,56.0,3.0,0.82,56.0,4.0,0.82,56.0,4.0,56.0,3.79,4
Stir Fry,61,4.4,5,4,False,0.33,3.0,3.0,0.0,2.0,3.0,1.0,3.0,5.0,3.0,3.71,4
Pizza,400,3.84,38,3,False,0.76,93.0,3.0,0.74,109.0,4.0,0.89,94.0,4.0,94.0,3.36,4
Ramen,223,3.76,21,3,False,,,,,,,,,,,3.0,1
Tacos,92,3.67,15,3,False,,,,,,,,,,,3.0,1
