dish_type,zones_available,zones_available_pct,zones_top_5,zones_top_5_pct,zones_top_1,zones_top_1_pct,avg_rank
Katsu,111,55.2,105,94.6,55,49.5,2.3
Curry,132,65.7,104,78.8,5,3.8,4.0
Noodles,130,64.7,94,72.3,2,1.5,4.5
Lasagne,150,74.6,107,71.3,31,20.7,4.2
Fried Rice,74,36.8,52,70.3,38,51.4,3.6
Biryani,19,9.5,13,68.4,1,5.3,4.5
Sushi,40,19.9,27,67.5,4,10.0,4.7
Butter Chicken,8,4.0,5,62.5,4,50.0,3.8
Pad Thai,84,41.8,50,59.5,11,13.1,5.6
Pizza,155,77.1,91,58.7,18,11.6,5.2
Shawarma,46,22.9,24,52.2,4,8.7,5.2
Fajitas,29,14.4,15,51.7,2,6.9,5.4
Pasta,150,74.6,70,46.7,6,4.0,6.2
Rice Bowl,96,47.8,37,38.5,16,16.7,6.3
Mac & Cheese,95,47.3,28,29.5,0,0.0,7.9
Stir Fry,11,5.5,3,27.3,2,18.2,9.2
Salad,72,35.8,16,22.2,0,0.0,10.2
Dim Sum,22,10.9,4,18.2,0,0.0,11.3
Roast Dinner,56,27.9,9,16.1,2,3.6,10.6
Tacos,13,6.5,2,15.4,0,0.0,10.2
Shepherd's Pie,38,18.9,4,10.5,0,0.0,9.6
Pho,14,7.0,1,7.1,0,0.0,11.9
Ramen,0,0.0,0,0.0,0,0.0,
Grain Bowl,0,0.0,0,0.0,0,0.0,
Quesadilla,21,10.4,0,0.0,0,0.0,13.6
Fish & Chips,0,0.0,0,0.0,0,0.0,
Korean Fried Chicken,11,5.5,0,0.0,0,0.0,15.3
Burrito,7,3.5,0,0.0,0,0.0,16.0
Teriyaki,3,1.5,0,0.0,0,0.0,16.7
Poke Bowl,0,0.0,0,0.0,0,0.0,
