dish_name,order_count,avg_rating,rating_count,volume_score,rating_score,composite_score,rank
Prawn crackers,11686,4.563106796116505,1751,10.0,9.1,9.6,1
family chicken katsu,11246,4.2445759368836296,1521,9.6,8.5,9.0,2
Egg fried rice with chicken,9964,4.590277777777778,1440,8.5,9.2,8.8,3
Pho the whole fam,7910,4.552436003303056,1211,6.8,9.1,8.0,4
Wok-fried noodles with chicken,7707,4.533050847457627,1180,6.6,9.1,7.8,5
Katsu Chicken Rice Bowl,6144,4.436004162330906,961,5.3,8.9,7.1,6
Beef brisket pho noodle soup,5419,4.580891719745223,785,4.6,9.2,6.9,7
Dishoom Chicken Ruby – for the family,4858,4.793147208121828,788,4.2,9.6,6.9,8
Mini chicken noodle soup,4811,4.624,750,4.1,9.2,6.6,9
Chicken Teriyaki Rice Bowl,4200,4.427051671732523,658,3.6,8.9,6.2,10
It's a curry night,3706,4.614203454894434,521,3.2,9.2,6.2,11
Classic chicken curry,3454,4.633603238866397,494,3.0,9.3,6.2,12
Garlic Bread with Mozzarella Sharer (V) (723 kcal: serves 2),4874,4.161741835147745,643,4.2,8.3,6.2,13
Chicken Pad Thai,3340,4.65,420,2.9,9.3,6.1,14
Spicy beef brisket pho noodle soup,3543,4.538314176245211,522,3.0,9.1,6.0,15
Family Favourites Feast,4233,4.129471890971039,587,3.6,8.3,6.0,16
Firecracker Chicken Rice Bowl,3733,4.323970037453184,534,3.2,8.6,5.9,17
🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,3487,4.390151515151516,528,3.0,8.8,5.9,18
Chicken pho noodle soup,3138,4.552123552123552,518,2.7,9.1,5.9,19
Classic beef brisket curry,2786,4.662337662337662,385,2.4,9.3,5.9,20
salmon full house,2502,4.706070287539936,313,2.1,9.4,5.8,21
Chicken Berry Britannia – for the family,2504,4.678743961352657,414,2.1,9.4,5.8,22
Fresh from the wok,2565,4.523316062176166,386,2.2,9.0,5.6,23
sushi family feast,2198,4.68705035971223,278,1.9,9.4,5.6,24
Garlic Naan,1864,4.783783783783784,296,1.6,9.6,5.6,25
Prawn-less crackers,2577,4.556728232189974,379,2.2,9.1,5.6,26
Wok-fried noodles with tofu,2678,4.471830985915493,426,2.3,8.9,5.6,27
Family Time - Harissa Chicken,1545,4.73394495412844,218,1.3,9.5,5.4,28
health & happiness,1663,4.691964285714286,224,1.4,9.4,5.4,29
Chargrilled chicken thigh rice bowl,1901,4.537549407114624,253,1.6,9.1,5.4,30
🍜Pad Thai Bundle For Four🍜,1706,4.6755555555555555,225,1.5,9.4,5.4,31
sushi festival,1783,4.617647058823529,238,1.5,9.2,5.4,32
Family Time - Farmer’s Grains,1527,4.738938053097345,226,1.3,9.5,5.4,33
Chicken & Prawn Pad Thai,1617,4.658986175115207,217,1.4,9.3,5.4,34
Lasagne Classica Sharer (1222 kcal: serves 2),2659,4.27154046997389,383,2.3,8.5,5.4,35
Spicy chicken pho noodle soup,2193,4.511299435028248,354,1.9,9.0,5.4,36
LARGE CLASSIC American (1508 kcal: serves 1-2),3059,4.150617283950617,405,2.6,8.3,5.4,37
Chicken Fajita,2455,4.225247524752476,404,2.1,8.5,5.3,38
Family Sticky Chicken/NO Chicken Bundle,1954,4.408602150537634,279,1.7,8.8,5.2,39
salmon sushi,971,4.776119402985074,134,0.8,9.6,5.2,40
Tofu Pad Thai,1010,4.753731343283582,134,0.9,9.5,5.2,41
Family Time - Sesame Cabbage,1020,4.702702702702703,148,0.9,9.4,5.2,42
Dishoom Mattar Paneer – for the family,1052,4.754966887417218,151,0.9,9.5,5.2,43
super salmon light,1099,4.687022900763359,131,0.9,9.4,5.2,44
Family Time - Seasonal Mac n Cheese (with Mushroom and Truffle),1140,4.732919254658385,161,1.0,9.5,5.2,45
