dish_type,cuisine,on_dinneroo,mapped_cuisine,non_dinneroo_orders,gap_signal,dinneroo_available_in_cuisine,latent_mentions,wishlist_pct,gap_type,gap_score,order_volume,avg_rating,kids_happy,kids_score,rating_score,open_text_requests,og_wishlist_pct,latent_demand_score,orders_per_zone_SCORE,rating_SCORE,kids_happy_SCORE,non_dinneroo_SCORE,latent_raw,latent_demand_SCORE
Chinese Family Meal,Chinese,False,chinese,8412.0,High,No,0,0.0,Supply Gap,5,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,5.0,0.0,2.0
Roast Dinner,British,True,british,3087.0,Medium,No,1,4.7,No Gap,2,0.0,4.0,0.75,,,1,4.7,1,2.0,2.0,3.0,3.0,10.4,4.0
Pad Thai,Thai,True,thai,4144.0,Medium,No,1,0.0,No Gap,2,2370.0,4.54,0.79,4.0,5.0,1,0.0,1,5.0,5.0,5.0,4.0,1.0,3.0
Fish & Chips,Global,True,,25.0,Medium,Yes,5,8.91,No Gap,2,0.0,4.0,0.75,,,5,8.91,2,2.0,2.0,3.0,1.0,22.82,5.0
Fried Rice,Chinese,True,chinese,8412.0,High,No,2,0.0,Supply Gap,5,2430.0,4.46,0.88,5.0,4.0,2,0.0,1,5.0,5.0,5.0,5.0,2.0,3.0
Grilled Chicken with Sides,Global,True,,25.0,Medium,Yes,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,1.0,0.0,2.0
Shepherd's Pie,British,True,british,3087.0,Medium,No,3,0.0,No Gap,2,0.0,4.0,0.75,,,3,0.0,1,2.0,2.0,3.0,3.0,3.0,4.0
Korean Fried Chicken,Korean,True,korean,1807.0,Low,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,3.0,0.0,2.0
Sushi,Japanese,True,japanese,8361.0,High,No,6,0.0,No Gap,2,1043.0,4.7,0.65,3.0,5.0,6,0.0,1,4.0,5.0,1.0,4.0,6.0,4.0
Lasagne,Italian,True,italian,11440.0,High,No,6,15.59,No Gap,2,1099.0,4.17,0.75,,4.0,6,15.59,2,4.0,4.0,3.0,5.0,37.18,5.0
Rice Bowl,Healthy/Fresh,True,healthy,1594.0,Available,Yes,0,4.21,No Gap,2,3139.0,4.39,0.95,5.0,4.0,0,4.21,1,5.0,4.0,5.0,2.0,8.42,4.0
Biryani,Indian,True,indian,8699.0,High,No,2,0.0,No Gap,2,458.0,4.53,0.75,,5.0,2,0.0,1,4.0,5.0,3.0,5.0,2.0,3.0
Veggie Fajitas,Mexican,True,mexican,972.0,Low,No,0,0.0,Quality Gap,4,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,2.0,0.0,2.0
Noodles,Global,True,,25.0,Medium,Yes,15,12.87,No Gap,2,3307.0,4.57,0.72,4.0,5.0,15,12.87,3,5.0,5.0,1.0,1.0,40.739999999999995,5.0
Fajitas,Mexican,True,mexican,972.0,Low,No,0,5.2,Quality Gap,4,595.0,4.15,0.83,4.0,4.0,0,5.2,1,4.0,4.0,5.0,2.0,10.4,4.0
