dish_type,mapped_rows,anna_map_rows,keyword_rows,unmapped_rows,mapping_coverage_pct,notes
_OVERALL_,1210,1030,180,389,75.7,"Top unmapped: ['Spicy bundle', 'Bit of everything', 'Salmon rolls', 'Family dineroo', 'Home style butter chicken meal']"
South Asian / Indian Curry,151,117,34,0,100.0,
Pizza,87,67,20,0,100.0,
Katsu,239,218,21,0,100.0,
Grain Bowl,51,46,5,0,100.0,
Pasta,63,59,4,0,100.0,
Lasagne,33,30,3,0,100.0,
East Asian Curry,87,87,0,0,100.0,
Shawarma,20,18,2,0,100.0,
Pho,144,110,34,0,100.0,
Rice Bowl,88,83,5,0,100.0,
Sushi,29,27,2,0,100.0,
Noodles,93,64,29,0,100.0,
Biryani,47,39,8,0,100.0,
Protein & Veg,10,10,0,0,100.0,
Fried Rice,31,21,10,0,100.0,
Shepherd's Pie,3,3,0,0,100.0,
Chilli,7,6,1,0,100.0,
RIce Bowl,8,8,0,0,100.0,
Fajitas,16,14,2,0,100.0,
Poke,3,3,0,0,100.0,
