dish_type,cuisine,on_dinneroo,mapped_cuisine,non_dinneroo_orders,gap_signal,dinneroo_available_in_cuisine,latent_mentions,wishlist_pct,gap_type,gap_score,order_volume,avg_rating,kids_happy,kids_score,rating_score,open_text_requests,og_wishlist_pct,latent_demand_score,orders_per_zone_SCORE,rating_SCORE,kids_happy_SCORE,non_dinneroo_SCORE,latent_raw,latent_demand_SCORE,PERFORMANCE_60pct,DEMAND_40pct,UNIFIED_SCORE,strategic_priority,rank
Pasta,Italian,True,italian,11440.0,High,No,29,1.24,No Gap,2,1340.0,4.28,0.82,4.0,4.0,29,1.24,2,5.0,4.0,5.0,5.0,31.48,5.0,4.75,5.0,4.85,Core Driver,1
Curry,Indian,True,indian,8699.0,High,No,15,5.94,No Gap,2,4949.0,4.45,0.75,,4.0,15,5.94,2,5.0,5.0,3.0,5.0,26.880000000000003,5.0,4.666666666666667,5.0,4.800000000000001,Core Driver,2
Katsu,Japanese,True,japanese,8361.0,High,No,9,11.14,No Gap,2,11686.0,4.29,0.78,4.0,4.0,9,11.14,2,5.0,4.0,5.0,4.0,31.28,5.0,4.75,4.5,4.65,Core Driver,3
Fried Rice,Chinese,True,chinese,8412.0,High,No,2,0.0,Supply Gap,5,2430.0,4.46,0.88,5.0,4.0,2,0.0,1,5.0,5.0,5.0,5.0,2.0,3.0,5.0,4.0,4.6,Core Driver,4
Pho,Vietnamese,True,vietnamese,4702.0,Available,Yes,18,0.0,No Gap,2,4530.0,4.54,0.84,4.0,5.0,18,0.0,2,5.0,5.0,5.0,4.0,18.0,4.0,5.0,4.0,4.6,Core Driver,5
Pad Thai,Thai,True,thai,4144.0,Medium,No,1,0.0,No Gap,2,2370.0,4.54,0.79,4.0,5.0,1,0.0,1,5.0,5.0,5.0,4.0,1.0,3.0,5.0,3.5,4.4,Core Driver,6
Lasagne,Italian,True,italian,11440.0,High,No,6,15.59,No Gap,2,1099.0,4.17,0.75,,4.0,6,15.59,2,4.0,4.0,3.0,5.0,37.18,5.0,3.8333333333333335,5.0,4.3,Core Driver,7
Rice Bowl,Healthy/Fresh,True,healthy,1594.0,Available,Yes,0,4.21,No Gap,2,3139.0,4.39,0.95,5.0,4.0,0,4.21,1,5.0,4.0,5.0,2.0,8.42,4.0,4.75,3.0,4.050000000000001,Core Driver,8
Biryani,Indian,True,indian,8699.0,High,No,2,0.0,No Gap,2,458.0,4.53,0.75,,5.0,2,0.0,1,4.0,5.0,3.0,5.0,2.0,3.0,4.083333333333334,4.0,4.050000000000001,Core Driver,9
Shawarma,Middle Eastern,True,middle eastern,971.0,Available,Yes,2,0.0,Supply Gap,5,1355.0,4.68,0.8,4.0,5.0,2,0.0,1,5.0,5.0,5.0,2.0,2.0,3.0,5.0,2.5,4.0,Demand Booster,10
Sushi,Japanese,True,japanese,8361.0,High,No,6,0.0,No Gap,2,1043.0,4.7,0.65,3.0,5.0,6,0.0,1,4.0,5.0,1.0,4.0,6.0,4.0,3.75,4.0,3.85,Core Driver,11
Noodles,Global,True,,25.0,Medium,Yes,15,12.87,No Gap,2,3307.0,4.57,0.72,4.0,5.0,15,12.87,3,5.0,5.0,1.0,1.0,40.739999999999995,5.0,4.333333333333334,3.0,3.8000000000000003,Core Driver,12
Fajitas,Mexican,True,mexican,972.0,Low,No,0,5.2,Quality Gap,4,595.0,4.15,0.83,4.0,4.0,0,5.2,1,4.0,4.0,5.0,2.0,10.4,4.0,4.166666666666667,3.0,3.7,Core Driver,13
Salad,Healthy/Fresh,True,healthy,1594.0,Available,Yes,20,0.0,No Gap,2,1089.0,4.47,0.75,,4.0,20,0.0,2,4.0,5.0,3.0,2.0,20.0,4.0,4.083333333333334,3.0,3.6500000000000004,Core Driver,14
Ramen,Japanese,True,japanese,8361.0,High,No,3,8.91,No Gap,2,223.0,3.76,0.75,,3.0,3,8.91,2,4.0,1.0,3.0,4.0,20.82,5.0,3.0833333333333335,4.5,3.6500000000000004,Core Driver,15
Pizza,Italian,True,italian,11440.0,High,No,25,3.71,No Gap,2,400.0,3.84,0.74,4.0,3.0,25,3.71,2,4.0,1.0,1.0,5.0,32.42,5.0,2.75,5.0,3.65,Preference Driver,16
