cuisine,mentions,mention_share
Indian,33,0.25
Asian (general),27,0.20454545454545456
Chinese,25,0.1893939393939394
Healthy / Veg,23,0.17424242424242425
Italian,20,0.15151515151515152
Japanese,15,0.11363636363636363
Burgers / Chicken,13,0.09848484848484848
Mexican,11,0.08333333333333333
Middle Eastern,8,0.06060606060606061
Caribbean / African,6,0.045454545454545456
Korean,6,0.045454545454545456
Thai,6,0.045454545454545456
British,5,0.03787878787878788
Vietnamese,4,0.030303030303030304
Malaysian,2,0.015151515151515152
