BRAND,ITEM_NAME,ITEM_DESCRIPTION
Asia Villa,4x  Asia Villa Special Fried Rice with Salt and Pepper Chicken,Fragrant special fried rice with mixed vegetables and egg. Served with crispy salt and pepper chicken pieces. Serves family of 4.
Asia Villa,4x  Family Style Phad Thai with Sweet Chilli Chicken,Delicious Phad Thai. Served with crispy sweet chilli chicken in a spicy glaze. Serves a family of 4.
Asia Villa,4x  Massaman Curry with Rice and Tofu,Creamy and low spice Massaman curry with tender tofu and vegetables. Served with steamed jasmine rice for a hearty meal. Serves a family of 4.
Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,"Fragrant special fried rice with mixed vegetables and egg. Served with crispy salt and pepper chicken pieces. Serves family of 4. ( 2 Adults, 2 Kids)."
Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,Fragrant special fried rice with mixed vegetables and egg. Served with crispy salt and pepper chicken pieces. Serves family of 4.
Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,Fragrant special fried rice with mixed vegetables and egg. Served with crispy salt and pepper chicken pieces. Serves family of 4.
Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,Fragrant special fried rice with mixed vegetables and egg. Served with crispy salt and pepper chicken pieces. Serves family of 4.
Asia Villa,4x Family Style Egg Fried Noodle with Korean Chicken,Delicious Egg Fried Noodel. Served with crispy Korean-style chicken in a spicy glaze. Serves a family of 4
Asia Villa,4x Family Style Egg Fried Noodle with Korean Chicken,Delicious Egg Fried Noodel. Served with crispy Korean-style chicken in a spicy glaze. Serves a family of 4
Asia Villa,4x Family Style Phad Thai with Korean Chicken,"Delicious Pad Thai. Served with crispy Korean-style chicken in a spicy glaze. Serves a family of 4. ( 2 Adults, 2 Kids). Served with PEANUTS."
Asia Villa,4x Family Style Phad Thai with Korean Chicken,Delicious Phad Thai. Served with crispy Korean-style chicken in a spicy glaze. Serves a family of 4.
Asia Villa,4x Massaman Curry with Rice and Tofu,"Creamy and low spice Massaman curry with tender tofu and vegetables. Served with steamed jasmine rice for a hearty meal. Serves a family of 4. ( 2 Adults, 2 Kids)."
Asia Villa,4x Massaman Curry with Rice and Tofu,Creamy and low spice Massaman curry with tender tofu and vegetables. Served with steamed jasmine rice for a hearty meal. Serves a family of 4.
Asia Villa,4x Massaman Curry with Rice and Tofu,Creamy and low spice Massaman curry with tender tofu and vegetables. Served with steamed jasmine rice for a hearty meal. Serves a family of 4.
Asia Villa,4x Massaman Curry with Rice and Tofu,Creamy and low spice Massaman curry with tender tofu and vegetables. Served with steamed jasmine rice for a hearty meal. Serves a family of 4.
Asia Villa,4x Traditional Chow Mein with Sweet Chili Chicken,Stir-fried noodles packed with crisp veggies in delicious sauce. Served with tender chicken glazed in sweet chili (low spice). To serve a family of 4.
Asia Villa,4x Traditional Chow Mein with Sweet Chili Chicken,Stir-fried noodles packed with crisp veggies in delicious sauce. Served with tender chicken glazed in sweet chili (low spice). To serve a family of 4
Asia Villa,4x Traditional Chow Mein with Sweet Chili Chicken,"Stir-fried noodles packed with crisp veggies in delicious sauce. Served with tender chicken glazed in sweet chili (low spice). To serve a family of 4  ( 2 Adults, 2 Kids)."
Asia Villa,4x Traditional Chow Mein with Sweet Chili Chicken,Stir-fried noodles packed with crisp veggies in delicious sauce. Served with tender chicken glazed in sweet chili (low spice). To serve a family of 4.
Asia Villa,4x Traditional Chow Mein with Sweet Chili Chicken,Stir-fried noodles packed with crisp veggies in delicious sauce. Served with tender chicken glazed in sweet chili (low spice). To serve a family of 4
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
