response_id,source_file,dish_text_raw,mapped_dish_type,mapping_method,is_family_survey,child_reaction_values,is_full_and_happy,included_in_denominator
1,POST_ORDER_SURVEY-CONSOLIDATED.csv,ruby,South Asian / Indian Curry,anna_map,False,,0,0
2,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pizza,Pizza,anna_map,False,,0,0
3,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken Catsu,Katsu,anna_map,False,,0,0
4,POST_ORDER_SURVEY-CONSOLIDATED.csv,The Chicken curry,South Asian / Indian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate some parts of the dish, but were full and happy",1,1
5,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken ruby,South Asian / Indian Curry,anna_map,False,,0,0
7,POST_ORDER_SURVEY-CONSOLIDATED.csv,Family Caesar,Grain Bowl,anna_map,False,,0,0
6,POST_ORDER_SURVEY-CONSOLIDATED.csv,mac n cheese,Pasta,anna_map,False,,0,0
9,POST_ORDER_SURVEY-CONSOLIDATED.csv,"pizza, pasta and salad",Pizza,anna_map,True,They tried some parts but didn't eat much at all|They ate all parts of the dish and were full and happy,1,1
8,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Lasagne and chicken, mushroom & pesto pasta",Lasagne,anna_map,False,,0,0
11,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu curry,Katsu,anna_map,False,,0,0
12,POST_ORDER_SURVEY-CONSOLIDATED.csv,Coconut and Lemongrass Chicken Curry. Duck and Mushrooms Bao.,East Asian Curry,anna_map,False,,0,0
13,POST_ORDER_SURVEY-CONSOLIDATED.csv,Curry,Katsu,anna_map,False,,0,0
10,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pad thai a d curry,East Asian Curry,anna_map,True,"They ate some parts of the dish, but not as much as I wanted|They didn't try any of it",0,1
16,POST_ORDER_SURVEY-CONSOLIDATED.csv,Curry night,East Asian Curry,anna_map,False,,0,0
18,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Family Chicken shawarma, burger style fries",Shawarma,anna_map,True,They ate all parts of the dish and were full and happy,1,1
21,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
20,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pho,Pho,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate some parts of the dish, but were full and happy",1,1
22,POST_ORDER_SURVEY-CONSOLIDATED.csv,"4 box meals - chicken teriyaki, tofu, katsu curry",Rice Bowl,anna_map,False,,0,0
23,POST_ORDER_SURVEY-CONSOLIDATED.csv,Sushi,Sushi,anna_map,False,,0,0
24,POST_ORDER_SURVEY-CONSOLIDATED.csv,Mozzarella flatbread and tomato and mozzarella pasta,Pasta,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
30,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
25,POST_ORDER_SURVEY-CONSOLIDATED.csv,The rice box for 4 meals deal,Rice Bowl,anna_map,False,,0,0
28,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pad Thai (Chicken and Prawns),Noodles,anna_map,False,,0,0
29,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken katsu,Katsu,anna_map,False,,0,0
32,POST_ORDER_SURVEY-CONSOLIDATED.csv,Ruby chicken,South Asian / Indian Curry,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
31,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu chicken curry,Katsu,anna_map,False,,0,0
34,POST_ORDER_SURVEY-CONSOLIDATED.csv,4 rice bowls,Rice Bowl,anna_map,False,,0,0
36,POST_ORDER_SURVEY-CONSOLIDATED.csv,Curry family feast and a side of roti,South Asian / Indian Curry,keyword,True,"They ate some parts of the dish, but not as much as I wanted",0,1
33,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken Katsu,Katsu,anna_map,True,They tried some parts but didn't eat much at all|They didn't try any of it,0,1
39,POST_ORDER_SURVEY-CONSOLIDATED.csv,Family thai curry bundle,East Asian Curry,anna_map,True,"They ate some parts of the dish, but not as much as I wanted",0,1
43,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
41,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pasta and lasagne,Pasta,anna_map,False,,0,0
40,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Pasta, Pizza, Pad Thai",Pasta,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
42,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pizza and pasta,Pizza,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate all parts of the dish and were full and happy",1,1
44,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken katsu,Katsu,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate all parts of the dish and were full and happy",1,1
46,POST_ORDER_SURVEY-CONSOLIDATED.csv,Rice and noodles,Rice Bowl,anna_map,True,,0,0
45,POST_ORDER_SURVEY-CONSOLIDATED.csv,Butter chicken,South Asian / Indian Curry,anna_map,True,They tried some parts but didn't eat much at all|They ate all parts of the dish and were full and happy,1,1
47,POST_ORDER_SURVEY-CONSOLIDATED.csv,Family Mac and Cheese with brisket,Pasta,anna_map,False,,0,0
48,POST_ORDER_SURVEY-CONSOLIDATED.csv,Family pho deal,Pho,anna_map,True,They ate all parts of the dish and were full and happy,1,1
52,POST_ORDER_SURVEY-CONSOLIDATED.csv,Bit of everything,,unmapped,False,,0,0
38,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Cocotte - chicken/potatoes/caesar PE - lasagne, pasta pollo and mozerella garlic bread",Pasta,keyword,False,,0,0
51,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken ruby meal and also an extra garlic naan and crumble for dessert,South Asian / Indian Curry,anna_map,False,,0,0
54,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Spicy chicken Pho, Tofu Pho, egg fried rice, wok fried veg",Pho,anna_map,False,,0,0
53,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pho and egg fried rice,Pho,anna_map,True,They ate all parts of the dish and were full and happy,1,1
19,POST_ORDER_SURVEY-CONSOLIDATED.csv,Children's pho x 2 and noodle dish and rice dish,Pho,anna_map,False,,0,0
14,POST_ORDER_SURVEY-CONSOLIDATED.csv,Crispy chicken dinner,Rice Bowl,anna_map,True,"They ate some parts of the dish, but not as much as I wanted",0,1
56,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pho,Pho,anna_map,True,,0,0
57,POST_ORDER_SURVEY-CONSOLIDATED.csv,chicken berry,Biryani,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
59,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
58,POST_ORDER_SURVEY-CONSOLIDATED.csv,Sticky chicken,Rice Bowl,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
60,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu chicken curry family meal and panchko prawns,Katsu,anna_map,True,They ate all parts of the dish and were full and happy,1,1
27,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pad Thai,Noodles,anna_map,False,,0,0
61,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pasta pizza garlic bread,Pasta,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
62,POST_ORDER_SURVEY-CONSOLIDATED.csv,Red thai,East Asian Curry,anna_map,False,,0,0
63,POST_ORDER_SURVEY-CONSOLIDATED.csv,Classic Tofu Curry,East Asian Curry,anna_map,False,,0,0
64,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pho package,Pho,anna_map,False,,0,0
66,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
17,POST_ORDER_SURVEY-CONSOLIDATED.csv,The family katsu currwy,Katsu,keyword,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
67,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken Ruby and Dal,South Asian / Indian Curry,anna_map,True,,0,0
68,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pho soup deal with some extra kids meals,Pho,anna_map,False,,0,0
65,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken ruby,South Asian / Indian Curry,anna_map,False,,0,0
55,POST_ORDER_SURVEY-CONSOLIDATED.csv,Meal for 2,,unmapped,False,,0,0
50,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu curry,Katsu,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate all parts of the dish and were full and happy",1,1
49,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Ruby chicken, daal",South Asian / Indian Curry,anna_map,True,,0,0
69,POST_ORDER_SURVEY-CONSOLIDATED.csv,Curry and stir fry,East Asian Curry,anna_map,True,They ate all parts of the dish and were full and happy,1,1
35,POST_ORDER_SURVEY-CONSOLIDATED.csv,"2 phos, 2 kids noodles",Pho,anna_map,False,,0,0
70,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
71,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Rice bowl, noodles and tofu, soup",Rice Bowl,anna_map,False,,0,0
72,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
74,POST_ORDER_SURVEY-CONSOLIDATED.csv,Rice bowls,Rice Bowl,anna_map,False,,0,0
75,POST_ORDER_SURVEY-CONSOLIDATED.csv,Wok noodles and rice,Noodles,anna_map,False,,0,0
76,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Large pizza, pasta and garlic bread",Pizza,anna_map,True,,0,0
15,POST_ORDER_SURVEY-CONSOLIDATED.csv,Ruby Chicken & black dhal,South Asian / Indian Curry,keyword,False,,0,0
77,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Chicken curry, beef curry, chicken pho & chicken noodles",East Asian Curry,anna_map,True,"They ate some parts of the dish, but not as much as I wanted",0,1
26,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
78,POST_ORDER_SURVEY-CONSOLIDATED.csv,tomato and mozzarella pasta and pepperoni pizza with garlic bread,Pasta,anna_map,False,,0,0
79,POST_ORDER_SURVEY-CONSOLIDATED.csv,Curries and noodles,East Asian Curry,anna_map,True,They ate all parts of the dish and were full and happy,1,1
80,POST_ORDER_SURVEY-CONSOLIDATED.csv,British biriyani,South Asian / Indian Curry,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
81,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Beef Pho, chicken pho, fried rice ad fried noodles",Pho,anna_map,False,,0,0
82,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu Curry,Katsu,anna_map,False,,0,0
73,POST_ORDER_SURVEY-CONSOLIDATED.csv,mac n cheese,Pasta,anna_map,False,,0,0
83,POST_ORDER_SURVEY-CONSOLIDATED.csv,Ruby Chicken Family deal woth Dahl,South Asian / Indian Curry,keyword,False,,0,0
84,POST_ORDER_SURVEY-CONSOLIDATED.csv,Family Halloumi Shawarma,Shawarma,anna_map,True,They didn't try any of it,0,1
85,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
86,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken katsu curry,Katsu,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate some parts of the dish, but not as much as I wanted",1,1
87,POST_ORDER_SURVEY-CONSOLIDATED.csv,Sushi set for 2,Sushi,anna_map,True,They tried some parts but didn't eat much at all,0,1
88,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Mac and cheese with brisket, flatbread and a side of veg.",Pasta,anna_map,False,,0,0
37,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken and sides (salad & potatoes),Protein & Veg,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
89,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
90,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Pizza, pasta, salad, chicken.",Pizza,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
92,POST_ORDER_SURVEY-CONSOLIDATED.csv,Curry and kids noodles,East Asian Curry,anna_map,True,They ate all parts of the dish and were full and happy,1,1
93,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken katsu,Katsu,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
94,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pesto Chicken pasta,Pasta,anna_map,True,They ate all parts of the dish and were full and happy,1,1
91,POST_ORDER_SURVEY-CONSOLIDATED.csv,All the family dishes from the menu,,unmapped,True,They ate all parts of the dish and were full and happy,1,0
96,POST_ORDER_SURVEY-CONSOLIDATED.csv,Ruby chicken,South Asian / Indian Curry,anna_map,False,,0,0
97,POST_ORDER_SURVEY-CONSOLIDATED.csv,Sushi,Sushi,anna_map,False,,0,0
98,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
99,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu and Firecracker Chicken,Katsu,anna_map,True,"They ate all parts of the dish and were full and happy|They ate some parts of the dish, but were full and happy",1,1
101,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
100,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
95,POST_ORDER_SURVEY-CONSOLIDATED.csv,Curry,Katsu,anna_map,False,,0,0
102,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pho and stir-fried noodles,Pho,anna_map,True,They ate all parts of the dish and were full and happy,1,1
103,POST_ORDER_SURVEY-CONSOLIDATED.csv,Sushi,Sushi,anna_map,True,They ate all parts of the dish and were full and happy,1,1
104,POST_ORDER_SURVEY-CONSOLIDATED.csv,Old Delhi Chicken,South Asian / Indian Curry,anna_map,False,,0,0
105,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Massaman, pad Thai and crispy chicken",East Asian Curry,anna_map,False,,0,0
106,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu chxikencjrru,Katsu,anna_map,False,,0,0
108,POST_ORDER_SURVEY-CONSOLIDATED.csv,Britannia chicken biryani meal,Biryani,anna_map,False,,0,0
107,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Chicken Pho Noodles, chicken and egg fried rice",Pho,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
109,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
110,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
111,POST_ORDER_SURVEY-CONSOLIDATED.csv,Super Veg Bolognese Rigatoni,Pasta,anna_map,True,They ate all parts of the dish and were full and happy,1,1
113,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Peperoni Pizza, Pasta sharer, garlic bread, dough balls",Pizza,anna_map,False,,0,0
116,POST_ORDER_SURVEY-CONSOLIDATED.csv,Family Katsu curry,Katsu,anna_map,True,"They ate some parts of the dish, but not as much as I wanted",0,1
117,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken and sides,Grain Bowl,anna_map,False,,0,0
118,POST_ORDER_SURVEY-CONSOLIDATED.csv,Family chicken shawarma,Shawarma,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
119,POST_ORDER_SURVEY-CONSOLIDATED.csv,1,Biryani,anna_map,False,,0,0
120,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
122,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Pho fried rice, chargrilled chicken and some others",Pho,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate all parts of the dish and were full and happy",1,1
123,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu curry,Katsu,anna_map,False,,0,0
121,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken shawarma dinneroo platter,Grain Bowl,anna_map,True,They ate all parts of the dish and were full and happy,1,1
126,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
124,POST_ORDER_SURVEY-CONSOLIDATED.csv,Red curry,East Asian Curry,anna_map,False,,0,0
127,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pho's,Pho,keyword,True,"They ate some parts of the dish, but were full and happy|They ate some parts of the dish, but were full and happy",1,1
130,POST_ORDER_SURVEY-CONSOLIDATED.csv,curry,Katsu,anna_map,False,,0,0
128,POST_ORDER_SURVEY-CONSOLIDATED.csv,Thai green curry for 4,East Asian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate all parts of the dish and were full and happy",1,1
129,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu curry,Katsu,anna_map,True,They didn't try any of it|They tried some parts but didn't eat much at all,0,1
125,POST_ORDER_SURVEY-CONSOLIDATED.csv,Mix of 4,,unmapped,False,,0,0
131,POST_ORDER_SURVEY-CONSOLIDATED.csv,Sushi,Sushi,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
132,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pho for 4,Pho,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
133,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken Berry Biryani,Biryani,anna_map,False,,0,0
134,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Pizzas, garlic bread",Pizza,anna_map,False,,0,0
112,POST_ORDER_SURVEY-CONSOLIDATED.csv,Butter chicken,South Asian / Indian Curry,anna_map,True,They ate all parts of the dish and were full and happy,1,1
136,POST_ORDER_SURVEY-CONSOLIDATED.csv,Curry and kids noodles,East Asian Curry,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
137,POST_ORDER_SURVEY-CONSOLIDATED.csv,"x2 Pho noodles, egg fried rice, wok fried noodles and fresh juice",Pho,anna_map,False,,0,0
115,POST_ORDER_SURVEY-CONSOLIDATED.csv,Paneer Deal and sides.,South Asian / Indian Curry,anna_map,False,,0,0
138,POST_ORDER_SURVEY-CONSOLIDATED.csv,Grilled chicken bowls and Children's chicken and noodle bowls,Noodles,anna_map,True,,0,0
139,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu Curry,Katsu,anna_map,True,They ate all parts of the dish and were full and happy,1,1
140,POST_ORDER_SURVEY-CONSOLIDATED.csv,green chicken curry,East Asian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy|They tried some parts but didn't eat much at all",1,1
141,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu,Katsu,anna_map,False,,0,0
114,POST_ORDER_SURVEY-CONSOLIDATED.csv,Shawarma,Grain Bowl,anna_map,False,,0,0
143,POST_ORDER_SURVEY-CONSOLIDATED.csv,sushi,Sushi,anna_map,False,,0,0
142,POST_ORDER_SURVEY-CONSOLIDATED.csv,Cauliflower green Thai curry,East Asian Curry,anna_map,False,,0,0
