cuisine,non_dinneroo_orders,unique_customers,avg_order_value,dinneroo_available,gap_signal
Grocery,122839,19338,32.04,No,High
Burgers,68224,19729,26.78,Yes,Available
Italian,49460,18754,31.98,Yes,Available
Japanese,45681,17749,35.06,Yes,Available
Chicken,37141,14631,28.15,Yes,Available
American,35204,13735,27.61,Yes,Available
Indian,34158,13256,35.22,Yes,Available
Alcohol,28430,8019,27.35,No,High
Chinese,24190,9852,35.79,Yes,Available
Portuguese,19837,9118,36.1,No,High
British,18228,7755,27.25,No,High
Healthy,16540,5783,29.08,Yes,Available
Asian,15084,7274,32.98,Yes,Available
Vietnamese,14500,6868,32.46,Yes,Available
Wings,12914,6363,27.42,No,High
Thai,11481,6331,37.44,Yes,Available
Bakery,8786,2893,22.92,No,Medium
Halal,8624,4451,26.16,Yes,Available
Café,7748,2638,23.01,No,Medium
Turkish,7037,3517,35.47,No,Medium
Sandwiches,6842,3174,25.07,Yes,Available
Dessert,6623,3690,26.02,No,Medium
Middle Eastern,6622,3339,31.08,Yes,Available
Breakfast,6030,2669,25.71,Yes,Available
Greek,5881,3505,27.98,No,Medium
German,5566,3091,24.23,No,Medium
Juices,5527,2158,25.7,No,Medium
Korean,5218,2741,32.78,No,Medium
Lebanese,5079,2515,34.34,Yes,Available
Convenience,3508,1784,34.29,No,Low
Unknown,3470,1876,27.53,Yes,Available
Mexican,3148,1751,31.51,Yes,Available
Vegan Friendly,2913,1632,32.44,Yes,Available
Coffee,2852,1094,20.04,No,Low
Nachos,2842,1635,25.38,No,Low
Bubble Tea,2754,1271,19.89,No,Low
Burritos,2705,1564,28.53,Yes,Available
Tacos,2510,1322,32.07,Yes,Available
Caribbean,2490,1270,30.39,No,Low
Deliveroo Hop,2324,754,29.44,No,Low
Bagels,2315,1019,24.81,No,Low
Mediterranean,2283,1222,28.4,Yes,Available
Vegetarian,2248,1297,36.45,Yes,Available
Meal Deals,1832,1012,30.69,Yes,Available
Drinks,1816,819,32.24,No,Low
Noodles,1759,981,34.53,No,Low
Big Brand Stores,1667,811,32.91,No,Low
New To Deliveroo,1518,873,25.83,No,Low
Shopping,1513,816,33.38,No,Low
Family Favourites,1472,843,33.7,Yes,Available
Brunch,1455,746,25.85,No,Low
Featured Restaurants,1376,894,25.25,Yes,Available
Waffles,1297,812,24.44,No,Low
Gluten Free,1282,642,30.64,Yes,Available
Milkshakes,1226,706,32.19,No,Low
Stir Fry,1153,678,24.99,No,Low
Kosher,1148,221,29.18,Yes,Available
Grill,1008,537,28.36,No,Low
Only On Deliveroo,941,573,37.97,Yes,Available
Popular Restaurants,940,391,27.47,No,Low
Poke,911,634,26.4,No,Low
Gyros,874,542,28.77,No,Low
Wraps,863,440,22.69,Yes,Available
Cantonese,763,421,38.46,No,Low
Vegan,722,384,33.08,No,Low
African,688,315,35.33,No,Low
Supermarket,687,342,28.93,No,Low
Irish,670,255,31.09,No,Low
Meat,647,410,27.32,No,Low
Ice Cream,607,343,24.43,No,Low
Cakes,603,451,25.91,No,Low
