cuisine,non_dinneroo_orders,unique_customers,avg_order_value,dinneroo_available,gap_signal,filter_applied,filter_rationale
Grocery,26417,9872,30.05,No,High,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Burgers,16155,9011,28.32,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
italian,11440,7036,32.18,No,High,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Chicken,10002,6201,29.22,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
indian,8699,5310,35.23,No,High,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
chinese,8412,5026,35.43,No,High,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
japanese,8361,5397,35.53,No,High,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
american,8140,5288,29.21,No,High,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Portuguese,6999,4356,36.32,No,High,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Alcohol,6438,3330,27.15,No,High,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
sushi,6420,4031,35.5,No,High,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Asian,4740,3136,33.04,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Vietnamese,4702,3040,32.02,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Salads,4209,1821,29.38,No,Medium,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
thai,4144,2922,37.31,No,Medium,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
pizza,3875,2771,30.82,No,Medium,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Wings,3461,2496,28.68,No,Medium,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
British,3087,2017,29.14,No,Medium,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Turkish,2410,1597,35.56,No,Medium,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Curry,2372,1733,36.41,No,Medium,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
halal,2204,1592,27.54,No,Medium,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
greek,1890,1431,29.09,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Korean,1807,1279,33.7,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
lebanese,1677,1087,34.07,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Healthy,1594,817,27.51,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Fish and chips,1568,1065,27.63,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
German,1502,1123,25.35,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
dessert,1401,1059,25.47,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Tacos,996,673,32.44,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
mexican,972,688,32.77,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Middle Eastern,971,658,31.8,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Vegan Friendly,950,688,31.73,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Kebab,780,549,29.35,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Caribbean,774,563,29.92,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Burritos,761,562,29.52,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
vegetarian,757,558,37.23,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Mediterranean,724,495,29.64,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Ramen,718,565,32.34,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Sandwiches,701,541,26.27,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Bubble tea,673,456,19.8,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
On Demand Convenience,645,504,30.98,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Nachos,638,511,26.34,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Noodles,611,446,33.68,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Deliveroo Hop,600,320,26.91,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Juices,568,316,26.63,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Fried chicken,542,418,27.77,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Family favourites,533,384,32.21,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Meal Deals,493,365,31.74,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Gluten Free,488,271,30.77,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
breakfast,456,288,28.82,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Mezze,444,307,35.1,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Drinks,431,272,31.29,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Featured Restaurants,417,329,25.83,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Milkshakes,411,297,33.13,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
New to Deliveroo,398,298,26.87,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Waffles,365,304,24.72,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Big brand stores,360,265,29.04,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Pasta,356,253,31.44,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Kosher,340,134,29.49,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
grill,324,238,28.38,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Restaurants Only on Deliveroo,312,173,29.83,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Stir Fry,302,223,26.3,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Poke,298,233,26.96,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Only on Deliveroo,287,221,40.09,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Desserts and sweet dishes,287,223,23.72,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Cantonese,276,186,37.87,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Gyros,264,205,30.04,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Shopping,247,180,30.28,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Bakery,237,178,23.25,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Vegan,231,158,35.05,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Café,225,165,25.39,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Bagels,204,120,29.77,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Supermarket,198,126,25.94,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Latin American,198,152,35.64,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Popular restaurants,194,134,29.23,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
African,188,128,33.3,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Asian Fusion,186,144,31.91,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Irish,185,102,31.71,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Pho,184,112,32.69,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Steak,169,126,41.0,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Ice cream,169,120,22.22,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Dim Sum,165,126,36.36,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
The Feed,153,102,28.75,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Movie Night Restaurants,151,94,31.79,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Wraps,144,104,24.47,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Seafood,143,106,36.86,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Malaysian,140,105,34.16,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Meal Deal,137,105,28.99,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
BBQ,133,106,32.13,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Taiwanese,129,92,28.52,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Shawarma,128,99,29.07,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Nepalese,124,84,33.61,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Sichuan,122,79,32.46,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Hot Dogs,118,93,27.38,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Meat,113,90,24.37,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Hawaiian,112,76,28.06,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Cakes,112,101,24.69,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Dumplings,108,65,34.22,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
street food,100,70,32.89,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
In-store prices – Selected items,97,77,26.03,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Beer,97,47,32.21,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Wine,96,57,28.49,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Iranian,92,64,45.76,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Argentinian,92,64,28.79,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
