partner,order_count,volume_percentile,satisfaction_rate,loved_it_rate,advocate_rate,survey_n,avg_rating,rating_count,volume_score,satisfaction_score,rating_score,composite_score,rank
Pho,14055,0.9761904761904762,0.8888888888888888,0.5172413793103449,0.3831417624521073,261.0,4.559904534606205,2095.0,99.4762545119966,88.88888888888889,91.1980906921241,85.39243684572921,1
Wagamama,14129,1.0,0.8108974358974359,0.4326923076923077,0.2948717948717949,312.0,4.24640555280119,2017.0,100.0,81.08974358974359,84.92811105602381,80.5280675158588,2
Dishoom,8689,0.9523809523809523,0.8673469387755102,0.6071428571428571,0.3673469387755102,196.0,4.7585470085470085,1404.0,61.49762899002052,86.73469387755102,95.17094017094017,73.5412641636012,3
The Salad Project,73,0.25,1.0,1.0,1.0,2.0,4.538461538461538,13.0,0.5166678462736216,100.0,90.76923076923077,64.25775682311885,4
Banana Tree,5709,0.9047619047619048,0.8452380952380952,0.43614130434782605,,0.0,4.4579326923076925,832.0,40.406256635289125,84.52380952380952,89.15865384615384,61.36421462725643,5
Bill's,3358,0.8571428571428571,0.8831168831168831,0.5454545454545454,0.33766233766233766,77.0,4.503401360544218,588.0,23.766720928586597,88.31168831168831,90.06802721088437,59.143336864275554,6
PizzaExpress,6180,0.9285714285714286,1.0,0.0,0.0,1.0,4.173170731707317,820.0,43.73982589001344,100.0,83.46341463414633,58.655280524919334,7
Yacob's Kitchen,963,0.7142857142857143,0.9411764705882353,0.6470588235294118,0.35294117647058826,17.0,4.662790697674419,172.0,6.81576898577394,94.11764705882352,93.25581395348837,57.59345348154618,8
Itsu,2983,0.8333333333333334,0.9074074074074074,0.4444444444444444,0.37037037037037035,54.0,4.516539440203562,393.0,21.11260527992073,90.74074074074075,90.33078880407125,57.070638876527525,9
Remedy Kitchen,178,0.40476190476190477,1.0,0.5,0.5,2.0,4.902439024390244,41.0,1.2598202279000636,100.0,98.04878048780488,55.24581512854551,10
Giggling Squid,3982,0.8809523809523809,0.7631578947368421,0.4473684210526316,0.32894736842105265,76.0,4.317741935483871,620.0,28.183169367966592,76.31578947368422,86.35483870967742,54.15748788659816,11
Farmer J,1852,0.8095238095238095,0.7272727272727273,0.5909090909090909,0.2727272727272727,22.0,4.711610486891386,267.0,13.107792483544484,72.72727272727273,94.23220973782772,51.28367561575062,12
Bella Italia,1280,0.7619047619047619,0.8452380952380952,0.43614130434782605,,0.0,4.17910447761194,201.0,9.059381414112817,84.52380952380952,83.5820895522388,49.83515187045322,13
Las Iguanas,1294,0.7857142857142857,0.8452380952380952,0.43614130434782605,,0.0,4.121495327102804,214.0,9.158468398329676,84.52380952380952,82.42990654205607,49.754614013910846,14
Ting Thai,533,0.6547619047619048,0.8333333333333334,0.5,0.3333333333333333,6.0,4.5,64.0,3.772383041970415,83.33333333333334,90.0,49.48700073135632,15
Kricket,931,0.6904761904761905,0.8260869565217391,0.43478260869565216,0.17391304347826086,23.0,4.368421052631579,152.0,6.589284450421119,82.6086956521739,87.36842105263158,48.65178731508446,16
Shaku Maku,43,0.16666666666666666,0.8452380952380952,0.43614130434782605,,0.0,5.0,8.0,0.30433859438035243,84.52380952380952,100.0,48.41267792832297,17
Asia Villa,509,0.6190476190476191,0.8571428571428571,0.42857142857142855,0.2857142857142857,14.0,4.2631578947368425,76.0,3.6025196404558,85.71428571428571,85.26315789473685,48.35862623506178,18
Zumuku Sushi,20,0.09523809523809523,0.8452380952380952,0.43614130434782605,,0.0,5.0,4.0,0.14155283459551277,84.52380952380952,100.0,48.35570291239828,19
Zaatar Rathmines,6,0.047619047619047616,0.8452380952380952,0.43614130434782605,,0.0,5.0,1.0,0.04246585037865383,84.52380952380952,100.0,48.32102246792238,20
Kokoro,305,0.5238095238095238,0.8452380952380952,0.43614130434782605,,0.0,4.464285714285714,28.0,2.15868072758157,84.52380952380952,89.28571428571429,47.990269103514834,21
Tadka House,44,0.19047619047619047,0.8452380952380952,0.43614130434782605,,0.0,4.625,8.0,0.3114162361101281,84.52380952380952,92.5,47.665155102928395,22
Taste Of Hong Kong-DCN,83,0.2857142857142857,0.8452380952380952,0.43614130434782605,,0.0,4.555555555555555,9.0,0.587444263571378,84.52380952380952,91.11111111111111,47.622876023650946,23
Biblos,9,0.07142857142857142,0.8452380952380952,0.43614130434782605,,0.0,4.333333333333333,,0.06369877556798074,84.52380952380952,86.66666666666666,46.99512065840531,24
Tula Ireland,36,0.11904761904761904,0.8452380952380952,0.43614130434782605,,0.0,4.222222222222222,9.0,0.254795102271923,84.52380952380952,84.44444444444444,46.83978215052947,25
Milano,296,0.5,0.8452380952380952,0.43614130434782605,,0.0,3.877551020408163,49.0,2.094981952013589,84.52380952380952,77.55102040816327,46.79450514431093,26
Umi Falafel,2,0.023809523809523808,0.8452380952380952,0.43614130434782605,,0.0,4.0,1.0,0.014155283459551277,84.52380952380952,80.0,46.31111376950069,27
Prezzo,324,0.5714285714285714,0.8452380952380952,0.43614130434782605,,0.0,3.4489795918367347,49.0,2.2931559204473073,84.52380952380952,68.9795918367347,46.00672317611988,28
Iro Sushi,440,0.5952380952380952,0.75,0.4375,0.25,16.0,4.672413793103448,58.0,3.114162361101281,75.0,93.44827586206897,45.43478441259235,29
Cacciari's,256,0.4523809523809524,1.0,0.0,0.0,4.0,4.684210526315789,38.0,1.8118762828225634,100.0,93.6842105263158,45.00257775161948,30
Tiffin Tin,95,0.30952380952380953,1.0,0.0,0.0,1.0,4.304347826086956,23.0,0.6723759643286857,100.0,86.08695652173913,43.844027239688955,31
PIZAZA-SGroup,49,0.21428571428571427,1.0,0.0,0.0,1.0,4.333333333333333,6.0,0.3468044447590063,100.0,86.66666666666666,43.788048222332314,32
atis,73,0.25,1.0,0.0,0.0,1.0,4.071428571428571,14.0,0.5166678462736216,100.0,81.42857142857143,43.32369088905291,33
LEON,533,0.6547619047619048,0.8666666666666667,0.13333333333333333,0.13333333333333333,15.0,4.120481927710843,83.0,3.772383041970415,86.66666666666667,82.40963855421685,42.56129792011133,34
Chaska,306,0.5476190476190477,0.6,0.6,0.6,5.0,3.977272727272727,44.0,2.1657583693113454,60.0,79.54545454545455,41.71256088380443,35
Xian Street Food,257,0.47619047619047616,0.6666666666666666,0.3333333333333333,0.16666666666666666,6.0,4.32,25.0,1.8189539245523392,66.66666666666666,86.4,39.27663387359331,36
Cocotte,978,0.7380952380952381,0.6470588235294118,0.23529411764705882,0.17647058823529413,17.0,4.420454545454546,176.0,6.921933611720575,64.70588235294117,88.40909090909092,38.61652703148188,37
SOYO-SGroup,108,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,3.0,4.0588235294117645,17.0,0.764385306815769,33.33333333333333,81.17647058823529,33.38518191620905,38
TUK TUK-SGroup,176,0.38095238095238093,0.5,0.125,0.125,8.0,3.90625,32.0,1.2456649444405123,50.0,78.125,28.24848273055418,39
