partner_name,base_name,original_cuisine,granular_cuisine,classification_method
0131 - Fulham - 363 Fulham Road - PizzaExpress,0131,italian,Italian,cuisine_tag
0141 - London - Notting Hill Gate - PizzaExpress,0141,italian,Italian,cuisine_tag
0191 - Clapham - Lavender Hill - PizzaExpress,0191,italian,Italian,cuisine_tag
0201 - Teddington - Waldegrave Road - PizzaExpress,0201,italian,Italian,cuisine_tag
0231 - Highgate - High Street - PizzaExpress,0231,italian,Italian,cuisine_tag
0241 - Fulham - 895 Fulham Road - PizzaExpress,0241,italian,Italian,cuisine_tag
0251 - Oxford - Golden Cross - PizzaExpress,0251,italian,Italian,cuisine_tag
0271 - South Woodford - High Road - PizzaExpress,0271,italian,Italian,cuisine_tag
0311 - Wimbledon - High Street - PizzaExpress,0311,italian,Italian,cuisine_tag
0341 - Beckenham - High Street - PizzaExpress,0341,italian,Italian,cuisine_tag
0351 - Bromley - Widmore Road - PizzaExpress,0351,italian,Italian,cuisine_tag
0381 - Bath - Theatre Royal - PizzaExpress,0381,italian,Italian,cuisine_tag
0391 - Basingstoke - Winchester Road - PizzaExpress,0391,italian,Italian,cuisine_tag
0401 - Richmond - Red Lion Street - PizzaExpress,0401,italian,Italian,cuisine_tag
0411 - Camberley - Park Street - PizzaExpress,0411,italian,Italian,cuisine_tag
0421 - Chichester - South Street - PizzaExpress,0421,italian,Italian,cuisine_tag
0441 - Nottingham - King Street - PizzaExpress,0441,italian,Italian,cuisine_tag
0461 - Canterbury - Best Lane - PizzaExpress,0461,italian,Italian,cuisine_tag
0501 - Belfast - Bedford Street - PizzaExpress,0501,italian,Italian,cuisine_tag
0531 - Twickenham - York Street - PizzaExpress,0531,italian,Italian,cuisine_tag
0541 - Colchester - St Runwald Street - PizzaExpress,0541,italian,Italian,cuisine_tag
0551 - Guildford - High Street - PizzaExpress,0551,italian,Italian,cuisine_tag
0571 - York - Museum Street - PizzaExpress,0571,italian,Italian,cuisine_tag
0591 - Reigate - High Street - PizzaExpress,0591,italian,Italian,cuisine_tag
0601 - Walton on Thames - New Zealand Avenue - PizzaExpress,0601,italian,Italian,cuisine_tag
0621 - Stanmore - Broadway - PizzaExpress,0621,italian,Italian,cuisine_tag
0631 - Norwich - St Benedict Street - PizzaExpress,0631,italian,Italian,cuisine_tag
0641 - Chelmsford - Moulsham Street - PizzaExpress,0641,italian,Italian,cuisine_tag
0651 - Belsize Park - Haverstock Hill - PizzaExpress,0651,italian,Italian,cuisine_tag
0671 - Ealing - Bond Street - PizzaExpress,0671,italian,Italian,cuisine_tag
0711 - Leamington Spa - The Parade - PizzaExpress,0711,italian,Italian,cuisine_tag
0741 - Tunbridge Wells - High Street - PizzaExpress,0741,italian,Italian,cuisine_tag
0751 - Hitchin - Market Place - PizzaExpress,0751,italian,Italian,cuisine_tag
0761 - London - Baker Street - PizzaExpress,0761,italian,Italian,cuisine_tag
0771 - Farnham - Castle Street - PizzaExpress,0771,italian,Italian,cuisine_tag
0781 - Clapham - Abbeville Road - PizzaExpress,0781,italian,Italian,cuisine_tag
0811 - Southgate - Chaseside - PizzaExpress,0811,italian,Italian,cuisine_tag
0871 - Eastbourne - Cornfield Road - PizzaExpress,0871,italian,Italian,cuisine_tag
0931 - Dulwich - Village - PizzaExpress,0931,italian,Italian,cuisine_tag
0961 - Henley - Market Place - PizzaExpress,0961,italian,Italian,cuisine_tag
1051 - Wokingham - Broad Street - PizzaExpress,1051,italian,Italian,cuisine_tag
1061 - Bexleyheath - Broadway - PizzaExpress,1061,italian,Italian,cuisine_tag
1081 - Camden - Parkway - PizzaExpress,1081,italian,Italian,cuisine_tag
1091 - Barnet - High Street - PizzaExpress,1091,italian,Italian,cuisine_tag
1110877 - Bella Italia Pizza & Pasta - Bristol Baldwin Street,1110877,italian,Italian,cuisine_tag
1113111 - Bella Italia Pizza & Pasta - Birmingham New Street,1113111,italian,Italian,cuisine_tag
1113133 - Bella Italia Pizza & Pasta - Bristol Cribbs Causeway,1113133,italian,Italian,cuisine_tag
1113177 - Bella Italia Pizza & Pasta - Oxford George Street,1113177,italian,Italian,cuisine_tag
1131 - East Sheen - Upper Richmond Road - PizzaExpress,1131,italian,Italian,cuisine_tag
1141 - Epsom - South Street - PizzaExpress,1141,italian,Italian,cuisine_tag
1181 - London - Islington - PizzaExpress,1181,italian,Italian,cuisine_tag
1211 - Loughton - High Road - PizzaExpress,1211,italian,Italian,cuisine_tag
1231 - Mill Hill - The Broadway - PizzaExpress,1231,italian,Italian,cuisine_tag
1241 - Muswell Hill - Broadway - PizzaExpress,1241,italian,Italian,cuisine_tag
1271 - Ruislip - High Street - PizzaExpress,1271,italian,Italian,cuisine_tag
1281 - St Albans - Verulam Road - PizzaExpress,1281,italian,Italian,cuisine_tag
1291 - Shepherds Bush - Rockley Road - PizzaExpress,1291,italian,Italian,cuisine_tag
1351 - Watford - High Street - PizzaExpress,1351,italian,Italian,cuisine_tag
1381 - Woking - Goldsworth Road - PizzaExpress,1381,italian,Italian,cuisine_tag
1401 - Chiswick - High Road - PizzaExpress,1401,italian,Italian,cuisine_tag
1411 - Putney - Upper Richmond Road - PizzaExpress,1411,italian,Italian,cuisine_tag
1431 - Wandsworth - Trinity Road - PizzaExpress,1431,italian,Italian,cuisine_tag
1441 - Windsor - Thames Street - PizzaExpress,1441,italian,Italian,cuisine_tag
1451 - Radlett - Watling Street - PizzaExpress,1451,italian,Italian,cuisine_tag
1471 - St Johns Wood - Abbey Road - PizzaExpress,1471,italian,Italian,cuisine_tag
1541 - Tonbridge - High Street - PizzaExpress,1541,italian,Italian,cuisine_tag
1561 - Stratford East - Theatre Square - PizzaExpress,1561,italian,Italian,cuisine_tag
1571 - Banstead - High Street - PizzaExpress,1571,italian,Italian,cuisine_tag
1581 - Cardiff - High Street - PizzaExpress,1581,italian,Italian,cuisine_tag
1601 - London - Kings Road - PizzaExpress,1601,italian,Italian,cuisine_tag
1611 - Horsham - East Street - PizzaExpress,1611,italian,Italian,cuisine_tag
1631 - Weybridge - Monument Hill - PizzaExpress,1631,italian,Italian,cuisine_tag
1651 - Sidcup - Elm Parade Shopping Centre - PizzaExpress,1651,italian,Italian,cuisine_tag
1761 - Godalming - High Street - PizzaExpress,1761,italian,Italian,cuisine_tag
1821 - London - Tower Bridge - PizzaExpress,1821,italian,Italian,cuisine_tag
1831 - London - Pimlico - PizzaExpress,1831,italian,Italian,cuisine_tag
1861 - Harpenden - High Street - PizzaExpress,1861,italian,Italian,cuisine_tag
1891 - Didsbury - Lapwing Lane - PizzaExpress,1891,italian,Italian,cuisine_tag
1901 - Blackheath - Tranquil Vale - PizzaExpress,1901,italian,Italian,cuisine_tag
1951 - Hove - Church Road - PizzaExpress,1951,italian,Italian,cuisine_tag
1961 - Maidenhead - Bridge Street - PizzaExpress,1961,italian,Italian,cuisine_tag
1991 - London - London Bridge - PizzaExpress,1991,italian,Italian,cuisine_tag
2011 - London - Kennington Road - PizzaExpress,2011,italian,Italian,cuisine_tag
2031 - London - Victoria Street - PizzaExpress,2031,italian,Italian,cuisine_tag
2131 - West Wickham - High Street - PizzaExpress,2131,italian,Italian,cuisine_tag
2141 - Barnes - High Street - PizzaExpress,2141,italian,Italian,cuisine_tag
2151 - Amersham - Sycamore Road - PizzaExpress,2151,italian,Italian,cuisine_tag
2171 - Welwyn Garden City - Howardsgate - PizzaExpress,2171,italian,Italian,cuisine_tag
2211 - Hale - Ashley Road - PizzaExpress,2211,italian,Italian,cuisine_tag
2311 - Harborne - High Street - PizzaExpress,2311,italian,Italian,cuisine_tag
2341 - Greenwich - Church Street - PizzaExpress,2341,italian,Italian,cuisine_tag
2351 - London - Royal Festival Hall - PizzaExpress,2351,italian,Italian,cuisine_tag
2531 - Leeds - Street Lane - PizzaExpress,2531,italian,Italian,cuisine_tag
2551 - Wimbledon - The Broadway - PizzaExpress,2551,italian,Italian,cuisine_tag
2601 - Newbury - Market Place - PizzaExpress,2601,italian,Italian,cuisine_tag
2671 - London - Euston Road - PizzaExpress,2671,italian,Italian,cuisine_tag
2701 - Portsmouth - Gunwharf Quays Designer Outlet - PizzaExpress,2701,italian,Italian,cuisine_tag
2811 - Worcester Park - Central Road - PizzaExpress,2811,italian,Italian,cuisine_tag
2831 - Romford - The Brewery Shopping Centre - PizzaExpress,2831,italian,Italian,cuisine_tag
2851 - London - Bishopsgate - PizzaExpress,2851,italian,Italian,cuisine_tag
2871 - Braintree - Designer Village - PizzaExpress,2871,italian,Italian,cuisine_tag
2881 - Cambridge - Regent Street - PizzaExpress,2881,italian,Italian,cuisine_tag
2901 - Norwich - Forum Events Centre - PizzaExpress,2901,italian,Italian,cuisine_tag
2951 - Hampton Court - Creek Road - PizzaExpress,2951,italian,Italian,cuisine_tag
3031 - Salford Quays - Designer Outlet - PizzaExpress,Salford Quays,italian,Italian,cuisine_tag
"3113001 - Banana Tree Thai, Vietnamese, Vegan - Maida Vale",Banana Tree Thai,Asian,Thai,known_mapping
"3113002 - Banana Tree Thai, Vietnamese, Vegan - West Hampstead",Banana Tree Thai,Asian,Thai,known_mapping
"3113003 - Banana Tree Thai, Vietnamese, Vegan - Battersea",Banana Tree Thai,Asian,Thai,known_mapping
"3113004 - Banana Tree Thai, Vietnamese, Vegan - Angel Islington",Banana Tree Thai,Asian,Thai,known_mapping
"3113005 - Banana Tree Thai, Vietnamese, Vegan - Westbourne Grove",Banana Tree Thai,Asian,Thai,known_mapping
"3113007 - Banana Tree Thai, Vietnamese, Vegan - Milton Keynes The Hub",Banana Tree Thai,Asian,Thai,known_mapping
"3113008 - Banana Tree Thai, Vietnamese, Vegan - Oxford",Banana Tree Thai,Asian,Thai,known_mapping
"3113009 - Banana Tree Thai, Vietnamese, Vegan - Chelmsford",Banana Tree Thai,Asian,Thai,known_mapping
"3113010 - Banana Tree Thai, Vietnamese, Vegan - Covent Garden",Banana Tree Thai,Asian,Thai,known_mapping
"3113011 - Banana Tree Thai, Vietnamese, Vegan - London The O2",Banana Tree Thai,Asian,Thai,known_mapping
"3113013 - Banana Tree Thai, Vietnamese, Vegan - Reigate",Banana Tree Thai,Asian,Thai,known_mapping
"3113014 - Banana Tree Thai, Vietnamese, Vegan - Windsor",Banana Tree Thai,Asian,Thai,known_mapping
"3113015 - Banana Tree Thai, Vietnamese, Vegan - Birmingham Bullring",Banana Tree Thai,Asian,Thai,known_mapping
"3113016 - Banana Tree Thai, Vietnamese, Vegan - Greenwich",Banana Tree Thai,Asian,Thai,known_mapping
"3113017 - Banana Tree Thai, Vietnamese, Vegan - Bath",Banana Tree Thai,Asian,Thai,known_mapping
"3113018 - Banana Tree Thai, Vietnamese, Vegan - Henley",Banana Tree Thai,Asian,Thai,known_mapping
3113019 - Banana Tree Thai - Vietnamese - Vegan - Salford Quays,Banana Tree Thai,Asian,Thai,known_mapping
3113020 - Banana Tree Thai Vietnamese Vegan - Portsmouth Gunwharf Quays,Banana Tree Thai Vietnamese Vegan,Asian,Thai,known_mapping
3113021 - Banana Tree Thai Vietnamese Vegan - Stevenage,Banana Tree Thai Vietnamese Vegan,thai,Thai,known_mapping
3203 - London - Clerkenwell Road - PizzaExpress,London,italian,Italian,cuisine_tag
3204 - Kew - Station Approach - Pizza Express,Kew,italian,Italian,cuisine_tag
3210 - London - Millbank - PizzaExpress,London,italian,Italian,cuisine_tag
3210 - Prezzo Braintree,Prezzo Braintree,italian,Italian,known_mapping
3211 - Prezzo - Port Solent,Prezzo,italian,Italian,known_mapping
3213 - Cardiff - Mermaid Quay - PizzaExpress,Cardiff,italian,Italian,cuisine_tag
3219 - Belfast - Lisburn Road - PizzaExpress,Belfast,italian,Italian,cuisine_tag
3220 - Warwick - Jury Street - PizzaExpress,Warwick,italian,Italian,cuisine_tag
3223 - London - Bankside - PizzaExpress,London,italian,Italian,cuisine_tag
3225 - Birmingham - Bullring Shopping Centre - PizzaExpress,Birmingham,italian,Italian,cuisine_tag
3228 - Prezzo - Reading,Prezzo,italian,Italian,known_mapping
3229 - Balham - Bedford Hill - PizzaExpress,Balham,italian,Italian,cuisine_tag
3229 - Prezzo - The Promenade,Prezzo,italian,Italian,known_mapping
3230 - London - Tower Hill - PizzaExpress,London,italian,Italian,cuisine_tag
3233 - Hemel Hempstead - Riverside - PizzaExpress,Hemel Hempstead,italian,Italian,cuisine_tag
3234 - Prezzo Pasta & Pizza – Euston,Prezzo Pasta & Pizza – Euston,italian,Italian,known_mapping
3236 - West Bridgford - Bridgford Road - PizzaExpress,West Bridgford,italian,Italian,cuisine_tag
3240 - Milton Keynes - Centre MK - PizzaExpress,Milton Keynes,italian,Italian,cuisine_tag
3240 - Prezzo - Bournemouth,Prezzo,italian,Italian,known_mapping
3245 - Brighton - Marina - PizzaExpress,Brighton,italian,Italian,cuisine_tag
