brand,zone_count,zone_coverage_pct,Italian,Japanese,Indian,Thai,Vietnamese,Chinese,Mexican,British,Middle Eastern,Healthy
PizzaExpress,137,68.2,Y,,,,,,,,,
Wagamama,93,46.3,,Y,,,,,,,,
Pho,44,21.9,,,,,Y,,,,,
Bill's,38,18.9,,,,,,,,,,
Giggling Squid,37,18.4,,,,Y,,,,,,
Itsu,36,17.9,,Y,,,,,,,,
Prezzo,33,16.4,Y,,,,,,,,,
Bella Italia,30,14.9,,,,,,,,,,
Iro Sushi,30,14.9,,,,,,,,,,
Las Iguanas,28,13.9,,,,,,,,,,
LEON,22,10.9,,,,,,,,,,Y
Banana Tree,19,9.5,,,,,,,,,,
Kokoro,14,7.0,,,,,,,,,,
Dishoom,11,5.5,,,Y,,,,,,,
Zambrero UK,10,5.0,,,,,,,,,,
Yacob's Kitchen,8,4.0,,,,,,,,,,Y
Remedy Kitchen,7,3.5,,,,,,,,,Y,Y
Tiffin Tin,6,3.0,,,Y,,,,,,,
atis,6,3.0,,,,,,,,,,Y
Milano,6,3.0,,,,,,,,,,
Farmer J,6,3.0,,,,,,,,,,Y
Cocotte,6,3.0,,,,,,,,,,
Asia Villa,5,2.5,,,,,,Y,,,,
Kricket,4,2.0,,,Y,,,,,,,
Saravana Bhavan,3,1.5,,,Y,,,,,,,
Xian Street Food,3,1.5,,,,,,Y,,,,
Ting Thai,3,1.5,,,,Y,,,,,,
Zumuku,2,1.0,,,,,,,,,,
Biblos,2,1.0,,,,,,,,,Y,
PIZAZA-SGroup,2,1.0,,,,,,,,,,
