partner,dinneroo_orders,unique_customers,avg_order_value,current_zones,orders_per_zone,expansion_potential
Dishoom - Editions - BLW,1133,796,33.437263901147396,1,1133.0,High
Dishoom - Editions - ISL,1094,784,36.47604204753199,1,1094.0,High
Dishoom - Editions - CRE,882,603,35.18502267573696,1,882.0,High
Dishoom - Editions - BCP,832,598,36.7294110576923,1,832.0,High
Dishoom - Editions - ACT,711,500,35.911645569620255,1,711.0,High
Dishoom - Editions - WME,706,535,34.577365439093484,1,706.0,High
Dishoom - Editions - WNW,685,481,35.56846715328467,1,685.0,High
Dishoom - Editions - BER,680,480,33.12511764705882,1,680.0,High
Dishoom - Editions - DUL,675,494,36.46048888888889,1,675.0,High
Pho - Bristol,659,498,30.911699544764797,1,659.0,High
Dishoom - Editions - SWC,652,480,36.490598159509204,1,652.0,High
Dishoom - Editions - BRC,623,435,34.52012841091493,1,623.0,High
Pho - Editions - CRE,617,452,30.484116693679095,1,617.0,High
Pho - Editions - DUL,564,398,31.057251773049646,1,564.0,High
Pho - Brighton,557,417,31.107486535008974,1,557.0,High
"3113003 - Banana Tree Thai, Vietnamese, Vegan - Battersea",549,401,28.260582877959926,1,549.0,High
Pho - Greenwich,510,354,29.8861568627451,1,510.0,High
Pho - Canary Wharf,484,368,29.185330578512396,1,484.0,High
Pho - Cambridge,460,290,31.016217391304345,1,460.0,High
Pho - Norwich,445,296,29.23408988764045,1,445.0,High
"3113002 - Banana Tree Thai, Vietnamese, Vegan - West Hampstead",437,338,27.52192219679634,1,437.0,High
"3113007 - Banana Tree Thai, Vietnamese, Vegan - Milton Keynes The Hub",422,286,28.46559241706161,1,422.0,High
Pho - Reading,403,297,29.8460794044665,1,403.0,High
Farmer J - Hammersmith,397,290,30.480554156171287,1,397.0,High
Pho - Kingston,396,300,30.899368686868687,1,396.0,High
"3113008 - Banana Tree Thai, Vietnamese, Vegan - Oxford",393,279,27.705114503816795,1,393.0,High
Pho - Editions - BRC,392,275,29.955102040816325,1,392.0,High
Pho - Chiswick,386,285,31.322772020725388,1,386.0,High
Pho - Birmingham - High Street Harborne,377,242,29.38816976127321,1,377.0,High
Pho - Oxford,377,270,30.2015649867374,1,377.0,High
Pho - Wimbledon,372,284,30.705860215053765,1,372.0,High
"3113016 - Banana Tree Thai, Vietnamese, Vegan - Greenwich",370,260,28.21116216216216,1,370.0,High
Pho - Ealing,362,251,30.81328729281768,1,362.0,High
Pho - York,346,251,30.11878612716763,1,346.0,High
Pho - Battersea,343,252,30.127405247813414,1,343.0,High
Pho - Nottingham,330,240,30.175727272727272,1,330.0,High
Pho - Milton Keynes,321,223,30.55165109034268,1,321.0,High
"3113004 - Banana Tree Thai, Vietnamese, Vegan - Angel Islington",309,239,27.815177993527506,1,309.0,High
Kricket - London Fields,307,272,32.86332247557004,1,307.0,High
Wagamama - Croydon - 143,297,239,35.02390572390573,1,297.0,High
Pho - Lothian Road,291,212,29.6513058419244,1,291.0,High
Pho - Islington,290,238,29.457379310344827,1,290.0,High
Pho - Fulham Broadway,287,229,29.44731707317073,1,287.0,High
Pho - Cardiff,284,202,30.776725352112678,1,284.0,High
Pho - Stratford,284,230,30.551901408450703,1,284.0,High
Giggling Squid - Cambridge,274,203,31.50379562043796,1,274.0,High
Giggling Squid - Wimbledon,273,236,31.031465201465203,1,273.0,High
"3113009 - Banana Tree Thai, Vietnamese, Vegan - Chelmsford",272,197,29.873161764705884,1,272.0,High
Wagamama - Wimbledon - 134,272,215,34.194301470588236,1,272.0,High
Pho - Sheffield,271,201,29.144206642066422,1,271.0,High
Wagamama - Finchley Great North Leisure Park - 194,269,203,35.05921933085502,1,269.0,High
Farmer J - St James's Park,268,176,30.129701492537315,1,268.0,High
Pho - Baker Street,268,198,30.34597014925373,1,268.0,High
Pho - Bournemouth,262,196,30.119160305343513,1,262.0,High
Wagamama - Forest Hill Delivery Kitchen - 607,262,211,32.69328244274809,1,262.0,High
Wagamama - Bournemouth - 151,261,211,34.5144061302682,1,261.0,High
Pho - Glasgow,258,173,30.745620155038758,1,258.0,High
Wagamama - Ealing - 186,258,197,34.88015503875969,1,258.0,High
Wagamama - Basingstoke - 129,256,198,34.66640625,1,256.0,High
Wagamama - Reading - 130,253,206,34.34826086956522,1,253.0,High
"3113001 - Banana Tree Thai, Vietnamese, Vegan - Maida Vale",252,202,25.398888888888887,1,252.0,High
Pho - Guildford,252,189,30.867142857142856,1,252.0,High
Wagamama - Bromley - 232,251,199,36.87816733067729,1,251.0,High
