partner,n,adult_satisfaction_rate,adult_satisfaction_n,kids_happy_rate,kids_happy_n,portions_adequate_rate,portions_n,overall_satisfaction_rate,overall_n,family_order_pct
Pho,273,0.9125475285171103,263,0.8033707865168539,178.0,0.8702290076335878,262,0.9123505976095617,251,0.42857142857142855
Wagamama,246,0.8200836820083682,239,0.7241379310344828,290.0,0.6764705882352942,238,0.7586206896551724,232,0.6666666666666666
Dishoom,184,0.9441340782122905,179,0.7767857142857143,112.0,0.8100558659217877,179,0.8823529411764706,170,0.32065217391304346
PizzaExpress,121,0.7815126050420168,119,0.7642276422764228,123.0,0.875,120,0.782608695652174,115,0.5371900826446281
Giggling Squid,98,0.8526315789473684,95,0.6627906976744186,86.0,0.6736842105263158,95,0.7888888888888889,90,0.5510204081632653
Banana Tree,94,0.8695652173913043,92,0.8765432098765432,81.0,0.8695652173913043,92,0.9,90,0.4574468085106383
Bill's,58,0.8947368421052632,57,0.8095238095238095,42.0,0.8421052631578947,57,0.8888888888888888,54,0.5
Itsu,49,0.9111111111111111,45,0.7241379310344828,29.0,0.9555555555555556,45,0.9347826086956522,46,0.42857142857142855
Other - Write In (Required),36,0.8333333333333334,36,0.46153846153846156,39.0,0.7142857142857143,35,0.7931034482758621,29,0.5
Las Iguanas,23,0.8695652173913043,23,0.8421052631578947,19.0,0.8260869565217391,23,0.9130434782608695,23,0.5217391304347826
Bella Italia,22,0.7,20,0.8235294117647058,17.0,0.85,20,0.65,20,0.5
Cocotte,16,0.6875,16,0.6666666666666666,6.0,0.4375,16,0.6875,16,0.3125
Asia Villa,14,0.9166666666666666,12,1.0,9.0,0.9166666666666666,12,0.9166666666666666,12,0.21428571428571427
Kricket,14,0.8571428571428571,14,0.5454545454545454,11.0,0.35714285714285715,14,0.7857142857142857,14,0.42857142857142855
Yacob's Kitchen,14,0.8571428571428571,14,0.625,8.0,0.7857142857142857,14,0.8571428571428571,14,0.42857142857142855
Farmer J,12,0.8333333333333334,12,0.5,4.0,0.5833333333333334,12,0.6363636363636364,11,0.3333333333333333
Iro Sushi,12,0.75,12,0.875,16.0,0.5833333333333334,12,0.6666666666666666,12,0.75
Xian Street Food,11,0.6363636363636364,11,1.0,4.0,0.8181818181818182,11,0.8,10,0.18181818181818182
MILANO,10,0.5,8,0.6666666666666666,6.0,0.875,8,0.625,8,0.4
LEON,9,1.0,9,0.9090909090909091,11.0,0.8888888888888888,9,1.0,8,0.6666666666666666
TING THAI,8,0.875,8,,,0.75,8,0.875,8,0.125
Prezzo,6,0.8333333333333334,6,1.0,5.0,0.8333333333333334,6,0.8333333333333334,6,0.6666666666666666
Dhoom by Chaska,5,0.8,5,0.5,2.0,0.8,5,0.6,5,0.2
Cacciari's,5,1.0,5,0.5,4.0,0.6,5,1.0,5,0.4
