partner,order_count
Wagamama,14129
Pho,14055
Dishoom,8689
PizzaExpress,6180
Banana Tree,5709
Giggling Squid,3982
Bill's,3358
Itsu,2983
Farmer J,1852
Las Iguanas,1294
Bella Italia,1280
Cocotte,978
Yacob's Kitchen,963
Kricket,931
Ting Thai,533
LEON,533
Asia Villa,509
Iro Sushi,440
Prezzo,324
Chaska,306
Kokoro,305
Milano,296
Xian Street Food,257
Cacciari's,256
Zambrero UK,185
Remedy Kitchen,178
TUK TUK-SGroup,176
Saravana Bhavan,118
SOYO-SGroup,108
Tiffin Tin,95
Taste Of Hong Kong-DCN,83
atis,73
The Salad Project,73
PIZAZA-SGroup,49
Tadka House,44
Shaku Maku,43
Zumuku,40
Tula Ireland,36
Zumuku Sushi,20
Biblos,9
Zaatar Rathmines,6
Umi Falafel,2
