rank,dish_type,cuisine,on_dinneroo,unified_score,performance_score,opportunity_score,tier,quadrant,order_volume,zone_count,orders_per_zone,kids_happy,is_core_driver,perf_opz_score,perf_rating_score,perf_kids_score,opp_latent_score,opp_nondin_score
1,Noodles,Global,True,3.9,4.83,2.5,Tier 1: Must-Have,Demand Boosters,2092.0,,2092.0,0.8,True,5,5,4,3,2
2,Pho,Vietnamese,True,3.7,4.83,2.0,Tier 1: Must-Have,Demand Boosters,4530.0,,4530.0,0.8,True,5,5,4,2,2
3,Curry,Indian,True,3.7,4.83,2.0,Tier 1: Must-Have,Demand Boosters,5897.0,,5897.0,0.81,False,5,5,4,2,2
4,Biryani,Indian,True,3.6,5.0,1.5,Tier 1: Must-Have,Demand Boosters,458.0,,458.0,1.0,True,5,5,5,1,2
5,Bowl,Healthy/Fresh,True,3.6,5.0,1.5,Tier 1: Must-Have,Demand Boosters,4517.0,,4517.0,1.0,False,5,5,5,1,2
6,Salad,Healthy/Fresh,True,3.55,4.58,2.0,Tier 1: Must-Have,Demand Boosters,1090.0,,1090.0,0.8,False,5,4,4,2,2
7,Fried Rice,Chinese,True,3.5,4.83,1.5,Tier 1: Must-Have,Demand Boosters,4958.0,,4958.0,0.8,True,5,5,4,1,2
8,Fajitas,Mexican,True,3.45,4.75,1.5,Tier 2: Should-Have,Demand Boosters,221.0,,221.0,1.0,False,5,4,5,1,2
9,Pasta,Italian,True,3.4,4.33,2.0,Tier 2: Should-Have,Demand Boosters,1342.0,,1342.0,0.79,False,5,3,4,2,2
10,Katsu,Japanese,True,3.4,4.33,2.0,Tier 2: Should-Have,Demand Boosters,11730.0,,11730.0,0.78,True,5,3,4,2,2
11,Rice Bowl,Healthy/Fresh,True,3.35,4.58,1.5,Tier 2: Should-Have,Demand Boosters,9545.0,,9545.0,0.85,True,5,4,4,1,2
12,Ramen,Japanese,True,3.3,4.17,2.0,Tier 2: Should-Have,Demand Boosters,223.0,,223.0,,False,5,3,3,2,2
13,Sushi,Japanese,True,3.25,4.42,1.5,Tier 2: Should-Have,Demand Boosters,1043.0,,1043.0,0.69,True,5,4,3,1,2
14,Pad Thai,Thai,True,3.25,4.42,1.5,Tier 2: Should-Have,Demand Boosters,2734.0,,2734.0,0.72,False,5,4,3,1,2
15,Shawarma,Middle Eastern,True,3.25,4.42,1.5,Tier 2: Should-Have,Demand Boosters,1355.0,,1355.0,0.73,False,5,4,3,1,2
16,Butter Chicken,Indian,True,3.2,4.33,1.5,Tier 2: Should-Have,Demand Boosters,650.0,,650.0,0.4,False,5,5,1,1,2
17,Teriyaki,Japanese,True,3.2,4.33,1.5,Tier 2: Should-Have,Demand Boosters,1369.0,,1369.0,0.79,False,5,3,4,1,2
18,Mac & Cheese,Global,True,3.15,4.25,1.5,Tier 2: Should-Have,Demand Boosters,1322.0,,1322.0,0.93,False,5,2,5,1,2
19,Lasagne,Italian,True,3.15,3.92,2.0,Tier 2: Should-Have,Demand Boosters,931.0,,931.0,0.7,False,5,2,3,2,2
20,Pizza,Italian,True,3.15,3.92,2.0,Tier 2: Should-Have,Demand Boosters,548.0,,548.0,0.73,False,5,2,3,2,2
21,Grilled Chicken with Sides,Global,True,3.1,4.17,1.5,Tier 2: Should-Have,Demand Boosters,540.0,,540.0,,False,5,3,3,1,2
22,Korean Fried Chicken,Korean,True,3.1,4.17,1.5,Tier 2: Should-Have,Demand Boosters,398.0,,398.0,,False,5,3,3,1,2
23,Halloumi Wrap,Global,True,3.1,4.17,1.5,Tier 2: Should-Have,Demand Boosters,161.0,,161.0,,False,5,3,3,1,2
24,Grain Bowl,Healthy/Fresh,True,3.1,4.17,1.5,Tier 2: Should-Have,Demand Boosters,192.0,,192.0,,False,5,3,3,1,2
25,Roast Dinner,British,True,3.1,4.17,1.5,Tier 2: Should-Have,Demand Boosters,287.0,,287.0,,False,5,3,3,1,2
