region,cuisine,order_count,order_share,national_share,index_vs_national,regional_strength
Ireland,Indian,1296,10.92,6.88,158.7,Strong
Ireland,Chinese,1193,10.05,3.81,263.8,Strong
Ireland,Italian,1075,9.05,8.85,102.3,Moderate
Ireland,Burgers,838,7.06,10.93,64.6,Weak
Ireland,American,800,6.74,5.66,119.1,Moderate
Ireland,Japanese,710,5.98,8.95,66.9,Weak
Ireland,Chicken,524,4.41,5.91,74.6,Weak
Ireland,Healthy,505,4.25,3.26,130.4,Strong
Ireland,Irish,449,3.78,0.1,3621.7,Strong
Ireland,Middle Eastern,422,3.55,1.07,333.3,Strong
Ireland,Beer,415,3.5,0.07,5277.2,Strong
Ireland,Roasteries,271,2.28,0.04,5404.3,Strong
Ireland,Thai,271,2.28,2.53,90.1,Moderate
Ireland,Korean,237,2.0,0.81,245.5,Strong
Ireland,Mexican,238,2.0,0.5,403.1,Strong
Ireland,Burritos,202,1.7,0.42,400.5,Strong
Ireland,Sandwiches,163,1.37,1.12,122.5,Strong
Ireland,Family Favourites,147,1.24,0.24,520.6,Strong
Ireland,Vegetarian,127,1.07,0.35,305.0,Strong
Ireland,Wraps,122,1.03,0.14,724.5,Strong
Ireland,Gyros,121,1.02,0.14,748.2,Strong
Ireland,Brazilian,117,0.99,0.05,1898.8,Strong
Ireland,Comfort Food,117,0.99,0.03,3436.4,Strong
Ireland,Lebanese,113,0.95,0.81,117.8,Moderate
Ireland,Breakfast,109,0.92,0.96,95.9,Moderate
Ireland,Street Food,99,0.83,0.04,1890.6,Strong
Ireland,Halal,94,0.79,1.36,58.2,Weak
Ireland,New To Deliveroo,90,0.76,0.24,320.4,Strong
Ireland,Portuguese,79,0.67,3.09,21.5,Weak
Ireland,Coffee,73,0.61,0.44,138.3,Strong
Ireland,Dim Sum,64,0.54,0.06,837.5,Strong
Ireland,Café,62,0.52,1.21,43.2,Weak
Ireland,Restaurant Award Winners 2024,53,0.45,0.01,4938.4,Strong
Ireland,Mediterranean,47,0.4,0.42,94.2,Moderate
Ireland,Only On Deliveroo,42,0.35,0.15,237.4,Strong
Ireland,Asian,39,0.33,3.42,9.6,Weak
Ireland,Bubble Tea,39,0.33,0.43,76.5,Weak
Ireland,Vietnamese,39,0.33,4.06,8.1,Weak
Ireland,Win With Coca-Cola,38,0.32,0.01,2232.2,Strong
Ireland,Donuts,28,0.24,0.04,666.6,Strong
Ireland,Taiwanese,29,0.24,0.06,427.0,Strong
Ireland,Gluten Free,27,0.23,0.22,104.8,Moderate
Ireland,Turkish,27,0.23,1.1,20.7,Weak
Ireland,Nepalese,26,0.22,0.05,401.5,Strong
Ireland,British,24,0.2,2.84,7.1,Weak
Ireland,Acai,22,0.19,0.08,246.7,Strong
Ireland,Dessert,21,0.18,1.03,17.1,Weak
Ireland,Poke,18,0.15,0.14,106.8,Moderate
Ireland,Bbq,16,0.13,0.06,212.5,Strong
Ireland,Pastry Shop,15,0.13,0.0,5066.6,Strong
Ireland,Brunch,14,0.12,0.23,52.0,Weak
Ireland,Hot Dogs,14,0.12,0.09,129.8,Strong
Ireland,Bakery Shop,12,0.1,0.0,4053.2,Strong
Ireland,Asian Fusion,11,0.09,0.11,83.4,Moderate
Ireland,Vegan Friendly,11,0.09,0.74,12.5,Weak
Ireland,Argentinian,9,0.08,0.05,150.1,Strong
Ireland,French,9,0.08,0.06,119.2,Moderate
Ireland,Noodles,10,0.08,0.27,30.7,Weak
Ireland,Wings,10,0.08,2.01,4.2,Weak
Ireland,Bagels,8,0.07,0.36,18.7,Weak
Ireland,Iconic Taste Iconic Prizes Ireland,8,0.07,0.0,5404.3,Strong
Ireland,Smoothie,8,0.07,0.01,1029.4,Strong
Ireland,Juices,7,0.06,0.86,6.8,Weak
Ireland,Milkshakes,7,0.06,0.19,30.9,Weak
Ireland,Fast Food,6,0.05,0.02,245.7,Strong
Ireland,Vegan,6,0.05,0.11,44.9,Weak
Ireland,Russian,5,0.04,0.04,106.4,Moderate
Ireland,Western,5,0.04,0.02,185.1,Strong
Ireland,African,3,0.03,0.11,23.6,Weak
Ireland,Ice Cream,4,0.03,0.09,35.6,Weak
Ireland,Algerian,2,0.02,0.0,5404.3,Strong
Ireland,Popular Restaurants,2,0.02,0.15,11.5,Weak
Ireland,Tip Match,2,0.02,0.01,183.2,Strong
Ireland,Afghan,1,0.01,0.02,37.5,Weak
Ireland,Bakery,1,0.01,1.37,0.6,Weak
Ireland,Drinks,1,0.01,0.28,3.0,Weak
Ireland,Shopping,1,0.01,0.24,3.6,Weak
Ireland,Spanish,1,0.01,0.02,51.0,Weak
Ireland,Waffles,1,0.01,0.2,4.2,Weak
London,Indian,19501,9.02,6.88,131.2,Strong
London,Japanese,18723,8.66,8.95,96.8,Moderate
London,Burgers,17405,8.05,10.93,73.7,Weak
London,Italian,17135,7.93,8.85,89.5,Moderate
London,Healthy,12253,5.67,3.26,173.8,Strong
London,Chicken,11714,5.42,5.91,91.6,Moderate
London,American,9054,4.19,5.66,74.0,Weak
London,Chinese,8486,3.93,3.81,103.1,Moderate
London,Vietnamese,8098,3.75,4.06,92.2,Moderate
London,Asian,7819,3.62,3.42,105.9,Moderate
London,Portuguese,5769,2.67,3.09,86.3,Moderate
London,Wings,5118,2.37,2.01,117.6,Moderate
London,British,4687,2.17,2.84,76.3,Weak
London,Bakery,3554,1.64,1.37,120.1,Strong
London,Thai,3326,1.54,2.53,60.7,Weak
London,Sandwiches,3136,1.45,1.12,129.5,Strong
London,Vegan Friendly,3081,1.43,0.74,191.7,Strong
London,Juices,2975,1.38,0.86,159.8,Strong
London,Middle Eastern,2739,1.27,1.07,118.8,Moderate
London,Halal,2431,1.12,1.36,82.6,Moderate
London,Korean,2345,1.08,0.81,133.4,Strong
London,Turkish,2293,1.06,1.1,96.7,Moderate
London,Café,2270,1.05,1.21,87.0,Moderate
London,Breakfast,2190,1.01,0.96,105.8,Moderate
London,Dessert,2192,1.01,1.03,98.2,Moderate
London,Lebanese,2125,0.98,0.81,121.7,Strong
London,Mediterranean,1894,0.88,0.42,208.6,Strong
London,German,1649,0.76,0.87,87.9,Moderate
London,Deliveroo Hop,1583,0.73,0.36,202.2,Strong
London,Bagels,1560,0.72,0.36,200.0,Strong
London,Tacos,1411,0.65,0.41,157.8,Strong
London,Greek,1275,0.59,0.92,64.4,Weak
London,Caribbean,1206,0.56,0.39,143.8,Strong
London,Kosher,1101,0.51,0.19,264.0,Strong
London,Mexican,961,0.44,0.5,89.4,Moderate
London,Burritos,907,0.42,0.42,98.8,Moderate
London,Bubble Tea,877,0.41,0.43,94.5,Moderate
London,Drinks,847,0.39,0.28,138.4,Strong
London,Vegetarian,778,0.36,0.35,102.6,Moderate
London,Big Brand Stores,713,0.33,0.26,127.0,Strong
London,Gluten Free,705,0.33,0.22,150.3,Strong
