dish_clean,total_orders,kid_total,kid_friendly_measured,adult_total,adult_appeal_measured,portion_total,portion_flexibility_measured,value_at_25_measured,balanced_measured
0,1,,,1.0,1.0,1.0,1.0,,
1,3,,,3.0,3.0,3.0,1.0,1.0,
"2 adult pho, 2 kids egg fried rice",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
2 curries and 2 noodles,1,,,1.0,5.0,1.0,5.0,,
"2 katsus, 1 teriyaki and 1 spicy chicken",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
2 pho + 2 noodles,1,1.0,1.0,1.0,5.0,1.0,5.0,,5.0
2 pho and 2 kids fried rice,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"2 pho soups, egg fried rice and noodles",1,,,1.0,1.0,1.0,5.0,,5.0
"2 pho, children's vegetarian rice and vegetarian noodles",1,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0
"2 phos, 2 kids noodles",1,,,1.0,5.0,1.0,5.0,5.0,5.0
2 pizzas plus 2 sides,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
2 x chicken and rice and 2 x chicken nuggets and chips,1,1.0,1.0,1.0,1.0,1.0,1.0,,
"2 x chicken curry and rice, 2 x chicken noodles & prawn crackers and wings",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
2 x spare ribs and house rice and boiled rice,1,,,1.0,5.0,1.0,5.0,,
"2 x tofu mushroom curry, kids chicken and noodles, kids chicken and egg fried rice, summer rolls (extra)",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
"2x chicken alfredo, lasagne & mac & cheese",1,,,1.0,5.0,1.0,5.0,5.0,
2x chicken poke bowls & 2x salmon poke bowls,1,,,1.0,5.0,1.0,5.0,5.0,5.0
2x chicken soup. 1x fried rice. 1x noodles,1,,,1.0,5.0,1.0,5.0,5.0,
"2x mac n cheese, 2x chicken alfredo",1,,,1.0,5.0,1.0,5.0,5.0,
2x pho and 2x chicken fried rice,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
"2x pho, fried rice and noodles",1,,,1.0,5.0,1.0,5.0,5.0,
"2x spicy chicken pho, chicken wok noodles, chicken noodle soup",1,,,1.0,5.0,1.0,5.0,5.0,5.0
3,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
3 different pastas,1,,,1.0,1.0,1.0,1.0,,
4,4,1.0,1.0,4.0,4.0,4.0,4.0,2.0,
4 bowls,1,,,1.0,5.0,1.0,5.0,5.0,
"4 box meals - chicken teriyaki, tofu, katsu curry",1,,,1.0,5.0,1.0,5.0,,
4 different sushi platters,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
4 noodles and chicken,1,,,1.0,5.0,1.0,5.0,,
4 rice bowls,1,,,1.0,5.0,1.0,5.0,5.0,
4 rice boxes for £20,1,,,1.0,5.0,1.0,5.0,5.0,
4 x chow mein with sweet chilli chicken,1,,,1.0,5.0,1.0,5.0,5.0,
"a 9 or 10 hour broth, family dinneroo from cocotte, pulled chicken with salad and garlic potatoes and 4 sauces",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"a baked pasta dish, and a baked vegetarian lasagna",1,,,1.0,5.0,1.0,5.0,5.0,5.0
