zone,zone_code,region,city,large_city,partners,cuisines_count,total_dishes,asian_dishes,italian_dishes,indian_dishes,healthy_dishes,mexican_dishes,middle_eastern_dishes,british_dishes,orders,avg_rating,cuisines_available,essential_cuisine_coverage,missing_essential_cuisines,missing_recommended_cuisines,dish_coverage,is_mvp,mvp_criteria_met,recruitment_priority
Clapham,CLA,Core London,London,CL Heartland,18,7,74,25,18,7,14,3,6,1,2687,4.6104651162790695,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Mexican', 'Middle Eastern', 'British']",60%,"['Vietnamese', 'Thai/Southeast Asian']",['Chinese'],100%,True,4,Low
Islington,ISL,Core London,London,CL Heartland,20,7,83,31,18,10,14,3,6,1,2535,4.68956043956044,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Mexican', 'Middle Eastern', 'British']",60%,"['Vietnamese', 'Thai/Southeast Asian']",['Chinese'],100%,True,4,Low
Brighton Central,BNC,South England and Wales,Brighton,South East England,11,6,53,23,18,0,2,6,3,1,1974,4.465863453815261,"['Japanese/Asian', 'Italian', 'Healthy/Fresh', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']",['Chinese'],100%,True,4,Low
Finsbury Park / Harringay / Crouch End,FCH,Core London,London,CL Grow,16,6,60,32,4,10,8,3,3,0,1814,4.528,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Mexican', 'Middle Eastern']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['British', 'Chinese']",100%,True,4,Low
Brockley / Forest Hill,BRK,Greater London,London,OL South,11,6,50,25,8,7,3,0,6,1,1735,4.612068965517241,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Middle Eastern', 'British']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['Mexican', 'Chinese']",100%,True,4,Low
Oxford,OXF,South England and Wales,Oxford,South East England,7,2,33,24,9,0,0,0,0,0,1674,4.515723270440252,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,True,3,Low
Cambridge,CAM,South England and Wales,Cambridge,South East England,8,5,44,21,13,0,0,6,3,1,1597,4.482300884955753,"['Japanese/Asian', 'Italian', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Healthy/Fresh', 'Chinese']",100%,True,4,Low
Milton Keynes,MK,South England and Wales,Milton Keynes,South East England,10,6,53,23,18,0,2,6,3,1,1549,4.4581005586592175,"['Japanese/Asian', 'Italian', 'Healthy/Fresh', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']",['Chinese'],100%,True,4,Low
Wimbledon,WIM,Core London,London,CL Heartland,10,6,45,24,8,4,5,0,3,1,1529,4.5,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Middle Eastern', 'British']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['Mexican', 'Chinese']",100%,True,4,Low
Lewisham,LEW,Greater London,London,OL South,10,6,43,18,8,7,3,0,6,1,1525,4.495575221238938,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Middle Eastern', 'British']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['Mexican', 'Chinese']",100%,True,4,Low
Canning Town,CNN,Greater London,London,OL North,14,6,61,31,8,4,11,0,6,1,1497,4.6702702702702705,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Middle Eastern', 'British']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['Mexican', 'Chinese']",100%,True,4,Low
Reading,REA,Greater London,Reading,Commuter Belt South,11,5,54,23,18,0,0,9,3,1,1490,4.293103448275862,"['Japanese/Asian', 'Italian', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Healthy/Fresh', 'Chinese']",100%,True,4,Low
Chiswick,CHI,Core London,London,CL Grow,12,7,56,18,13,4,8,6,6,1,1437,4.737864077669903,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Mexican', 'Middle Eastern', 'British']",60%,"['Vietnamese', 'Thai/Southeast Asian']",['Chinese'],100%,True,4,Low
