ZONE_NAME,orders,partners,cuisines,REGION,avg_rating,rating_count,meets_cuisine,meets_partners,meets_rating,mvp_criteria_met,is_mvp
Basingstoke,483,3,3,South East,3.8333333333333335,66.0,False,False,False,0,False
Bath,647,9,7,South West,4.533980582524272,103.0,True,True,True,3,True
Belsize Park / St John's Wood,278,3,3,Other,4.7924528301886795,53.0,False,False,True,1,False
Birmingham,689,9,7,Midlands,4.154411764705882,136.0,True,True,True,3,True
Bournemouth,634,4,3,South East,4.263736263736264,91.0,False,False,True,1,False
Bracknell,585,4,4,Other,4.553846153846154,65.0,False,False,True,1,False
Braintree,151,4,3,Other,3.9047619047619047,21.0,False,False,False,0,False
Brighton Central,1734,10,8,London,4.465863453815261,249.0,True,True,True,3,True
Bristol,1173,8,6,South West,4.533707865168539,178.0,True,True,True,3,True
Brixton,396,4,4,London,4.5,64.0,False,False,True,1,False
Brockley / Forest Hill,1478,3,3,London,4.612068965517241,232.0,False,False,True,1,False
Bromley,465,4,3,London,3.8135593220338984,59.0,False,False,False,0,False
Cambridge,1403,8,7,South East,4.482300884955753,226.0,True,True,True,3,True
Camden/Kentish Town,249,6,5,London,4.111111111111111,36.0,True,True,True,3,True
Canary Wharf,1122,6,5,Other,4.294520547945205,146.0,True,True,True,3,True
Canning Town,1314,3,3,Other,4.6702702702702705,185.0,False,False,True,1,False
Canterbury,534,7,6,South East,4.158730158730159,63.0,True,True,True,3,True
Cardiff,475,6,5,Wales,4.571428571428571,70.0,True,True,True,3,True
Cardiff Bay Area,144,5,5,Wales,4.777777777777778,18.0,True,True,True,3,True
Chelmsford,725,7,5,South East,4.208791208791209,91.0,True,True,True,3,True
Cheltenham,512,5,4,South West,4.378378378378378,74.0,False,True,True,2,False
Chichester,237,4,4,North,4.133333333333334,30.0,False,False,True,1,False
Chingford,77,3,3,Other,4.2,10.0,False,False,True,1,False
Chiswick,1240,6,5,London,4.737864077669903,206.0,True,True,True,3,True
Clapham,2349,13,9,London,4.6104651162790695,344.0,True,True,True,3,True
Colchester,464,4,4,South East,4.597014925373134,67.0,False,False,True,1,False
Cribbs Causeway Shopping Centre,220,5,4,Other,3.8666666666666667,30.0,False,True,False,1,False
Croydon,519,4,3,London,4.2894736842105265,76.0,False,False,True,1,False
Dalston Stoke Newington,434,4,3,Midlands,4.426470588235294,68.0,False,False,True,1,False
Dartford,336,6,5,Other,4.102564102564102,39.0,True,True,True,3,True
Didsbury and Withington,236,3,3,Other,4.722222222222222,36.0,False,False,True,1,False
Dublin City North,782,6,5,Other,4.058252427184466,103.0,True,True,True,3,True
Dublin City South,93,3,2,Other,4.823529411764706,17.0,False,False,True,1,False
Ealing,904,5,5,London,4.201680672268908,119.0,True,True,True,3,True
East Central,1280,11,8,London,4.459090909090909,220.0,True,True,True,3,True
Easton,297,5,4,Other,4.375,32.0,False,True,True,2,False
Eccles,175,3,3,Other,4.0256410256410255,39.0,False,False,True,1,False
Edgbaston,574,3,3,Other,4.67741935483871,93.0,False,False,True,1,False
Edgware / Mill Hill,95,3,1,Other,3.8333333333333335,12.0,False,False,False,0,False
Edinburgh Central,722,3,3,London,4.511363636363637,88.0,False,False,True,1,False
Edinburgh North,345,3,3,Scotland,4.4324324324324325,37.0,False,False,True,1,False
Epsom,292,4,3,South East,4.125,32.0,False,False,True,1,False
Farnham,306,3,3,Other,4.673076923076923,52.0,False,False,True,1,False
