ZONE_NAME,CITY_NAME,DINNEROO_PARTNER_COUNT,DINNEROO_CUISINE_COUNT,TOTAL_DINNEROO_ORDERS,CUISINES_AVAILABLE,order_count,avg_rating,rating_count,unique_dishes,score_cuisine,score_partners,score_dishes,score_performance,score_quality,composite_score,rank
West Central,London,20,7,502,"Asian, Meal Deals, Salads, Sandwiches, Vietnamese, italian, japanese",793,4.563025210084033,119.0,423,10,10,10,10,10,100.0,1
Mayfair,London,18,7,545,"Chicken, Meal Deals, Salads, Sandwiches, Vietnamese, italian, japanese",772,4.568345323741007,139.0,351,10,10,10,10,10,100.0,2
Clapham,London,14,9,1540,"Asian, Curry, Healthy, Mediterranean, Salads, Tacos, Vietnamese, Wraps, italian",2349,4.6104651162790695,344.0,533,10,10,10,10,10,100.0,3
Notting Hill / Paddington,London,13,7,870,"Asian, Chicken, Curry, Salads, Sandwiches, italian, japanese",1226,4.525114155251141,219.0,382,10,10,10,10,10,100.0,4
London Bridge,London,13,7,611,"Meal Deals, Salads, Sandwiches, Vietnamese, halal, italian, japanese",850,4.572519083969466,131.0,447,10,10,10,10,10,100.0,5
Bath,Bath,10,8,446,"Asian, Burgers, Latin American, Salads, Sandwiches, italian, japanese, thai",647,4.533980582524272,103.0,461,10,10,10,10,10,100.0,6
Islington,London,9,8,1530,"Asian, Salads, Sandwiches, Veganuary, Vietnamese, indian, italian, japanese",2262,4.68956043956044,364.0,431,10,8,10,10,10,97.0,7
East Central,London,18,8,831,"Chicken, Healthy, Salads, Sandwiches, Tacos, Vietnamese, italian, japanese",1280,4.459090909090909,220.0,553,10,10,10,10,8,97.0,8
Brighton Central,Brighton,12,9,1164,"Burgers, Latin American, Salads, Sandwiches, Vietnamese, italian, japanese, sushi, thai",1734,4.465863453815261,249.0,665,10,10,10,10,8,97.0,9
Wimbledon,London,9,8,793,"Meal Deals, Salads, Sandwiches, Vietnamese, italian, japanese, sushi, thai",1314,4.5,214.0,505,10,8,10,10,10,97.0,10
Kingston,London,8,8,773,"Meal Deals, Salads, Sandwiches, Vietnamese, italian, japanese, sushi, thai",1156,4.461538461538462,169.0,499,10,8,10,10,8,94.0,11
Reading,Reading,10,9,897,"Asian, Burgers, Latin American, Pasta, Salads, Tacos, Vietnamese, italian, japanese",1318,4.293103448275862,174.0,555,10,10,10,10,6,94.0,12
Birmingham,Birmingham,10,8,444,"Asian, Burgers, Latin American, Tacos, Vietnamese, Wraps, italian, japanese",689,4.154411764705882,136.0,423,10,10,10,10,6,94.0,13
Cambridge,Cambridge,8,7,952,"Burgers, Latin American, Salads, Vietnamese, italian, japanese, thai",1403,4.482300884955753,226.0,554,10,8,10,10,8,94.0,14
Milton Keynes,Milton Keynes,9,7,926,"Asian, Burgers, Latin American, Salads, Vietnamese, italian, japanese",1332,4.4581005586592175,179.0,509,10,8,10,10,8,94.0,15
Bristol,Bristol,7,5,781,"Latin American, Vietnamese, italian, japanese, thai",1173,4.533707865168539,178.0,414,8,8,10,10,10,93.0,16
Oxford,Oxford,9,6,1022,"Asian, Salads, Vietnamese, italian, japanese, thai",1501,4.515723270440252,159.0,456,8,8,10,10,10,93.0,17
Chelmsford,Chelmsford,7,7,489,"Asian, Burgers, Latin American, Tacos, italian, japanese, thai",725,4.208791208791209,91.0,391,10,8,10,10,6,91.0,18
Hammersmith / Shepherd's Bush,London,9,6,672,"Meal Deals, Salads, Sandwiches, Vegan Friendly, italian, japanese",962,4.456647398843931,173.0,329,8,8,10,10,8,90.0,19
Reigate,Crawley,6,6,372,"Asian, Meal Deals, italian, japanese, sushi, thai",541,4.506666666666667,75.0,335,8,6,10,10,10,90.0,20
Chiswick,London,6,6,790,"Healthy, Mediterranean, Salads, Vietnamese, indian, italian",1240,4.737864077669903,206.0,247,8,6,10,10,10,90.0,21
Fulham,London,5,5,428,"Asian, Chicken, Vietnamese, italian, japanese",615,4.574257425742574,101.0,206,8,6,10,10,10,90.0,22
Nottingham,Nottingham,7,5,543,"Burgers, Latin American, Vietnamese, italian, japanese",759,4.4324324324324325,148.0,381,8,8,10,10,8,90.0,23
Glasgow Centre,Glasgow,6,5,399,"Asian, Burgers, Pho, italian, japanese",542,4.5476190476190474,84.0,234,8,6,10,10,10,90.0,24
Richmond / Kew,London,8,6,385,"Chicken, Meal Deals, Salads, Sandwiches, italian, japanese",562,4.3023255813953485,86.0,358,8,8,10,10,8,90.0,25
York,York,8,6,465,"Burgers, Christmas Specials, Latin American, Vietnamese, italian, japanese",729,4.456310679611651,103.0,405,8,8,10,10,8,90.0,26
Dublin City North,Dublin,12,5,459,"Roasteries, chinese, indian, italian, vegetarian",782,4.058252427184466,103.0,383,8,10,10,10,6,90.0,27
Leeds City Centre,Leeds,9,7,323,"Burgers, Gluten Free, Latin American, Salads, italian, japanese, thai",470,4.521739130434782,69.0,393,10,8,10,7,10,89.5,28
South Kensington,London,9,4,485,"Chicken, Salads, Sandwiches, italian",676,4.556701030927835,97.0,289,6,8,10,10,10,89.0,29
"Victoria, Westminster, Pimlico",London,12,5,374,"Meal Deals, Salads, Sandwiches, italian, japanese",506,4.633333333333334,60.0,276,8,10,10,7,10,88.5,30
Norwich,Norwich,9,6,672,"Asian, Burgers, Vietnamese, italian, japanese, thai",1050,4.248322147651007,149.0,448,8,8,10,10,6,87.0,31
Hampstead,London,5,5,536,"Asian, Salads, halal, japanese, sushi",797,4.472,125.0,300,8,6,10,10,8,87.0,32
Canterbury,Canterbury,7,6,387,"Burgers, Burritos, Vietnamese, italian, japanese, sushi",534,4.158730158730159,63.0,314,8,8,10,10,6,87.0,33
Wembley,London,5,5,725,"Latin American, Vegan Friendly, indian, italian, japanese",1202,4.489795918367347,196.0,265,8,6,10,10,8,87.0,34
Stratford,London,5,5,395,"Asian, Salads, Vegan Friendly, italian, japanese",665,4.262626262626263,99.0,269,8,6,10,10,6,84.0,35
Guildford,London,6,6,677,"Burgers, Salads, Vietnamese, italian, japanese, thai",969,4.247787610619469,113.0,431,8,6,10,10,6,84.0,36
Ealing,London,5,5,597,"Latin American, Salads, Vietnamese, italian, japanese",904,4.201680672268908,119.0,334,8,6,10,10,6,84.0,37
Lewisham,London,6,4,943,"Asian, Meal Deals, Vietnamese, italian",1358,4.495575221238938,226.0,353,6,6,10,10,8,83.0,38
Bracknell,Camberley,4,4,413,"Latin American, italian, japanese, thai",585,4.553846153846154,65.0,337,6,4,10,10,10,83.0,39
Cardiff,Cardiff,6,5,321,"Burgers, Latin American, Vietnamese, italian, japanese",475,4.571428571428571,70.0,258,8,6,10,7,10,82.5,40
Canary Wharf,London,6,4,595,"Salads, Sandwiches, Vietnamese, japanese",1122,4.294520547945205,146.0,342,6,6,10,10,6,80.0,41
Croydon,London,5,4,353,"Asian, Movie Night Restaurants, italian, japanese",519,4.2894736842105265,76.0,215,6,6,10,10,6,80.0,42
Salford,Manchester,5,4,411,"Asian, Featured Restaurants, italian, japanese",535,4.257425742574258,101.0,250,6,6,10,10,6,80.0,43
Southsea,Portsmouth,7,6,289,"Asian, Latin American, Vietnamese, italian, japanese, thai",435,4.180327868852459,61.0,294,8,8,10,7,6,79.5,44
Finsbury Park / Harringay / Crouch End,London,4,3,987,"Tacos, Vegan Friendly, indian",1534,4.528,250.0,223,4,4,10,10,10,79.0,45
Wapping and Mile End,London,4,4,626,"Asian, Curry, Healthy, Middle Eastern",961,4.662068965517242,145.0,151,6,4,8,10,10,78.0,46
St Albans,London,4,4,389,"Burgers, Salads, italian, japanese",559,4.22680412371134,97.0,318,6,4,10,10,6,77.0,47
Dartford,London,6,5,221,"Asian, Sandwiches, Shawarma, italian, japanese",336,4.102564102564102,39.0,253,8,6,10,7,6,76.5,48
Camden/Kentish Town,London,6,6,170,"Asian, Salads, Sandwiches, Tacos, italian, japanese",249,4.111111111111111,36.0,221,8,6,10,7,6,76.5,49
Edgbaston,Birmingham,3,3,354,"Vietnamese, italian, thai",574,4.67741935483871,93.0,204,4,2,10,10,10,76.0,50
