Dish,Importance,Coverage,Quadrant,Action,Priority Score,Order Volume,Gap Type,Cuisine,Potential Partners
Salmon Teriyaki Family Platter,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,5.2,0,No Gap,Various,TBD - based on cuisine
Halloumi Wrap Family Box,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,5.1,0,No Gap,Greek/Mediterranean,New recruitment needed
Souvlaki Family Platter,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,5.1,0,No Gap,Greek/Mediterranean,New recruitment needed
Chicken,High,High,High Importance / High Coverage,Maintain - working well,5.0,11417,No Gap,Global,TBD
Rotisserie Chicken Family Feast,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.95,0,No Gap,Healthy/Fresh,Farmer J
Grilled Chicken Family Platter with Sides,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.95,0,No Gap,Healthy/Fresh,Farmer J
Fajita Family Kit,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.95,0,No Gap,Mexican,Tortilla
Kids Ramen & Adult Ramen Combo,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.95,0,No Gap,Japanese/Asian,Wagamama
Plain Pasta with Sides Family Bundle,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.87,0,No Gap,Various,TBD - based on cuisine
Paneer Tikka Family Feast,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.87,0,No Gap,Various,TBD - based on cuisine
Veggie Fajita Family Kit,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.87,0,No Gap,Various,TBD - based on cuisine
Halloumi Wrap Family Bundle,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.87,0,No Gap,Various,TBD - based on cuisine
Grilled Chicken with Customizable Sides,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.87,0,No Gap,Various,TBD - based on cuisine
Dim Sum Family Selection,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.85,0,No Gap,Chinese,New recruitment needed
Shawarma Family Platter,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.85,0,No Gap,Middle Eastern,New recruitment needed
Greek Mezze Family Feast,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.85,0,No Gap,Greek/Mediterranean,New recruitment needed
Build Your Own Grain Bowl Family Pack,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.7,0,No Gap,Healthy/Fresh,Farmer J
Vietnamese Rice Paper Rolls Family Pack,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.7,0,No Gap,Vietnamese,Pho
Teriyaki Salmon Family Platter,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.7,0,No Gap,Japanese/Asian,Wagamama
Quesadilla Family Pack,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.7,0,No Gap,Mexican,Tortilla
Butter Chicken Family Feast,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.7,0,No Gap,Indian,Dishoom
Falafel & Hummus Family Box,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.6,0,No Gap,Middle Eastern,New recruitment needed
Chicken & Rice Plain Family Meal,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.53,0,No Gap,Various,TBD - based on cuisine
Biryani Family Pot,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.45,0,No Gap,Indian,Dishoom
Roast Dinner Family Platter,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.45,0,No Gap,British,Bill's
Veggie Burrito Bowl Family Bundle,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.45,0,No Gap,Mexican,Tortilla
Teriyaki Rice Bowl Family Bundle,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.45,0,No Gap,Japanese/Healthy,Itsu
Sushi Family Platter,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.45,0,No Gap,Japanese/Healthy,Itsu
Katsu Curry Family Bundle,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.45,0,No Gap,Japanese/Asian,Wagamama
Pho Family Sharing Bowl,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.45,0,No Gap,Vietnamese,Pho
Chicken Chow Mein Family Bundle,High,Low,High Importance / Low Coverage,EXPAND - roll out to more zones,4.35,0,No Gap,Chinese,New recruitment needed
