Rank,Dish,Tier,Unified Score,Performance Score,Opportunity Score,Quadrant,Cuisine,On Dinneroo,Order Volume,Orders per Zone
1,Noodles,Must-Have,3.9,4.83,2.5,Demand Boosters,Global,True,2092.0,2092.0
2,Pho,Must-Have,3.7,4.83,2.0,Demand Boosters,Vietnamese,True,4530.0,4530.0
3,Curry,Must-Have,3.7,4.83,2.0,Demand Boosters,Indian,True,5897.0,5897.0
4,Biryani,Must-Have,3.6,5.0,1.5,Demand Boosters,Indian,True,458.0,458.0
5,Bowl,Must-Have,3.6,5.0,1.5,Demand Boosters,Healthy/Fresh,True,4517.0,4517.0
6,Salad,Must-Have,3.55,4.58,2.0,Demand Boosters,Healthy/Fresh,True,1090.0,1090.0
7,Fried Rice,Must-Have,3.5,4.83,1.5,Demand Boosters,Chinese,True,4958.0,4958.0
8,Fajitas,Should-Have,3.45,4.75,1.5,Demand Boosters,Mexican,True,221.0,221.0
9,Pasta,Should-Have,3.4,4.33,2.0,Demand Boosters,Italian,True,1342.0,1342.0
10,Katsu,Should-Have,3.4,4.33,2.0,Demand Boosters,Japanese,True,11730.0,11730.0
11,Rice Bowl,Should-Have,3.35,4.58,1.5,Demand Boosters,Healthy/Fresh,True,9545.0,9545.0
12,Ramen,Should-Have,3.3,4.17,2.0,Demand Boosters,Japanese,True,223.0,223.0
13,Sushi,Should-Have,3.25,4.42,1.5,Demand Boosters,Japanese,True,1043.0,1043.0
14,Pad Thai,Should-Have,3.25,4.42,1.5,Demand Boosters,Thai,True,2734.0,2734.0
15,Shawarma,Should-Have,3.25,4.42,1.5,Demand Boosters,Middle Eastern,True,1355.0,1355.0
16,Butter Chicken,Should-Have,3.2,4.33,1.5,Demand Boosters,Indian,True,650.0,650.0
17,Teriyaki,Should-Have,3.2,4.33,1.5,Demand Boosters,Japanese,True,1369.0,1369.0
18,Mac & Cheese,Should-Have,3.15,4.25,1.5,Demand Boosters,Global,True,1322.0,1322.0
19,Lasagne,Should-Have,3.15,3.92,2.0,Demand Boosters,Italian,True,931.0,931.0
20,Pizza,Should-Have,3.15,3.92,2.0,Demand Boosters,Italian,True,548.0,548.0
21,Grilled Chicken with Sides,Should-Have,3.1,4.17,1.5,Demand Boosters,Global,True,540.0,540.0
22,Korean Fried Chicken,Should-Have,3.1,4.17,1.5,Demand Boosters,Korean,True,398.0,398.0
23,Halloumi Wrap,Should-Have,3.1,4.17,1.5,Demand Boosters,Global,True,161.0,161.0
24,Grain Bowl,Should-Have,3.1,4.17,1.5,Demand Boosters,Healthy/Fresh,True,192.0,192.0
25,Roast Dinner,Should-Have,3.1,4.17,1.5,Demand Boosters,British,True,287.0,287.0
26,Veggie Fajitas,Should-Have,3.1,4.17,1.5,Demand Boosters,Mexican,True,333.0,333.0
27,Chicken Pie,Should-Have,3.1,4.17,1.5,Demand Boosters,British,True,34506.0,34506.0
28,Shepherd's Pie,Should-Have,3.1,4.17,1.5,Demand Boosters,British,True,333.0,333.0
29,Stir Fry,Should-Have,3.1,4.17,1.5,Demand Boosters,Global,True,252.0,252.0
30,Sweet & Sour Chicken,Should-Have,3.1,4.17,1.5,Demand Boosters,Global,True,1081.0,1081.0
31,Burger,Nice-to-Have,2.95,3.58,2.0,Demand Boosters,American,True,61.0,61.0
32,Tacos,Nice-to-Have,2.95,3.58,2.0,Demand Boosters,Mexican,True,62.0,62.0
33,Poke Bowl,Nice-to-Have,2.7,3.5,1.5,Demand Boosters,Healthy/Fresh,True,39.0,39.0
34,Quesadilla,Nice-to-Have,2.65,3.42,1.5,Demand Boosters,Mexican,True,57.0,57.0
35,Fish & Chips,Nice-to-Have,2.6,3.0,2.0,Demand Boosters,Global,True,32.0,32.0
36,Sweet & Sour,Monitor,2.4,2.67,2.0,Deprioritised,,True,,
37,Wrap,Monitor,2.4,3.0,1.5,Demand Boosters,Global,True,44.0,44.0
38,Chinese Family Meal,Monitor,2.4,3.0,1.5,Demand Boosters,Chinese,False,31.0,31.0
39,Gyoza,Monitor,2.3,2.5,2.0,Deprioritised,,True,,
40,Falafel,Monitor,2.2,2.33,2.0,Deprioritised,,True,,
41,Daal,Monitor,2.2,2.67,1.5,Deprioritised,,True,,
42,Thai Curry,Monitor,2.15,2.25,2.0,Deprioritised,,True,,
43,Pie,Monitor,2.15,1.92,2.5,Deprioritised,,True,,
44,Satay,Monitor,2.15,2.25,2.0,Deprioritised,,True,,
45,Grilled Chicken,Monitor,2.1,2.17,2.0,Deprioritised,,True,,
46,Chicken Nuggets,Monitor,2.1,2.5,1.5,Deprioritised,,True,,
47,Greek Mezze,Monitor,2.05,2.42,1.5,Deprioritised,Greek,False,7.0,7.0
48,Tikka Masala,Monitor,2.05,2.42,1.5,Deprioritised,Indian,True,19.0,19.0
49,Chilli,Monitor,1.9,1.83,2.0,Deprioritised,,True,,
50,Spring Rolls,Monitor,1.85,2.08,1.5,Deprioritised,,True,,
51,Samosa,Monitor,1.8,2.0,1.5,Deprioritised,,True,,
52,Wings,Monitor,1.8,2.0,1.5,Deprioritised,,True,,
53,Buddha Bowl,Monitor,1.7,1.83,1.5,Deprioritised,Healthy/Fresh,False,0.0,
54,Burrito,Monitor,1.7,1.83,1.5,Deprioritised,Mexican,False,3.0,3.0
55,Souvlaki,Monitor,1.7,1.83,1.5,Deprioritised,Greek,False,0.0,
56,Cottage Pie,Monitor,1.7,1.83,1.5,Deprioritised,British,False,0.0,
57,Bibimbap,Monitor,1.7,1.83,1.5,Deprioritised,Korean,False,0.0,
58,Soup,Monitor,1.7,1.5,2.0,Deprioritised,,True,,
59,Dim Sum,Monitor,1.7,1.83,1.5,Deprioritised,Chinese,False,0.0,
60,Rotisserie Chicken,Monitor,1.7,1.83,1.5,Deprioritised,Global,False,0.0,
61,Korma,Monitor,1.7,1.83,1.5,Deprioritised,Indian,False,0.0,
62,Bangers & Mash,Monitor,1.7,1.83,1.5,Deprioritised,British,False,0.0,
