# SLIDES DATA - Aligned with Master Dish List v5.1
# Generated: 2026-01-07
# Use this data to populate presentation slides
#
sheet_name,metric,value,notes
# ─────────────────────────────────────────────────────────────────────
# SLIDE 1: SUMMARY METRICS
# ─────────────────────────────────────────────────────────────────────
SUMMARY,Dish Types Analysed,32,23 on Dinneroo + 9 prospects
SUMMARY,On Dinneroo,23,Currently available on platform
SUMMARY,Prospects,9,Not yet on platform - recruitment opportunities
SUMMARY,Core Drivers,7,High demand + high preference
SUMMARY,Preference Drivers,5,Lower demand but strong preference
SUMMARY,Demand Boosters,2,High demand but lower preference
SUMMARY,Deprioritised,9,Low demand and/or preference
# ─────────────────────────────────────────────────────────────────────
# SLIDE 2: 2x2 MATRIX DATA (Demand Strength vs Consumer Preference)
# X = demand_strength | Y = consumer_preference | Quadrant = strategic_priority
# ─────────────────────────────────────────────────────────────────────
MATRIX_2X2,Pho,4.2|1.1,Core Driver - #1 performer
MATRIX_2X2,Indian Curry,2.9|1.1,Core Driver - high satisfaction
MATRIX_2X2,Biryani,2.5|1.0,Core Driver - strong demand
MATRIX_2X2,Protein & Veg,1.6|0.9,Demand Booster - high sales lower preference
MATRIX_2X2,Sushi,1.5|1.0,Core Driver - premium segment
MATRIX_2X2,Rice Bowl,1.2|1.0,Core Driver - consistent performer
MATRIX_2X2,Noodles,1.2|1.0,Core Driver - high repeat intent
MATRIX_2X2,Katsu,1.2|1.0,Core Driver - family favourite
MATRIX_2X2,Pizza,1.0|0.9,Demand Booster - volume driver
MATRIX_2X2,Fried Rice,1.0|1.0,Deprioritised - average performance
MATRIX_2X2,East Asian Curry,0.9|1.0,Preference Driver - high satisfaction
MATRIX_2X2,Grain Bowl,0.7|1.0,Preference Driver - healthy option
MATRIX_2X2,Pasta,0.6|0.9,Deprioritised - oversupplied
MATRIX_2X2,Lasagne,0.6|0.9,Deprioritised - niche appeal
MATRIX_2X2,Fajitas,0.4|1.1,Preference Driver - highest satisfaction
MATRIX_2X2,Tacos,0.4|0.9,Deprioritised - low volume
MATRIX_2X2,Shawarma,0.3|1.0,Preference Driver - underserved
MATRIX_2X2,Shepherd's Pie,0.3|1.1,Preference Driver - British comfort
MATRIX_2X2,Chilli,0.2|0.9,Deprioritised - low demand
MATRIX_2X2,Burrito Bowl,0.1|,Deprioritised - insufficient data
MATRIX_2X2,Quesadilla,0.1|,Deprioritised - insufficient data
MATRIX_2X2,Poke,0.1|,Deprioritised - insufficient data
MATRIX_2X2,Nachos,0.0|,Deprioritised - insufficient data
# ─────────────────────────────────────────────────────────────────────
# SLIDE 3: CORE DRIVERS - Priority dishes to protect and expand
# ─────────────────────────────────────────────────────────────────────
CORE_DRIVERS,Pho,136 avg sales|100% top 5|4.6 rating|92% satisfaction,Vietnamese - highest performer
CORE_DRIVERS,Indian Curry,98 avg sales|64% top 5|4.7 rating|93% satisfaction,Indian - strong across all metrics
CORE_DRIVERS,Biryani,86 avg sales|54% top 5|4.6 rating|91% satisfaction,Indian - high demand 79% coverage gap
CORE_DRIVERS,Sushi,32 avg sales|56% top 5|4.7 rating|93% satisfaction,Japanese - premium segment
CORE_DRIVERS,Rice Bowl,29 avg sales|41% top 5|4.4 rating|84% satisfaction,Asian - consistent performer
CORE_DRIVERS,Noodles,28 avg sales|37% top 5|4.5 rating|88% satisfaction,Asian - high repeat intent 88%
CORE_DRIVERS,Katsu,29 avg sales|41% top 5|4.3 rating|87% satisfaction,Japanese - family favourite
# ─────────────────────────────────────────────────────────────────────
# SLIDE 4: PREFERENCE DRIVERS - High satisfaction but need demand building
# ─────────────────────────────────────────────────────────────────────
PREF_DRIVERS,Fajitas,96% satisfaction|100% repeat intent|68% coverage gap,Mexican - highest satisfaction
PREF_DRIVERS,Shepherd's Pie,91% satisfaction|100% repeat intent|57% coverage gap,British - comfort food
PREF_DRIVERS,Shawarma,90% satisfaction|86% repeat intent|57% coverage gap,Middle Eastern - underserved
PREF_DRIVERS,East Asian Curry,87% satisfaction|84% repeat intent|3% coverage gap,Asian - well covered
PREF_DRIVERS,Grain Bowl,86% satisfaction|90% repeat intent|76% coverage gap,Healthy - expansion opportunity
# ─────────────────────────────────────────────────────────────────────
# SLIDE 5: DEMAND BOOSTERS - High volume but quality improvement needed
# ─────────────────────────────────────────────────────────────────────
DEMAND_BOOSTERS,Protein & Veg,44 avg sales|71% satisfaction|93% coverage gap,Healthy - major expansion opportunity
DEMAND_BOOSTERS,Pizza,11 avg sales|81% satisfaction|4% coverage gap,Italian - well covered but lower preference
# ─────────────────────────────────────────────────────────────────────
# SLIDE 6: COVERAGE GAPS - Where to focus expansion
# High gap + High priority = ACTION NEEDED
# ─────────────────────────────────────────────────────────────────────
COVERAGE_ACTION,Protein & Veg,93%,DEMAND BOOSTER - Major recruitment opportunity
COVERAGE_ACTION,Biryani,79%,CORE DRIVER - Add Indian partners urgently
COVERAGE_ACTION,Grain Bowl,76%,PREFERENCE DRIVER - Work with healthy providers
COVERAGE_ACTION,Indian Curry,74%,CORE DRIVER - Add Indian partners urgently
COVERAGE_ACTION,Fajitas,68%,PREFERENCE DRIVER - Expand Mexican coverage
COVERAGE_ACTION,Sushi,63%,CORE DRIVER - Work with Asian providers
COVERAGE_ACTION,Shawarma,57%,PREFERENCE DRIVER - Middle Eastern expansion
COVERAGE_ACTION,Shepherd's Pie,57%,PREFERENCE DRIVER - British comfort food
COVERAGE_ACTION,Pho,48%,CORE DRIVER - #1 performer needs more coverage
COVERAGE_IGNORE,Quesadilla,99%,Deprioritised - no action needed
COVERAGE_IGNORE,Nachos,85%,Deprioritised - no action needed
COVERAGE_IGNORE,Tacos,84%,Deprioritised - no action needed
COVERAGE_IGNORE,Burrito Bowl,84%,Deprioritised - no action needed
COVERAGE_IGNORE,Chilli,68%,Deprioritised - no action needed
COVERAGE_IGNORE,Lasagne,66%,Deprioritised - no action needed
COVERAGE_IGNORE,Poke,63%,Deprioritised - no action needed
# ─────────────────────────────────────────────────────────────────────
# SLIDE 7: PROSPECTS - Dishes not on Dinneroo with recruitment potential
# Ranked by dish_suitability score (how much value can Dinneroo add)
# ─────────────────────────────────────────────────────────────────────
PROSPECTS,Casserole / Stew,4.3 suitability|12.3% wishlist,British - highest potential
PROSPECTS,Risotto,3.6 suitability|15.1% wishlist,Italian - strong wishlist demand
PROSPECTS,Roast,3.5 suitability|4.7% wishlist,British - Sunday meal opportunity
PROSPECTS,Tagine,3.3 suitability|9.9% wishlist,Moroccan - differentiated offering
PROSPECTS,Paella,3.3 suitability|14.8% wishlist,Spanish - strong wishlist demand
PROSPECTS,Pastry Pie,3.2 suitability|17.3% wishlist,British - highest wishlist %
PROSPECTS,Jacket Potato,2.9 suitability|9.9% wishlist,British - comfort food
PROSPECTS,Sausage & Mash,2.9 suitability|6.2% wishlist,British - family favourite
PROSPECTS,Fish & Chips,2.5 suitability|8.9% wishlist,British - 5 open-text requests
# ─────────────────────────────────────────────────────────────────────
# SLIDE 8: OPEN TEXT REQUESTS - What customers are asking for
# Filtered for explicit requests (wish/would love/please add etc.)
# ─────────────────────────────────────────────────────────────────────
OPEN_TEXT,Pasta,29,Most requested - but oversupplied already
OPEN_TEXT,Pizza,25,High requests - well covered (4% gap)
OPEN_TEXT,Pho,18,Core driver - expand to meet demand
OPEN_TEXT,Indian Curry,15,Core driver - 74% gap needs addressing
OPEN_TEXT,Noodles,15,Core driver - moderate gap (21%)
OPEN_TEXT,Katsu,9,Core driver - well covered (5% gap)
OPEN_TEXT,Sushi,6,Core driver - 63% gap needs addressing
OPEN_TEXT,Pastry Pie,6,Prospect - recruit partners
OPEN_TEXT,Lasagne,6,Deprioritised - don't expand
OPEN_TEXT,Fish & Chips,5,Prospect - recruit partners
OPEN_TEXT,Protein & Veg,5,Demand booster - major expansion needed
# ─────────────────────────────────────────────────────────────────────
