area,gate,slide_index,claim_id,claim_type,deck_metric,deck_value,deck_unit,deck_text,cursor_value,cursor_unit,cursor_source,status,recommendation,notes
A_MVP,A,7,s07_threshold_1,threshold,partners_min,5.0,+,5+ px,5,+,config/mvp_thresholds.json:mvp_criteria.partners_min.value,MATCH,No change needed.,
A_MVP,A,7,s07_threshold_2,threshold,cuisines_min,4.0,+,4+ cuisines,5,+,config/mvp_thresholds.json:mvp_criteria.cuisines_min.value,DRIFT,Update deck to use cuisines_min=5+ (Cursor target).,"Note: 4 cuisines corresponds to 'Near MVP' tier in config, but MVP target cuisines_min is 5."
A_MVP,A,7,s07_threshold_3,threshold,dishes_min,10.0,+,10+ dishes,21,+,config/mvp_thresholds.json:mvp_criteria.dishes_min.value,DRIFT,Update deck to use dishes_min=21+ (Cursor target).,
A_MVP,A,7,s07_definition_zone_mvp,definition,zone_mvp_definition,,,Deck defines zone MVP in terms of partners/cuisines/dishes thresholds.,,,config/mvp_thresholds.json + docs/data/zone_mvp_status.json (established status tiers),UNVERIFIABLE,"Ensure the deck's definition of zone MVP matches config/mvp_thresholds.json, and reference docs/data/zone_mvp_status.json for established status labels.",
A_MVP,A,9,s09_threshold_1,threshold,partners_min,5.0,+,5+ px,5,+,config/mvp_thresholds.json:mvp_criteria.partners_min.value,MATCH,No change needed.,
A_MVP,A,9,s09_threshold_2,threshold,cuisines_min,4.0,+,4+ cuisines,5,+,config/mvp_thresholds.json:mvp_criteria.cuisines_min.value,DRIFT,Update deck to use cuisines_min=5+ (Cursor target).,"Note: 4 cuisines corresponds to 'Near MVP' tier in config, but MVP target cuisines_min is 5."
A_MVP,A,9,s09_threshold_3,threshold,dishes_min,10.0,+,10+ dishes,21,+,config/mvp_thresholds.json:mvp_criteria.dishes_min.value,DRIFT,Update deck to use dishes_min=21+ (Cursor target).,
A_MVP,A,9,s09_coverage_partners_pct,percent,coverage_percent_partners_threshold,70.0,%,Deck: % of active zones meeting partners threshold,,,N/A (no established Cursor export found for this exact percentage claim),UNVERIFIABLE,"Specify denominator (zone count type: total/supply/live) and recompute from established Cursor outputs, or remove/label as deck-calculated.","Deck uses MVP thresholds partners>=5, cuisines>=4, dishes>=10; Cursor MVP targets are partners>=5, cuisines>=5, dishes>=21 (so these %s likely need re-derivation). Zone status tiers in Cursor are in docs/data/zone_mvp_status.json (counts by status: {'MVP Ready': 70, 'Developing': 62, 'Progressing': 36, 'Near MVP': 31, 'Not Started': 872, 'Supply Only': 235})."
A_MVP,A,9,s09_coverage_cuisines_pct,percent,coverage_percent_cuisines_threshold,54.0,%,Deck: % of active zones meeting cuisines threshold,,,N/A (no established Cursor export found for this exact percentage claim),UNVERIFIABLE,"Specify denominator (zone count type: total/supply/live) and recompute from established Cursor outputs, or remove/label as deck-calculated.","Deck uses MVP thresholds partners>=5, cuisines>=4, dishes>=10; Cursor MVP targets are partners>=5, cuisines>=5, dishes>=21 (so these %s likely need re-derivation). Zone status tiers in Cursor are in docs/data/zone_mvp_status.json (counts by status: {'MVP Ready': 70, 'Developing': 62, 'Progressing': 36, 'Near MVP': 31, 'Not Started': 872, 'Supply Only': 235})."
A_MVP,A,9,s09_coverage_dishes_pct,percent,coverage_percent_dishes_threshold,54.0,%,Deck: % of active zones meeting dishes threshold,,,N/A (no established Cursor export found for this exact percentage claim),UNVERIFIABLE,"Specify denominator (zone count type: total/supply/live) and recompute from established Cursor outputs, or remove/label as deck-calculated.","Deck uses MVP thresholds partners>=5, cuisines>=4, dishes>=10; Cursor MVP targets are partners>=5, cuisines>=5, dishes>=21 (so these %s likely need re-derivation). Zone status tiers in Cursor are in docs/data/zone_mvp_status.json (counts by status: {'MVP Ready': 70, 'Developing': 62, 'Progressing': 36, 'Near MVP': 31, 'Not Started': 872, 'Supply Only': 235})."
