ZONE_NAME,REGION,mvp_tier,is_mvp,mvp_criteria_met,partners,cuisines,avg_rating,orders,rating_count,meets_cuisine,meets_partners,meets_rating
Basingstoke,South East,Progressing,False,0,3,3,3.83,483,66.0,False,False,False
Bath,South West,MVP Ready,True,3,9,7,4.53,647,103.0,True,True,True
Belsize Park / St John's Wood,Other,Progressing,False,1,3,3,4.79,278,53.0,False,False,True
Birmingham,Midlands,MVP Ready,True,3,9,7,4.15,689,136.0,True,True,True
Bournemouth,South East,Progressing,False,1,4,3,4.26,634,91.0,False,False,True
Bracknell,Other,Near MVP,False,1,4,4,4.55,585,65.0,False,False,True
Braintree,Other,Progressing,False,0,4,3,3.9,151,21.0,False,False,False
Brighton Central,London,MVP Ready,True,3,10,8,4.47,1734,249.0,True,True,True
Bristol,South West,MVP Ready,True,3,8,6,4.53,1173,178.0,True,True,True
Brixton,London,Near MVP,False,1,4,4,4.5,396,64.0,False,False,True
Brockley / Forest Hill,London,Progressing,False,1,3,3,4.61,1478,232.0,False,False,True
Bromley,London,Progressing,False,0,4,3,3.81,465,59.0,False,False,False
Cambridge,South East,MVP Ready,True,3,8,7,4.48,1403,226.0,True,True,True
Camden/Kentish Town,London,MVP Ready,True,3,6,5,4.11,249,36.0,True,True,True
Canary Wharf,Other,MVP Ready,True,3,6,5,4.29,1122,146.0,True,True,True
Canning Town,Other,Progressing,False,1,3,3,4.67,1314,185.0,False,False,True
Canterbury,South East,MVP Ready,True,3,7,6,4.16,534,63.0,True,True,True
Cardiff,Wales,MVP Ready,True,3,6,5,4.57,475,70.0,True,True,True
Cardiff Bay Area,Wales,MVP Ready,True,3,5,5,4.78,144,18.0,True,True,True
Chelmsford,South East,MVP Ready,True,3,7,5,4.21,725,91.0,True,True,True
Cheltenham,South West,Near MVP,False,2,5,4,4.38,512,74.0,False,True,True
Chichester,North,Near MVP,False,1,4,4,4.13,237,30.0,False,False,True
Chingford,Other,Progressing,False,1,3,3,4.2,77,10.0,False,False,True
Chiswick,London,MVP Ready,True,3,6,5,4.74,1240,206.0,True,True,True
Clapham,London,MVP Ready,True,3,13,9,4.61,2349,344.0,True,True,True
Colchester,South East,Near MVP,False,1,4,4,4.6,464,67.0,False,False,True
Cribbs Causeway Shopping Centre,Other,Near MVP,False,1,5,4,3.87,220,30.0,False,True,False
Croydon,London,Progressing,False,1,4,3,4.29,519,76.0,False,False,True
Dalston Stoke Newington,Midlands,Progressing,False,1,4,3,4.43,434,68.0,False,False,True
Dartford,Other,MVP Ready,True,3,6,5,4.1,336,39.0,True,True,True
Didsbury and Withington,Other,Progressing,False,1,3,3,4.72,236,36.0,False,False,True
Dublin City North,Other,MVP Ready,True,3,6,5,4.06,782,103.0,True,True,True
Dublin City South,Other,Developing,False,1,3,2,4.82,93,17.0,False,False,True
