zone_code,zone_name,city,region,partner_count,asian_dishes,italian_dishes,indian_dishes,healthy_dishes,mexican_dishes,middle_eastern_dishes,british_dishes,total_dishes,cuisine_count,has_asian,has_italian,has_indian,has_healthy,has_mexican,has_middle_eastern,has_british
SRH,Shoreham,Brighton,South England and Wales,8,19,9,0,2,6,0,0,36,4,True,True,False,True,True,False,False
HVNT,Havant,Portsmouth,South England and Wales,1,0,5,0,0,0,0,0,5,1,False,True,False,False,False,False,False
BOHV,Bournebridge/ Havering,London,Greater London,3,10,4,0,0,0,0,0,14,2,True,True,False,False,False,False,False
SOUE,Southampton East,Southampton,South England and Wales,7,9,18,0,0,6,3,1,37,5,True,True,False,False,True,True,True
BRX,Brixton,London,Core London,12,23,8,7,8,3,3,1,53,7,True,True,True,True,True,True,True
GRE,Greenwich,London,Greater London,11,31,8,4,5,0,3,1,52,6,True,True,True,True,False,True,True
CAM,Cambridge,Cambridge,South England and Wales,8,21,13,0,0,6,3,1,44,5,True,True,False,False,True,True,True
DID,Didsbury and Withington,Manchester,North England,3,5,4,0,0,0,0,0,9,2,True,True,False,False,False,False,False
MOS,Moseley,Birmingham,North England,8,17,4,0,2,9,0,0,32,4,True,True,False,True,True,False,False
WAN,Wandsworth,London,Core London,16,31,8,4,11,3,6,1,64,7,True,True,True,True,True,True,True
SUA,Stratford upon Avon,Coventry,North England,1,0,4,0,0,0,0,0,4,1,False,True,False,False,False,False,False
CAN,Canterbury,Canterbury,South England and Wales,7,13,13,0,0,6,3,1,36,5,True,True,False,False,True,True,True
BAL,Balham,London,Core London,14,26,4,7,8,3,3,0,51,6,True,True,True,True,True,True,False
KSHY,Kingsbury Green/ The Hyde,London,Greater London,4,9,4,4,0,0,0,0,17,3,True,True,True,False,False,False,False
HOR,Horsham,Crawley,Greater London,4,9,8,0,0,0,3,1,21,4,True,True,False,False,False,True,True
FCH,Finsbury Park / Harringay / Crouch End,London,Core London,16,32,4,10,8,3,3,0,60,6,True,True,True,True,True,True,False
WEY,Weybridge,London,Greater London,5,12,4,0,0,0,0,0,16,2,True,True,False,False,False,False,False
FAR,Fareham,Portsmouth,South England and Wales,1,0,5,0,0,0,0,0,5,1,False,True,False,False,False,False,False
MVK,Maida Vale / Kilburn,London,Core London,15,25,13,7,11,0,6,1,63,6,True,True,True,True,False,True,True
WAT,Watford,London,Greater London,4,7,4,0,0,6,0,0,17,3,True,True,False,False,True,False,False
WGR,Wood Green,London,Greater London,9,20,4,7,0,3,0,0,34,4,True,True,True,False,True,False,False
WAL,Walthamstow,London,Greater London,6,11,4,7,0,0,0,0,22,3,True,True,True,False,False,False,False
CHU,Cheshunt,London,Greater London,4,4,9,0,0,3,0,0,16,3,True,True,False,False,True,False,False
HAM,Hampstead,London,Core London,17,29,19,7,5,3,6,1,70,7,True,True,True,True,True,True,True
LET,Letchworth Garden City,London,Greater London,4,9,9,0,0,0,0,0,18,2,True,True,False,False,False,False,False
STA,St Albans,London,Greater London,6,16,13,0,0,0,3,1,33,4,True,True,False,False,False,True,True
WOT,Walton on Thames,London,Greater London,8,26,8,0,0,0,3,1,38,4,True,True,False,False,False,True,True
BAS,Basingstoke,Reading,South England and Wales,3,4,4,0,0,6,0,0,14,3,True,True,False,False,True,False,False
COOL,Coolock,Dublin,Ireland and Scotland,2,11,4,0,0,0,0,0,15,2,True,True,False,False,False,False,False
HOS,Horsforth,Leeds,North England,2,3,4,0,0,0,0,0,7,2,True,True,False,False,False,False,False
CHM,Chesham,London,Greater London,2,3,4,0,0,0,0,0,7,2,True,True,False,False,False,False,False
RONT,Ronanstown,Dublin,Ireland and Scotland,3,15,4,0,0,0,0,0,19,2,True,True,False,False,False,False,False
OLEE,Greater Leeds,Leeds,North England,3,7,4,0,0,0,0,0,11,2,True,True,False,False,False,False,False
SKEA,South Kearsley,Manchester,North England,9,23,18,0,0,6,3,1,51,5,True,True,False,False,True,True,True
HUY,Huyton,Liverpool,North England,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
WLOO,Waterloo & Southbank,London,Core London,8,21,14,0,2,0,0,0,37,3,True,True,False,True,False,False,False
SG03,SG03,London,Greater London,2,0,9,0,0,0,0,0,9,1,False,True,False,False,False,False,False
LLZ,Lockleaze,Bristol,South England and Wales,7,16,14,0,0,6,0,0,36,3,True,True,False,False,True,False,False
NLB,Northfield/Longbridge,Birmingham,North England,2,5,4,0,0,0,0,0,9,2,True,True,False,False,False,False,False
CPP,Crystal Palace / Penge,London,Greater London,5,11,4,4,0,0,0,0,19,3,True,True,True,False,False,False,False
BAR,Barnet,London,Greater London,4,4,9,3,0,0,0,0,16,3,True,True,True,False,False,False,False
REI,Reigate,Crawley,Greater London,6,17,8,0,0,0,3,1,29,4,True,True,False,False,False,True,True
LEY,Leyton,London,Greater London,8,18,4,3,3,0,3,0,31,5,True,True,True,True,False,True,False
WOK,Woking,London,Greater London,5,19,4,0,0,0,0,0,23,2,True,True,False,False,False,False,False
CHE,Cheltenham,Cheltenham,South England and Wales,5,12,9,0,0,0,0,0,21,2,True,True,False,False,False,False,False
GBL,Greenbank / Liberton,Edinburgh,Ireland and Scotland,4,13,4,0,0,0,0,0,17,2,True,True,False,False,False,False,False
CW,Canary Wharf,London,Core London,13,29,8,4,11,0,6,1,59,6,True,True,True,True,False,True,True
EPS,Epsom,London,Greater London,4,7,9,0,0,0,0,0,16,2,True,True,False,False,False,False,False
HCN,Hounslow Central,London,Greater London,4,4,4,1,0,3,0,0,12,4,True,True,True,False,True,False,False
RTW,Royal Tunbridge Wells,Royal Tunbridge Wells,Greater London,7,19,8,0,0,0,3,1,31,4,True,True,False,False,False,True,True
HME,"Highgate, Muswell Hill, East Finchley",London,Greater London,12,21,4,7,5,3,3,0,43,6,True,True,True,True,True,True,False
FIN,Finchley,London,Greater London,9,15,10,7,0,0,0,0,32,3,True,True,True,False,False,False,False
PTC,Patchway,Bristol,South England and Wales,5,11,9,0,0,6,0,0,26,3,True,True,False,False,True,False,False
BEC,Beckenham,London,Greater London,4,6,4,4,0,0,0,0,14,3,True,True,True,False,False,False,False
BRK,Brockley / Forest Hill,London,Greater London,11,25,8,7,3,0,6,1,50,6,True,True,True,True,False,True,True
PRL,Purley,London,Greater London,4,6,10,0,0,0,0,0,16,2,True,True,False,False,False,False,False
BFSW,Belfast Southwest,Belfast,Ireland and Scotland,1,0,4,0,0,0,0,0,4,1,False,True,False,False,False,False,False
SWN,Streatham / West Norwood,London,Greater London,9,21,4,7,2,0,0,0,34,4,True,True,True,True,False,False,False
CCS,Cardiff City Stadium,Cardiff,South England and Wales,7,14,13,0,0,6,3,1,37,5,True,True,False,False,True,True,True
BRT,Braintree,Chelmsford,South England and Wales,4,6,13,0,0,0,3,1,23,4,True,True,False,False,False,True,True
ELME,Elmers End/ Kelsey Park,London,Greater London,4,13,4,0,0,0,0,0,17,2,True,True,False,False,False,False,False
DOWN,Downham/ Hither Green,London,Greater London,4,13,4,0,0,0,0,0,17,2,True,True,False,False,False,False,False
HCR,Hunts Cross,Liverpool,North England,2,4,4,0,0,0,0,0,8,2,True,True,False,False,False,False,False
GRY,Grays,London,Greater London,3,5,0,0,0,6,0,0,11,2,True,False,False,False,True,False,False
HML,Hamilton,Glasgow,Ireland and Scotland,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
