high_level_dish,couple_rank,couple_score,adult_satisfaction,adult_appeal,total_orders,item_count,partners,granular_types,items_sample
Noodles,1,5.0,0.9152119700748128,5.0,412,13,"Asia Villa, Banana Tree, Iro Sushi, Itsu, Kokoro, Pho, SOYO-SGroup, Ting Thai, Zumuku","Chow Mein, Egg Fried Noodles, Korean Noodles Teriyaki Noodles Noodle Soup, Pad Thai, Rice Noodles, Teriyaki Noodles Sweet Chilli Noodles Sweet Sour Noodles Korean Chilli Noodles, Wok-Fried Noodles, Yakisoba","hot faves family bundle, Kokoro Family Bundle, 4x Traditional Chow Mein with Sweet Chili Chicken, 4x Family Style Phad Thai with Korean Chicken, 4x Family Style Egg Fried Noodle with Korean Chicken (+8 more)"
South Asian / Indian Curry,2,4.8,0.945337620578778,5.0,325,13,"Chaska, Dishoom, Kricket, Saravana Bhavan, Tadka House, Tiffin Tin","Aloo Mutter Curry, Butter Chicken Curry, Mattar Paneer Curry, Other Curry, Tikka Masala Curry","Home-Style Butter Chicken Meal ( 16oz Butter Chicken 12oz Tadka Dal 1 Jeera Aloo and 2 Portion Fluffy Rice), Veg Family Feast ( 16oz paneer labaabdaar 12oz dal tadka 1 jeera aloo and 2 portion rice), Dishoom Chicken Ruby - for the family, Dishoom Mattar Paneer - for the family, Butter Chicken (+8 more)"
Pho,3,4.35,0.9066937119675456,5.0,514,1,Pho,Pho,Pho the whole fam
Other,4,4.15,0.888,5.0,131,4,"Shaku Maku, TUK TUK-SGroup, Umi Falafel, Zaatar Rathmines","Chicken Wings, Maqluba, Mezze, Other","Shaku Maku Family Platter (Maqluba + chicken rolls + fatoush salad + hummus + baba ghanoush with bread), Wings Fries & Beansprout Salad, Family Mezze Feast ( Lentil soup + hummus + baba ghanoush + 20pc falafel +Haloumi sticks + bread and tahini sauce ), Pizza Feast ( Cheese & Zaatar manaeesh + Margharita pizza + hummus + tabouleh)"
Grain Bowl,5,4.0,0.9152542372881356,3.0,60,17,"Farmer J, LEON, Remedy Kitchen, The Salad Project, Yacob's Kitchen, atis","Grain Bowl, Shawarma","Build Your Own Family Feast, Chicken Family Feast, Tofu Family Feast, Family Chicken Dinner, Mix & Match Family Dinner (+12 more)"
Fried Rice,6,3.75,0.9054878048780488,3.0,342,5,"Asia Villa, Pho, TUK TUK-SGroup, Xian Street Food","Special Fried Rice, Stir-Fried Rice, Sweet & Sour Fried Rice, Wok-Fried Rice","4x Asia Villa Special Fried Rice with Salt and Pepper Chicken, Sweet and Sour Chicken & Egg Fried Rice, Chicken Fried Rice Family Meal (Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken), Chicken Fried Rice Family Meal ( Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken), Fresh from the wok"
Biryani,7,3.6,1.0,3.0,7,6,"Chaska, Dishoom, Tadka House",Biryani,"Chicken Biryani For The Table ( 2portions Chicken Biryani served with Dal Raita and Papads ), Chicken Biryani For The Table, Veg Biryani For The Table ( 2portions Biryani served with Dal Raita and Papads ), Chicken Berry Britannia - for the family, Awadhi Jackfruit Biryani - for the family (+1 more)"
Poke,7,3.6,1.0,3.0,6,1,Itsu,Poke,poke'bowl family selection
Fajitas,7,3.6,0.8947368421052632,4.0,19,3,Las Iguanas,Fajitas,"Fajitas Family of Three Bundle, Fajitas Family of Four Bundle, Mixed Bundle For Four"
Sushi,10,3.5,0.8650793650793651,5.0,136,1,Itsu,Sushi,sushi family feast
