dish_type,performance_score,demand_score,quadrant,unified_score
Pasta,4.75,5.0,Core Driver,4.85
Curry,4.666666666666667,5.0,Core Driver,4.800000000000001
Katsu,4.75,4.5,Core Driver,4.65
Fried Rice,5.0,4.0,Core Driver,4.6
Pho,5.0,4.0,Core Driver,4.6
Pad Thai,5.0,3.5,Core Driver,4.4
Lasagne,3.8333333333333335,5.0,Core Driver,4.3
Rice Bowl,4.75,3.0,Core Driver,4.050000000000001
Biryani,4.083333333333334,4.0,Core Driver,4.050000000000001
Shawarma,5.0,2.5,Demand Booster,4.0
Sushi,3.75,4.0,Core Driver,3.85
Noodles,4.333333333333334,3.0,Core Driver,3.8
Fajitas,4.166666666666667,3.0,Core Driver,3.7
Ramen,3.0833333333333335,4.5,Core Driver,3.65
Pizza,2.75,5.0,Preference Driver,3.65
Salad,4.083333333333334,3.0,Core Driver,3.65
Mac & Cheese,5.0,1.5,Demand Booster,3.6
Butter Chicken,3.3333333333333335,3.5,Core Driver,3.4000000000000004
Tacos,3.0833333333333335,3.5,Core Driver,3.25
Teriyaki,3.3333333333333335,3.0,Core Driver,3.2
Burger,2.166666666666667,4.5,Preference Driver,3.1
Dim Sum,2.166666666666667,4.0,Preference Driver,2.9000000000000004
Roast Dinner,2.166666666666667,3.5,Preference Driver,2.7
Bangers & Mash,2.166666666666667,3.5,Preference Driver,2.7
Shepherd's Pie,2.166666666666667,3.5,Preference Driver,2.7
Chinese Family Meal,2.166666666666667,3.5,Preference Driver,2.7
Korma,2.166666666666667,3.5,Preference Driver,2.7
Tikka Masala,2.166666666666667,3.5,Preference Driver,2.7
Fish & Chips,2.166666666666667,3.0,Preference Driver,2.5
Stir Fry,2.9166666666666665,1.5,Deprioritised,2.3499999999999996
Korean Fried Chicken,2.166666666666667,2.5,Deprioritised,2.3
Poke Bowl,2.166666666666667,2.5,Deprioritised,2.3
Souvlaki,2.166666666666667,2.5,Deprioritised,2.3
Bibimbap,2.166666666666667,2.5,Deprioritised,2.3
Cottage Pie,2.166666666666667,2.5,Deprioritised,2.3
Greek Mezze,2.166666666666667,2.5,Deprioritised,2.3
Chicken Pie,2.166666666666667,2.5,Deprioritised,2.3
Wrap,2.166666666666667,2.0,Deprioritised,2.1
Grain Bowl,2.166666666666667,2.0,Deprioritised,2.1
Bowl,2.166666666666667,2.0,Deprioritised,2.1
Buddha Bowl,2.166666666666667,2.0,Deprioritised,2.1
Quesadilla,2.166666666666667,2.0,Deprioritised,2.1
Burrito,2.166666666666667,2.0,Deprioritised,2.1
Veggie Fajitas,2.166666666666667,2.0,Deprioritised,2.1
Sweet & Sour Chicken,2.166666666666667,1.5,Deprioritised,1.9
Grilled Chicken with Sides,2.166666666666667,1.5,Deprioritised,1.9
Halloumi Wrap,2.166666666666667,1.5,Deprioritised,1.9
Rotisserie Chicken,2.166666666666667,1.5,Deprioritised,1.9
